commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Private_fixed_investment_in_equipment,F02N_Private_fixed_investment_in_intellectual_property_products,F02T_Private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_National_defense_Consumption_expenditures,F06E_National_defense_Gross_investment_except_structures,F06S_National_defense_Gross_investment_in_structures,F07C_Nondefense_Consumption_expenditures,F07E_Nondefense_Gross_investment_except_structures,F07S_Nondefense_Gross_investment_in_structures,F10C_State_and_local_government_consumption_expenditures,F10E_State_and_local_government_gross_investment_except_structures,F10S_State_and_local_government_gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,T001_Total_Intermediate,T004_Total_Final_Uses_GDP
111CA_Farms,20216,1807,2,1,0,24,847,104563,3256,9,0,8,1,2,499,1,1,2,1,1,3,0,3,2,0,29,1665,130,12,0,12,3,157,0,33,3,5,56,318,28,101,1993,84,25146,0,0,0,2369,17487,-8677,0,0,0,0,0,0,0,0,0,11,-410,2,879,136361,36326
113FF_Forestry_fishing_and_related_activities,10402,4137,3,60,9,60,167,2703,121,233,9737,3367,22,12,220,915,22,35,27,36,65,34,32,59,28,230,155,323,39,0,92,53,0,15,80,0,69,192,537,58,271,1628,127,3504,0,0,0,48,4781,-6795,0,0,0,0,0,0,0,0,0,24,44,179,177,36799,1538
211_Oil_and_gas_extraction,0,0,4077,0,0,25106,0,0,0,0,0,0,0,91670,5606,91,0,10,0,0,0,0,0,0,0,0,6,0,1134,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,-139,4522,-52897,0,0,0,0,0,0,0,0,0,0,3,411,0,128123,-48514
212_Mining_except_oil_and_gas,367,2,3,7345,19,8762,4938,237,56,13,10,881,10,403,3923,52,5235,9370,71,117,143,121,587,93,13,494,22,21,60,0,63,5,640,3,2,4,13,12,28,2,10,11,17,58,290,0,0,106,5384,-2234,0,0,0,0,0,0,0,0,0,1235,46,1291,266,47017,3605
213_Support_activities_for_mining,0,0,1095,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,17920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1206,17978
22_Utilities,2421,74,1580,2799,204,112,1114,4403,1711,675,992,4092,1052,2124,8782,2742,3234,7458,2666,1895,2351,876,2064,1253,520,817,4830,11668,1598,140,1365,2009,5623,463,1639,1694,1839,722,6042,846,2630,5912,3065,113215,0,0,0,0,507,-662,0,0,0,0,0,0,0,0,0,540,2192,6054,16655,135539,113061
23_Construction,359,171,0,121,1,2766,230,264,129,47,81,185,91,178,438,155,167,492,586,410,560,123,338,529,98,99,913,1960,2779,123,4175,658,28792,103,294,596,215,3689,1455,205,717,730,1586,0,0,0,375622,0,67,0,0,0,6090,0,0,7992,0,0,98539,646,3959,10925,22254,95390,488310
311FT_Food_and_beverage_and_tobacco_products,14598,194,1,2,0,1,0,64917,18,879,2,541,3,81,1486,16,25,5,6,9,5,3,3,9,43,146,1880,4835,254,0,168,3,5,2,161,1,6,50,7156,816,3138,53529,808,267014,0,0,0,837,21681,-23559,0,0,0,0,0,0,0,2,0,334,820,2,7479,164437,265975
313TT_Textile_mills_and_textile_product_mills,480,117,2,68,0,40,1458,91,16016,16462,132,819,588,10,110,1959,154,5,3,218,6,33,3275,377,2224,1170,2014,207,711,0,69,92,246,1,27,1,25,13,833,55,461,100,381,17661,2959,0,0,456,4367,-7822,0,0,0,0,16,0,0,16,0,118,185,28,559,51944,17652
315AL_Apparel_and_leather_and_allied_products,37,10,3,10,0,5,52,8,75,8792,2,12,240,2,8,17,7,7,29,15,36,3,338,11,100,188,296,153,111,1,95,25,21,73,106,0,97,13,621,96,84,49,746,96526,0,0,0,1596,3365,-47798,0,0,0,0,0,0,0,0,0,23,395,34,1062,14108,53688
