commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,27443,540,0,21,5,0,1210,109730,2204,0,0,0,0,0,3844,0,0,0,0,0,0,0,0,0,0,266,940,749,37,0,0,0,0,0,232,8,324,80,0,184,14,566,16,46797,0,0,0,0,-3011,20142,-14397,0,0,0,0,0,0,0,0,0,0,0,0,0,-1067
113FF_Forestry_fishing_and_related_activities,11898,7642,0,50,0,0,0,4808,0,25,12454,3331,34,4,224,993,1,0,0,0,0,0,0,0,24,146,0,308,1,0,0,0,0,0,74,4,0,55,0,119,182,1631,100,4902,0,0,0,0,246,3651,-10331,0,0,0,0,0,0,0,0,0,0,0,0,19,36
211_Oil_and_gas_extraction,0,0,10909,10,0,35453,0,1,0,0,3,4,0,125372,4303,3,0,89,1,0,0,0,0,0,0,0,15,24,67,1,5,0,0,0,3,22,6,3,16,10,17,43,10,0,0,0,0,0,-1176,1391,-92132,0,0,0,0,0,0,0,0,0,0,0,0,154,0
212_Mining_except_oil_and_gas,1310,2,21,3289,17,8186,9715,1234,118,0,6,1368,0,899,2573,99,5559,6970,235,41,89,57,49,92,23,146,6,1,51,1,188,0,0,0,226,19,67,81,22,182,33,232,133,523,52,0,0,0,-7,2828,-1871,0,0,0,0,0,0,0,0,0,0,0,0,0,890
213_Support_activities_for_mining,0,0,2080,1194,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,149,0,0,30249,1,955,-428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,3663,173,1031,1776,24,15043,3694,9083,1842,753,1535,5559,1275,3273,11125,3905,3314,6996,3894,1775,3053,1006,2918,1249,681,887,5301,15403,5071,1694,7399,2306,38804,1209,2334,3259,2117,3918,6797,2253,2870,10436,2788,171404,0,0,0,0,0,2522,-1168,0,0,0,0,0,0,0,0,0,0,0,0,562,1575
23_Construction,816,67,975,1107,391,2841,201,1415,254,106,368,841,467,1479,1890,768,523,989,1006,640,840,247,746,274,272,260,777,1903,3516,275,5145,6694,53855,145,591,216,181,363,1153,370,411,940,2807,0,0,0,426315,252066,0,78,0,0,0,0,6138,0,0,0,9880,0,0,0,198800,677,4488
311FT_Food_and_beverage_and_tobacco_products,14663,393,0,0,0,0,0,104346,14,641,11,860,386,85,1901,93,173,3,0,0,0,0,0,0,0,4,794,1715,278,0,160,0,0,0,691,16,0,6109,10408,2129,2250,22881,1262,372279,0,0,0,0,3453,27713,-36369,0,0,0,0,0,0,0,0,0,0,0,0,476,1562
313TT_Textile_mills_and_textile_product_mills,258,103,0,2,0,0,1576,468,14796,10822,586,1305,352,52,3,1882,205,0,0,518,8,0,3846,782,2830,2521,782,2077,231,2,158,0,34,94,208,3,189,61,3116,370,1885,293,872,18336,2548,0,604,0,-343,8404,-17195,0,0,0,0,0,53,0,0,0,61,0,0,-8,746
315AL_Apparel_and_leather_and_allied_products,30,0,0,0,0,0,0,14,411,4998,0,0,666,1,0,0,0,0,0,0,0,0,2160,0,0,120,358,591,0,0,1359,0,0,84,22,0,276,61,1220,77,17,167,1656,123260,0,0,0,0,748,6183,-97161,0,0,0,0,0,0,0,0,0,0,0,0,49,69
