commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,28198,442,0,17,2,0,1068,112200,3292,0,0,0,0,0,3858,0,0,0,0,0,0,0,0,0,0,183,1592,728,30,0,0,0,0,0,190,8,306,88,0,138,22,628,19,44173,0,0,0,0,-1422,19145,-14143,0,0,0,0,0,0,0,0,0,0,0,0,0,-1629
113FF_Forestry_fishing_and_related_activities,12008,7282,0,39,0,0,0,4768,0,53,12350,3385,49,2,195,1046,1,0,0,0,0,0,0,0,22,155,0,361,1,0,0,0,0,0,68,4,0,37,0,126,239,1853,112,5049,0,0,0,0,262,3684,-10402,0,0,0,0,0,0,0,0,0,0,0,0,28,79
211_Oil_and_gas_extraction,0,0,18896,6,0,43752,0,1,0,0,3,2,0,147937,4804,2,0,108,1,0,0,0,0,0,0,0,11,20,87,1,6,0,0,0,7,17,25,2,16,7,13,30,6,0,0,0,0,0,-697,1405,-105676,0,0,0,0,0,0,0,0,0,0,0,0,216,0
212_Mining_except_oil_and_gas,1087,1,36,2399,9,11142,8978,904,74,0,6,849,0,408,2842,84,5489,6745,225,55,219,77,36,52,21,117,4,1,48,0,362,0,0,0,238,17,77,48,22,200,35,180,121,336,60,0,0,0,73,3240,-1106,0,0,0,0,0,0,0,0,0,0,0,0,0,400
213_Support_activities_for_mining,0,0,2008,985,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,129,0,0,23741,-1,939,-415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,3522,193,2307,1742,13,23097,3696,11006,2161,1362,2563,6165,2144,2284,14993,5921,4211,8691,5745,3117,6859,1915,3486,1032,878,1397,6017,20053,8288,1155,10721,7166,38747,1469,5505,4053,4651,2677,9143,2995,3606,11639,2789,160568,0,0,0,0,0,2573,-2759,0,0,0,0,0,0,0,0,0,0,0,0,620,1120
23_Construction,834,37,1138,742,141,3228,150,1177,187,117,352,632,374,190,1409,620,455,815,791,568,1274,265,460,136,144,246,646,1748,2146,96,3850,8971,46231,398,769,190,254,210,798,310,374,750,1979,0,0,0,375431,293090,0,79,0,0,0,0,5400,0,0,0,9506,0,0,0,170552,772,6052
311FT_Food_and_beverage_and_tobacco_products,14169,391,0,0,0,0,0,97111,11,951,9,681,443,63,1926,76,190,3,0,0,0,0,0,0,0,6,826,1618,351,0,169,0,0,0,417,10,0,5802,9236,1615,2851,23677,1411,360197,0,0,0,0,3411,29131,-32210,0,0,0,0,0,0,0,0,0,0,0,0,634,1109
313TT_Textile_mills_and_textile_product_mills,218,126,0,2,0,0,2499,97,17449,16637,599,1412,555,23,2,2002,227,0,0,585,25,0,4817,567,3065,3104,884,1722,247,1,176,0,31,168,180,2,122,63,2939,242,1965,331,671,18904,734,0,335,0,630,8478,-15437,0,0,0,0,0,68,0,0,0,46,0,0,-8,612
315AL_Apparel_and_leather_and_allied_products,19,0,0,0,0,0,0,14,847,12049,0,0,1075,8,0,0,0,0,0,0,0,0,2147,0,0,89,492,843,0,0,960,0,0,153,16,0,295,66,1204,85,13,115,1026,133318,0,0,0,0,2416,8804,-95170,0,0,0,0,0,0,0,0,0,0,0,0,76,58
321_Wood_products,258,26,0,29,13,0,34445,190,108,0,23287,4736,13,0,253,1781,555,173,235,954,982,275,2308,139,8014,1609,1161,926,957,15,3027,45,2379,289,227,1,211,24,662,94,265,596,309,3016,0,0,6150,325,1064,4434,-15938,0,0,0,0,0,6,0,0,0,0,0,0,0,19
