commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,F010_Personal_consumption_expenditures,F02E_Nonresidential_private_fixed_investment_in_equipment,F02N_Nonresidential_private_fixed_investment_in_intellectual_property_products,F02R_Residential_private_fixed_investment,F02S_Nonresidential_private_fixed_investment_in_structures,F030_Change_in_private_inventories,F040_Exports_of_goods_and_services,F050_Imports_of_goods_and_services,F06C_Federal_national_defense_Consumption_expenditures,F06E_Federal_national_defense_Gross_investment_in_equipment,F06N_Federal_national_defense_Gross_investment_in_intellectual_property_products,F06S_Federal_national_defense_Gross_investment_in_structures,F07C_Federal_national_nondefense_Consumption_expenditures,F07E_Federal_national_nondefense_Gross_investment_in_equipment,F07N_Federal_national_nondefense_Gross_investment_in_intellectual_property_products,F07S_Federal_national_nondefense_Gross_investment_in_structures,F10C_State_and_local_Consumption_expenditures,F10E_State_and_local_Gross_investment_in_equipment,F10N_State_and_local_Gross_investment_in_intellectual_property_products,F10S_State_and_local_Gross_investment_in_structures,GFE_Federal_government_enterprises,GFG_Federal_general_government
111CA_Farms,39317,637,0,62,33,0,1905,181635,2338,0,0,0,0,0,7900,0,0,0,0,0,0,0,0,0,0,362,1421,1386,51,0,0,1,2,0,438,16,671,128,0,303,24,991,31,65331,0,0,0,0,-11943,46513,-26096,0,0,0,0,0,0,0,0,0,0,0,0,0,-39
113FF_Forestry_fishing_and_related_activities,19240,5998,0,82,0,0,0,6418,0,103,9317,4238,47,13,567,2263,2,0,0,0,0,0,0,0,42,268,0,616,3,0,0,0,0,0,141,9,1,61,0,146,329,2873,118,7199,0,0,0,0,322,5286,-15633,0,0,0,0,0,0,0,0,0,0,0,0,18,148
211_Oil_and_gas_extraction,0,0,38478,16,2,45906,0,2,0,0,3,4,0,404863,6375,3,0,48,1,0,0,0,0,0,0,0,29,33,78,3,2,0,0,0,11,43,6,5,56,14,23,62,29,0,0,0,0,0,2228,7731,-280754,0,0,0,0,0,0,0,0,0,0,0,0,1746,0
212_Mining_except_oil_and_gas,2141,2,80,5865,53,13629,10721,1945,95,0,9,1655,0,1216,5033,128,7073,17590,514,112,17,111,59,84,18,196,15,1,113,2,263,0,0,0,787,48,338,232,80,748,71,419,559,135,197,0,0,0,329,12599,-172,0,0,0,0,0,0,0,0,0,0,0,0,0,3135
213_Support_activities_for_mining,0,0,8266,1867,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,0,0,0,0,0,0,1655,0,0,93453,0,3103,-642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,5318,191,4048,3540,128,31952,4272,11501,1154,201,1727,5960,1301,2504,14920,4368,3791,7370,4584,2308,1666,1004,3298,1655,607,1201,13396,31923,8199,9476,4528,6100,59930,2366,3918,8421,1976,6646,13739,3462,5996,20480,5248,253669,0,0,0,0,0,3801,-2240,0,0,0,0,0,0,0,0,0,0,0,0,1332,4913
23_Construction,1434,40,1874,1698,1597,6266,220,1523,78,31,185,626,292,5496,1582,491,368,726,679,485,309,143,492,327,107,209,1659,3324,3905,630,2407,5510,103578,154,835,488,347,677,1880,519,757,1591,4393,0,0,0,276822,275746,0,102,0,0,0,0,16658,0,0,0,14466,0,0,0,275140,1161,7569
311FT_Food_and_beverage_and_tobacco_products,26534,325,0,0,0,0,0,154111,38,708,33,1124,957,254,3186,102,135,6,0,0,0,0,0,0,0,6,1949,4171,519,0,64,0,0,0,1817,112,0,7803,16332,3538,4749,37383,1585,511395,0,0,0,0,2861,52883,-63643,0,0,0,0,0,0,0,0,0,0,0,0,656,3598
313TT_Textile_mills_and_textile_product_mills,165,81,0,3,0,0,1341,105,8409,2324,434,2567,379,68,2,2106,308,0,0,876,3,0,2543,620,2408,1966,1161,3625,244,2,110,0,61,140,199,5,170,28,3169,292,1522,238,961,17552,553,0,398,0,691,9229,-24791,0,0,0,0,0,54,0,0,0,20,0,0,-4,1357
315AL_Apparel_and_leather_and_allied_products,16,0,0,0,0,0,0,12,295,2769,0,0,1331,0,0,0,0,0,0,0,0,0,1582,0,0,36,655,1600,0,0,1647,0,0,71,40,1,351,62,2584,103,17,179,1935,120282,0,0,0,0,872,4396,-122315,0,0,0,0,0,0,0,0,0,0,0,0,47,114
321_Wood_products,244,51,0,60,92,0,27231,285,46,1,14254,4176,6,0,250,1024,329,294,193,691,194,176,2315,282,4913,969,1699,1076,1320,102,1625,68,2845,186,433,2,391,54,1310,113,246,681,304,4192,0,0,2472,239,309,4457,-11870,0,0,0,0,0,27,0,0,0,0,0,0,1,58
322_Paper_products,347,1,56,194,73,24,1795,23898,510,60,415,40447,8226,234,6255,3730,1515,1464,2022,1945,789,949,2151,561,847,2218,4398,3064,2680,338,3331,2048,429,357,3695,769,3092,353,3858,241,1659,2133,1123,23262,0,0,0,0,173,21065,-21799,0,0,0,0,0,0,0,0,0,0,0,0,67,2517
323_Printing_and_related_support_activities,30,0,8,4,0,11,31,250,0,52,18,0,2314,10,723,0,0,0,2,9,0,2,4,0,0,0,7370,3013,472,9,10328,3994,37,450,5734,970,2476,1074,5579,1039,652,607,1651,4104,0,0,0,0,-202,2057,-2359,0,0,0,0,0,0,0,0,0,0,0,0,115,3434
324_Petroleum_and_coal_products,7383,758,4244,4616,2714,24900,44373,3379,153,37,938,1616,1823,20135,15646,1007,869,2700,881,1558,243,1155,572,274,256,719,4328,3057,62640,225,1425,12023,2538,1812,2809,1560,4345,1165,5414,1208,1195,3529,3829,216529,0,0,0,0,5227,68364,-94769,0,0,0,0,0,0,0,0,0,0,0,0,3771,25158
325_Chemical_products,21725,2354,5108,2616,1405,1591,8425,7031,10304,254,1900,12005,5542,10217,211158,53223,4172,1884,7001,3958,3330,2558,6603,1787,1346,7088,1713,1072,481,436,1642,162,6375,291,9416,1502,6272,798,53571,927,87,433,3730,218784,2866,0,0,0,7823,139417,-193377,0,0,0,0,0,0,0,0,0,0,0,0,164,5946
326_Plastics_and_rubber_products,1336,115,57,1156,609,9,18686,15723,389,158,539,2587,599,261,9544,14264,1096,896,2077,6040,2116,1443,17117,2846,3012,4865,8479,5582,2956,364,5202,614,238,729,5095,203,1653,531,9997,203,108,4130,3177,28867,293,0,40,0,1050,22082,-37707,0,0,0,0,0,18,0,0,0,0,0,0,24,4123
327_Nonmetallic_mineral_products,6,45,521,361,410,29,40324,4308,182,0,543,367,2,813,1637,1108,9928,2362,915,1947,352,1372,4960,279,281,680,200,725,76,103,2392,70,43,162,2864,90,790,101,3069,108,63,1337,854,9889,0,0,0,0,-107,7977,-17856,0,0,0,0,0,0,0,0,0,0,0,0,0,598
331_Primary_metals,116,0,4052,587,456,1,3641,4697,324,0,327,351,28,30,44,1241,729,70310,58846,27557,4486,13573,36800,9224,2513,6992,1328,928,1117,0,345,2,690,92,1094,31,512,108,422,222,17,64,337,575,0,0,0,0,3071,31329,-72358,0,0,0,0,0,0,0,0,0,0,0,0,0,517
332_Fabricated_metal_products,1602,157,3566,991,944,1012,55375,14407,690,152,1803,4519,1451,463,9150,5535,2436,5357,32795,23469,7096,7153,32951,9146,2413,4751,1598,1725,4004,375,10067,312,587,649,5195,634,3178,342,2115,606,589,2103,2656,14444,9353,0,0,0,1001,26304,-45075,0,1983,0,0,0,1051,0,0,0,941,0,0,823,5887
333_Machinery,3856,419,5125,3050,3192,371,19024,2493,30,8,334,862,1137,111,2220,984,175,1232,2816,27794,471,867,15743,3641,75,1468,1700,1056,1560,382,2040,82,81,828,2456,121,3837,1428,1071,132,38,495,3448,5976,163991,0,0,0,3598,103953,-101817,0,1383,0,0,0,645,0,0,0,5112,0,0,25,1343
334_Computer_and_electronic_products,54,1,22,28,321,39,5301,2072,502,59,451,720,1153,180,4253,1540,789,1666,3190,7022,45170,3330,11604,9309,653,2033,6279,2938,370,157,22664,1596,270,169,11712,7348,2540,696,5056,101,275,108,3425,80174,172553,0,305,0,2141,106473,-276812,0,28268,0,0,0,5844,0,0,0,10498,0,0,1,19564
335_Electrical_equipment_appliances_and_components,675,254,40,26,124,10,23269,678,45,8,490,322,94,89,806,841,100,2171,1709,10433,3121,7262,4223,2118,54,915,357,642,283,321,3800,166,266,150,4302,120,1971,496,1133,144,214,512,2005,34287,20935,0,3752,0,736,26162,-67122,0,661,0,0,0,1243,0,0,0,1524,0,0,35,3556
