commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,535.7530991735538,29.304682421766184,0.13230104930819947,0,0,0,0,0,0.1984515739622992,0,0,0,0,0,0,0,0,1.5876125916983936,3686.304136874362,132.03644720958306,0.13230104930819947,0,0,0,12.83320178289535,0,69.85495403472932,2.9106230847803882,0.06615052465409973,0.1984515739622992,0,0,0,0,0.06615052465409973,0,0,0.1984515739622992,0,0,0,0,0,0,1.0584083944655958,0,0,0,0.1984515739622992,0.06615052465409973,0,0,1.984515739622992,0.06615052465409973,8.930320828303465,1.1245589191196954,5.688945120252577,2.182967313585291,3.3075262327049866,67.60583619648993,1.6537631163524933,19.64670582226762,0.26460209861639894,37.044293806295855,0.13230104930819947
113FF_Forestry_fishing_and_related_activities,539.7604212905048,669.2882450264316,0.8561801380089585,1.5900488277309228,0,4.403212138331787,54.18397159113837,820.7098180057302,0.6115572414349704,0.7338686897219644,1.4677373794439288,0.12231144828699407,0.24462289657398814,0.9784915862959526,5.504015172914733,0.24462289657398814,2.0792946208788994,7.5833097937936325,214.5342802953876,21.03756910536298,27.153141519712683,185.54646705137,0.8561801380089585,1.1008030345829467,37.67192607239417,62.256527178079985,64.33582179895888,5.748638069488721,0.12231144828699407,2.2016060691658934,0,0.24462289657398814,0.12231144828699407,0.7338686897219644,0.12231144828699407,0,0,0.12231144828699407,1.712360276017917,0,0.12231144828699407,0,0.12231144828699407,0,0,0.12231144828699407,0,0,0,0,0.24462289657398814,0.24462289657398814,4.892457931479763,0.3669343448609822,3.9139663451838103,0.7338686897219644,8.43948993180259,1.3454259311569348,6.360195310923691,78.15701545538921,3.30240910374884,4.280900690044793,1.834671724304911,14.921996691013277,4.403212138331787
211_Oil_and_gas_extraction,0,0,1165.9980669759505,0,0,6562.184890417533,0,0,0,11.123166959953075,0,0,0,0,0,0,0,0,0,0,0,0,0,27307.374886684796,782.9742307897403,22.729949874686717,0,0,0,0,0,0,0,250.51306457633447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9672319095611369,0,0,0,0,0,0,0,0,0,0,0,24.180797739028424,0,0,0
212_Mining_except_oil_and_gas,21.742226750518217,0.5085900994273267,3.178688121420792,430.7758142149457,2.797245546850297,810.8197660120156,194.6628605558093,0.76288514914099,266.37406457506233,1155.8981484734568,9.02747426483505,6.993113867125742,3.81442574570495,4.4501633699891086,22.123669325088713,5.594491093700594,0.6357376242841584,69.29540104697327,13.859080209394651,4.0687207954186135,0.76288514914099,41.06865052875663,0.25429504971366335,32.9312089379194,268.5355724976285,6.230228717984752,0.12714752485683167,0.5085900994273267,0,3.560130695991287,0.25429504971366335,0.25429504971366335,0.12714752485683167,1.3986227734251484,0.12714752485683167,0,0.12714752485683167,0,3.941573270561782,0,0,0,0,0,24.539472297368512,0,0,0,0,0.12714752485683167,0.12714752485683167,0.12714752485683167,2.5429504971366335,0,0.381442574570495,0.381442574570495,0.25429504971366335,0.12714752485683167,0.12714752485683167,0.12714752485683167,0.5085900994273267,2.9243930717071285,51.87619014158732,25.175209921652673,78.06858026209464
213_Support_activities_for_mining,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
22_Utilities,29.597779260967176,3.555427461925854,18.792973727322373,28.720465991141314,0.300133487045689,1.2928827134275833,16.738213700624964,11.843729142649112,41.97251380377404,102.16082155209028,31.906498392087858,16.992172805048238,13.921576360657728,11.058764638068078,21.424913536799952,12.282385777562041,4.0402584794611975,5.448577149444816,41.510769977549906,17.36156786602755,6.002669740913779,37.054942054486986,6.602936715005158,52.54644742430678,93.52621200169892,17.961834840118925,48.62162490140162,124.55539712396093,1.362144287361204,2.1240216006310297,2.1471087919422365,2.5857654268551666,3.416904314058613,3.9248225229051634,1.8238881135853409,1.339057096049997,2.6088526181663734,1.9624112614525817,10.412323281354286,1.8700624962077543,21.81739578909047,1.4544930526060313,1.8931496875189613,3.9017353315939567,42.06486256901887,3.1860324009465444,4.502002305685335,0.8080516958922396,9.234876524482738,13.783053212790486,5.102269279776713,6.187367271403435,16.11485953522238,12.998088708209453,33.19938110551544,5.009920514531886,3.8555609489715432,2.955160487834476,17.36156786602755,23.687458285298224,27.79697833869304,21.72504702384564,3.416904314058613,119.84561009647473,70.66989260360415
23_Construction,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
321_Wood_products,11.89841973235986,3.347844335340797,15.381987486700961,8.822022235019668,1.9453690056710038,16.46777483870338,642.7861123854331,250.68115489355887,9.364915911020878,7.555270324350177,19.453690056710037,8.686298816019367,2.0810924246713065,7.057617788015735,15.246264067700658,12.712760246361675,92.11096036153869,22.801534392050836,3.0311563576734244,0.6333759553347454,1.4929576090033285,53.02261568945155,0,1.628681028003631,2.8049506593395868,5.383695620345336,16.377292559369845,1.5834398883368634,0.09048227933353506,3.66453231300817,0.04524113966676753,0.5428936760012104,0.22620569833383763,2.307298123005144,0.45241139666767527,0.09048227933353506,0.04524113966676753,0.9500639330021181,12.169866570360465,0,0.09048227933353506,0,0,0.22620569833383763,49.76525363344428,0.04524113966676753,0,0,0,0.04524113966676753,0,3.66453231300817,0.18096455866707012,0,0.9048227933353505,3.8002557320084724,2.5335038213389818,0.36192911733414024,2.3977804023386793,0.8143405140018155,0.9048227933353505,0.769099374335048,2.488262681672214,3.347844335340797,7.87195830201755
327_Nonmetallic_mineral_products,6.011994470950194,1.1941632853257236,12.929905916975075,7.494404066526954,19.18896865385473,15.400588576269675,554.3388326570652,13.918178980692915,181.18339501493736,24.74800463726758,24.912716814553885,15.071164221697062,23.01852677576136,21.700829357470905,53.07849913051233,11.818098720292506,5.888460337985464,9.841552592856825,120.23988941900389,3.0883533241182506,0.2882463102510367,2.882463102510367,0.37060239889419005,7.782650376777991,25.036250947518617,14.124069202300799,6.094350559593347,5.6002140277344274,0.1647121772863067,4.611940964016587,0.2882463102510367,0.5764926205020734,1.9765461274356801,2.3059704820082936,0.20589022160788337,0,0,0.12353413296473001,11.035715878182549,0.04117804432157667,0.2882463102510367,0.1647121772863067,0,0.04117804432157667,45.62527310830695,0.6176706648236501,0,0,0.12353413296473001,0.3294243545726134,0.12353413296473001,0.12353413296473001,3.4589557230124406,0.9470950193962635,4.941365318589201,0.08235608864315334,0.24706826592946002,0.2882463102510367,3.870736166228207,8.070896687029027,8.976813662103714,1.894190038792527,2.0589022160788337,14.700561822802872,10.706291523609934
331_Primary_metals,7.374106433677522,0.8992812723996978,106.29504639764427,59.712276487339935,326.6189581355702,23.56116933687208,667.4465603750557,33.992832096708575,65.28782037621806,4846.766345725411,4421.586160134834,1890.2892345841647,427.69817315329624,1020.1446754102171,2741.7287432921985,641.9069722389042,196.0433173831341,394.06505356554754,1.9784187992793352,7.374106433677522,0.5395687634398186,48.74104496406362,10.251806505356555,9.712237741916736,272.48222553710843,91.72668978476918,0.7194250179197582,2.3381313082392143,0.17985625447993955,66.3669579030977,3.4172688351188514,0.7194250179197582,6.654681415757763,3.4172688351188514,1.7985625447993956,0,0.3597125089598791,0.17985625447993955,16.90648792111432,0,0.3597125089598791,0,0,0.17985625447993955,78.95689571669347,0.17985625447993955,0,0,0.5395687634398186,0.17985625447993955,0,0.17985625447993955,0.5395687634398186,0,1.4388500358395164,2.5179875627191537,0.3597125089598791,0.3597125089598791,0.3597125089598791,2.1582750537592745,1.2589937813595768,25.17987562719154,3.9568375985586703,7.014393924717643,11.690656541196072
