Chain-Type Price Indexes for Intermediate Inputs by Industry
Chain-Type Price Indexes for Intermediate Inputs by Industry
"Last Revised on: December 22, 2022"
Line,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Line,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"            Textile mills and textile product mills",74.828,73.141,71.639,74.106,73.956,73.058,74.974,77.815,82.044,85.314,86.871,91.560,89.184,91.174,98.730,100.000,101.506,103.052,100.667,99.197,101.785,105.829,106.921,106.065,118.056
28,"            Apparel and leather and allied products",76.321,75.961,75.164,76.500,77.174,76.892,78.379,80.290,82.270,84.489,86.549,89.747,89.281,93.341,97.990,100.000,103.407,105.761,103.853,101.821,103.463,104.464,104.082,104.193,113.881
29,"            Paper products",66.117,65.500,65.487,69.752,69.866,68.180,70.252,74.357,79.645,84.523,87.233,94.433,90.387,94.364,99.593,100.000,101.603,103.595,101.631,99.768,103.728,109.555,109.607,108.396,122.621
30,"            Printing and related support activities",71.709,70.881,70.470,72.806,73.380,72.847,74.087,76.007,79.772,83.778,86.614,92.465,90.652,92.748,99.251,100.000,101.181,101.130,96.492,96.030,97.844,100.592,102.596,102.596,113.024
31,"            Petroleum and coal products",22.104,15.945,19.877,31.147,27.452,27.161,32.942,41.444,55.383,65.532,72.244,99.908,62.895,80.330,100.880,100.000,98.954,93.972,55.371,47.562,56.890,68.546,63.782,49.509,75.231
32,"            Chemical products",50.233,47.494,48.842,55.063,54.029,53.595,57.631,64.119,73.613,79.869,83.722,94.726,80.486,91.794,103.995,100.000,99.854,100.135,89.233,84.486,91.021,98.081,93.112,90.833,109.154
33,"            Plastics and rubber products",58.848,56.294,57.344,62.076,61.616,61.258,64.789,69.793,77.709,81.950,83.289,90.930,86.325,91.777,98.662,100.000,101.929,104.449,100.157,98.209,102.558,107.177,106.503,105.695,122.794
34,"    Wholesale trade",77.123,76.932,77.697,79.833,80.559,81.017,82.571,85.210,87.777,90.935,92.983,95.997,95.218,96.710,98.821,100.000,101.457,103.193,103.983,104.630,106.702,109.575,111.508,112.621,118.898
35,"    Retail trade",76.582,77.214,78.420,80.607,81.962,82.616,84.258,86.696,89.437,92.691,94.643,97.803,96.560,97.741,99.397,100.000,101.348,103.284,104.203,105.055,107.444,110.405,112.503,113.777,119.928
36,"        Motor vehicle and parts dealers",80.134,80.348,81.489,83.448,84.708,85.056,86.450,88.226,90.685,93.720,95.326,98.204,96.692,97.716,99.365,100.000,101.104,102.626,103.153,103.936,106.035,108.817,110.680,111.993,117.747
37,"        Food and beverage stores",73.745,74.293,75.276,77.515,79.322,80.180,82.135,84.612,87.537,90.794,93.368,97.715,95.638,97.126,99.723,100.000,101.435,103.657,104.076,104.408,107.120,110.496,112.620,113.762,121.825
38,"        General merchandise stores",72.826,74.267,75.977,78.603,79.905,80.752,82.553,85.962,88.927,92.488,94.859,98.098,97.245,98.323,99.583,100.000,101.172,102.758,103.804,104.415,106.703,109.503,111.003,111.730,117.238
39,"        Other retail",77.281,77.869,79.021,81.163,82.440,83.090,84.704,87.083,89.799,93.024,94.792,97.682,96.576,97.735,99.260,100.000,101.424,103.469,104.561,105.601,108.013,110.963,113.233,114.643,120.634
40,"    Transportation and warehousing",60.525,59.095,61.037,65.819,66.168,66.230,68.920,72.396,78.360,82.584,85.872,94.075,86.050,90.992,98.262,100.000,100.678,101.231,93.940,91.941,96.096,101.978,102.995,101.176,111.849
41,"        Air transportation",48.851,46.485,48.387,54.591,53.590,53.449,56.844,60.879,69.504,75.610,78.958,92.900,77.963,86.851,98.304,100.000,99.706,99.331,84.212,78.652,85.155,93.547,93.292,85.824,97.761
42,"        Rail transportation",58.216,56.407,58.651,63.101,63.359,63.830,66.364,70.166,76.952,81.167,84.622,93.106,83.589,89.125,96.789,100.000,101.403,101.877,95.054,93.923,98.950,107.363,106.917,103.510,117.158
43,"        Water transportation",54.825,55.770,58.453,61.876,63.089,62.609,65.912,69.304,74.956,78.509,81.779,93.419,87.458,91.836,99.135,100.000,100.221,100.880,93.424,92.121,94.274,99.608,101.066,106.168,105.516
44,"        Truck transportation",63.470,62.282,63.882,67.488,68.417,68.568,70.579,73.611,78.245,82.033,86.219,92.243,85.553,90.063,97.623,100.000,100.556,100.587,92.575,90.456,94.576,99.848,101.011,100.033,111.076
45,"        Transit and ground passenger transportation",64.688,62.531,65.103,70.477,71.321,71.283,74.290,77.470,81.731,85.194,88.796,93.322,88.093,92.090,97.541,100.000,101.289,102.272,98.347,99.038,102.708,108.540,110.487,111.020,115.528
46,"        Pipeline transportation",65.737,66.065,67.346,71.212,74.476,75.214,78.131,82.378,87.578,90.453,91.746,97.138,93.967,95.832,98.945,100.000,101.582,103.470,102.649,101.660,105.773,110.650,113.819,115.932,121.576
47,"        Other transportation and support activities",65.772,64.249,66.383,71.383,71.710,71.737,74.564,78.069,83.623,86.946,88.896,95.319,88.896,92.562,98.391,100.000,101.008,101.788,97.758,96.829,100.282,105.772,106.837,103.590,116.974
48,"        Warehousing and storage",78.847,79.170,79.697,81.428,83.411,84.204,85.504,87.306,90.124,93.161,94.898,98.855,97.876,98.924,100.340,100.000,101.651,104.490,104.900,105.145,108.072,111.854,114.193,115.266,123.978
49,"    Information",88.102,88.340,88.854,90.066,90.470,89.800,90.704,91.980,93.384,95.473,96.655,98.496,96.813,97.575,98.607,100.000,100.642,101.807,102.472,103.806,104.954,107.300,108.589,109.454,113.363
50,"        Publishing industries, except internet (includes software)",83.125,83.827,84.238,86.440,87.425,86.745,87.611,89.267,91.400,94.320,95.725,98.055,97.121,97.733,99.207,100.000,101.227,102.756,103.597,104.363,105.932,108.005,109.618,110.549,114.813
51,"        Motion picture and sound recording industries",79.428,80.541,82.546,85.006,86.767,87.043,89.160,91.068,92.788,94.935,96.439,98.189,95.080,96.806,97.570,100.000,100.562,102.158,102.980,105.679,107.423,110.149,111.197,112.387,115.763
52,"        Broadcasting and telecommunications",92.998,92.697,92.865,93.200,92.932,91.986,92.657,93.574,94.514,96.143,97.105,98.697,96.863,97.525,98.397,100.000,100.412,101.367,102.033,103.581,104.506,107.122,108.226,108.982,112.232
53,"        Data processing, internet publishing, and other information services",82.384,82.738,83.671,85.544,86.397,86.772,87.746,89.897,92.080,94.732,96.238,98.349,97.080,97.978,99.283,100.000,100.903,102.237,102.671,103.186,104.414,106.135,107.725,108.655,113.651
54,"    Finance, insurance, real estate, rental, and leasing",75.665,75.986,76.541,78.407,80.089,81.274,83.990,86.818,89.877,93.126,95.537,97.027,93.793,96.422,98.366,100.000,102.327,105.372,106.607,108.402,111.820,116.303,118.664,119.080,125.794
55,"        Finance and insurance",78.727,78.941,79.124,79.999,81.043,82.456,84.908,87.740,90.280,92.988,95.703,96.592,93.594,96.443,98.464,100.000,102.339,105.198,106.666,108.308,111.213,115.247,117.212,117.187,122.645
56,"            Federal Reserve banks, credit intermediation, and related activities",73.346,74.161,75.393,77.739,79.286,80.435,82.574,85.694,88.605,91.685,94.531,96.181,92.475,95.580,98.175,100.000,102.207,104.711,105.455,106.731,109.618,113.717,115.635,116.472,122.482
57,"            Securities, commodity contracts, and investments",87.395,85.845,83.394,82.656,82.240,82.432,85.244,87.708,90.273,93.671,96.752,97.259,93.416,96.749,98.664,100.000,102.616,105.874,107.261,109.496,112.099,116.788,117.907,113.915,121.793
58,"            Insurance carriers and related activities",78.043,79.102,81.071,82.792,85.067,87.837,90.284,92.489,94.090,95.393,96.452,97.619,97.373,98.240,99.123,100.000,101.236,102.842,104.436,105.806,108.035,110.992,113.135,114.927,117.289
59,"            Funds, trusts, and other financial vehicles",72.999,72.179,70.958,70.415,70.566,71.328,74.081,79.029,83.269,87.449,93.752,92.646,85.471,91.999,96.337,100.000,106.199,113.820,116.532,118.492,125.116,133.026,136.427,135.328,150.923
60,"        Real estate and rental and leasing",72.260,72.693,73.664,76.747,79.187,80.123,83.122,85.947,89.489,93.228,95.316,97.593,94.045,96.394,98.245,100.000,102.313,105.597,106.550,108.516,112.522,117.546,120.356,121.269,129.389
61,"            Real estate",72.067,72.500,73.531,76.604,79.121,80.083,83.026,85.818,89.374,93.045,95.144,97.485,94.274,96.365,98.199,100.000,102.366,105.676,106.621,108.553,112.564,117.647,120.484,121.452,129.662
62,"                Housing",70.925,71.426,72.035,74.967,77.542,79.270,82.112,85.254,88.098,91.516,93.553,95.314,90.938,93.833,96.321,100.000,103.324,105.975,107.276,110.183,114.356,122.019,124.866,126.494,133.557
63,"                Other real estate",72.578,72.986,74.179,77.310,79.810,80.509,83.491,86.191,89.936,93.677,95.798,98.309,95.453,97.274,98.881,100.000,102.020,105.557,106.390,108.031,111.992,116.328,119.159,119.949,128.486
64,"            Rental and leasing services and lessors of intangible assets",73.395,73.822,74.412,77.550,79.495,80.213,83.649,86.701,90.136,94.402,96.404,98.281,92.562,96.546,98.485,100.000,102.026,105.176,106.168,108.397,112.373,116.883,119.470,119.901,127.247
65,"    Professional and business services",76.042,76.938,78.307,80.844,81.856,82.517,84.214,86.725,89.331,92.399,94.204,96.888,95.826,97.149,98.973,100.000,101.317,102.872,103.562,104.414,106.399,109.091,110.956,111.789,116.591
66,"        Professional, scientific, and technical services",76.870,77.925,79.189,81.501,82.499,83.227,84.802,87.297,89.673,92.701,94.498,96.905,95.993,97.235,98.943,100.000,101.422,103.110,104.200,105.259,107.318,109.978,111.937,112.901,117.750
67,"            Legal services",79.452,80.494,81.592,83.923,85.087,85.926,87.320,89.726,91.950,94.812,96.026,98.086,96.937,98.043,99.064,100.000,101.432,103.204,104.775,105.908,107.923,110.370,112.526,113.834,117.723
68,"            Computer systems design and related services",79.945,80.566,81.455,83.543,84.299,84.890,86.402,88.849,91.066,93.917,95.761,97.792,96.641,97.820,99.084,100.000,101.218,102.813,104.017,105.159,107.025,109.394,111.102,111.913,116.553
69,"            Miscellaneous professional, scientific, and technical services",75.482,76.651,78.073,80.464,81.508,82.257,83.900,86.434,88.884,91.989,93.888,96.436,95.622,96.907,98.880,100.000,101.471,103.164,104.131,105.160,107.267,110.028,112.009,112.949,117.988
70,"        Management of companies and enterprises",80.593,81.437,83.015,85.243,86.369,86.781,88.345,90.057,92.350,94.906,96.338,98.645,96.911,97.889,99.408,100.000,101.114,102.647,102.856,103.475,105.259,107.997,109.675,110.228,113.896
71,"        Administrative and waste management services",71.421,72.011,73.474,76.555,77.538,78.151,80.184,83.155,86.490,89.986,92.068,95.653,94.717,96.462,98.756,100.000,101.221,102.517,102.743,103.370,105.335,108.050,109.859,110.617,115.900
72,"            Administrative and support services",72.574,73.298,74.724,77.666,78.628,79.162,81.207,84.179,87.497,90.973,92.900,96.157,95.128,96.714,98.780,100.000,101.260,102.573,103.021,103.670,105.534,108.117,109.875,110.617,115.625
73,"            Waste management and remediation services",65.635,65.517,67.194,71.094,72.205,73.272,75.259,78.237,81.648,85.208,87.941,92.997,92.506,95.080,98.624,100.000,100.993,102.189,100.871,101.343,104.083,107.885,110.138,111.043,118.791
74,"    Educational services, health care, and social assistance",70.742,71.456,73.171,76.425,77.359,78.058,80.451,83.649,87.299,90.387,92.358,95.369,95.268,96.743,99.023,100.000,101.591,103.822,104.559,105.032,107.116,109.781,111.707,113.389,118.977
75,"        Educational services",78.659,78.354,78.912,81.157,82.778,82.282,84.541,87.043,89.988,92.327,94.048,97.057,95.698,96.824,99.124,100.000,101.072,102.994,102.931,102.992,104.851,107.231,108.974,110.202,115.603
76,"        Health care and social assistance",69.804,70.629,72.473,75.842,76.693,77.542,79.952,83.228,86.952,90.126,92.129,95.140,95.211,96.733,99.010,100.000,101.658,103.931,104.772,105.297,107.409,110.109,112.056,113.790,119.402
77,"            Ambulatory health care services",70.801,71.587,73.284,76.603,77.462,78.316,80.517,83.680,87.407,90.782,92.462,95.487,95.582,97.019,99.145,100.000,101.705,103.721,104.937,105.868,107.980,110.738,112.659,113.970,118.612
78,"            Hospitals",66.203,67.165,69.497,73.515,74.097,75.177,78.078,81.737,85.974,89.232,91.475,94.523,95.208,96.809,99.085,100.000,101.846,104.232,104.736,105.075,107.124,109.809,111.778,114.054,120.001
79,"            Nursing and residential care facilities",73.382,74.019,75.502,78.062,79.389,79.945,82.123,84.890,87.951,90.799,92.851,95.883,94.806,96.264,98.817,100.000,101.221,103.654,104.644,105.005,107.162,109.918,111.815,113.160,118.789
80,"            Social assistance",76.040,76.689,77.445,79.135,80.458,80.708,82.442,85.389,87.777,89.956,92.511,95.297,94.229,95.850,98.400,100.000,101.162,103.743,104.477,104.442,106.806,109.277,111.284,112.528,120.203
81,"    Arts, entertainment, recreation, accommodation, and food services",71.469,72.221,73.435,75.648,77.119,77.686,79.715,82.983,86.027,89.076,91.367,95.211,94.512,96.336,99.044,100.000,101.311,103.728,104.149,104.610,106.920,109.398,111.276,112.874,118.755
82,"        Arts, entertainment, and recreation",70.793,71.753,73.541,76.136,78.083,79.010,80.895,83.825,87.102,90.416,92.594,95.863,95.009,96.732,98.785,100.000,101.446,103.543,104.693,105.594,108.128,110.963,112.954,114.738,119.007
83,"            Performing arts, spectator sports, museums, and related activities",68.857,70.281,72.601,75.393,77.671,78.971,80.695,83.528,86.848,90.006,92.386,95.454,95.694,97.138,98.452,100.000,101.596,103.557,106.031,107.745,110.038,112.585,114.643,117.164,119.247
84,"            Amusements, gambling, and recreation industries",72.634,73.162,74.457,76.859,78.469,78.999,81.060,84.087,87.321,90.779,92.772,96.231,94.354,96.341,99.076,100.000,101.316,103.533,103.447,103.584,106.335,109.433,111.361,112.428,119.028
85,"        Accommodation and food services",71.571,72.272,73.345,75.467,76.819,77.293,79.358,82.716,85.695,88.668,90.994,95.021,94.369,96.223,99.109,100.000,101.278,103.772,104.016,104.370,106.625,109.015,110.866,112.423,118.606
86,"            Accommodation",72.186,73.134,74.221,76.230,77.368,77.604,79.611,82.870,85.801,88.709,91.060,95.128,94.651,96.435,99.175,100.000,101.236,103.296,103.324,103.801,105.798,108.524,110.150,112.025,117.218
87,"            Food services and drinking places",71.387,72.015,73.084,75.240,76.660,77.204,79.285,82.671,85.665,88.658,90.976,94.993,94.289,96.164,99.091,100.000,101.290,103.917,104.227,104.544,106.879,109.165,111.084,112.572,118.926
88,"    Other services, except government",78.747,78.754,79.066,80.172,81.078,81.744,83.426,85.809,88.585,91.627,93.728,96.625,94.979,96.406,98.714,100.000,101.481,103.127,103.318,103.708,105.540,108.449,110.252,111.000,117.357
89,Government,63.305,62.898,64.286,68.057,69.195,69.650,72.864,76.230,81.430,85.270,88.827,95.163,89.700,93.514,98.760,100.000,101.577,102.957,98.053,97.204,100.974,105.481,106.302,105.123,114.503
90,"    Federal",68.147,68.317,69.591,72.411,74.173,75.334,77.946,80.821,84.467,87.626,90.112,94.636,91.890,94.550,98.671,100.000,101.222,102.617,100.631,100.677,103.176,106.537,108.262,108.364,112.754
91,"        General government",68.552,68.690,69.879,72.533,74.240,75.437,77.890,80.713,84.222,87.362,89.836,94.061,92.149,94.585,98.631,100.000,101.094,102.357,100.656,100.714,102.953,106.099,107.866,108.066,112.092
92,"            National defense",68.387,68.533,69.800,72.555,74.145,75.204,77.884,80.770,84.404,87.563,90.028,94.611,92.279,94.601,98.845,100.000,101.041,102.158,99.939,99.691,101.980,105.165,106.604,106.390,110.769
93,"            Nondefense",69.018,69.137,70.123,72.500,74.501,76.022,77.934,80.602,83.806,86.904,89.404,92.732,91.840,94.536,98.117,100.000,101.215,102.790,102.116,102.753,104.893,107.959,110.430,111.435,114.967
94,"        Government enterprises",64.929,65.311,67.139,71.062,73.192,74.074,78.149,81.602,86.827,90.171,92.743,99.458,89.210,94.144,99.022,100.000,102.230,104.588,100.228,100.158,105.417,111.439,112.570,110.934,123.085
95,"    State and local",61.044,60.440,61.852,65.889,66.807,67.007,70.440,74.013,79.919,84.076,88.134,95.369,88.490,92.933,98.807,100.000,101.758,103.133,96.968,95.761,100.015,104.961,105.422,103.695,115.386
96,"        General government",60.943,60.653,61.908,65.341,66.259,66.622,69.557,72.770,77.951,82.051,86.166,92.662,88.149,91.967,97.959,100.000,101.357,102.433,97.259,96.028,99.819,104.578,105.227,103.643,113.949
97,"        Government enterprises",59.488,57.448,59.571,66.658,67.538,66.790,72.848,78.229,87.829,92.167,95.826,106.528,89.522,96.391,101.821,100.000,103.172,105.627,95.904,94.784,100.739,106.378,106.134,103.841,121.533
,"    Addenda:",,,,,,,,,,,,,,,,,,,,,,,,,
98,"            Private goods-producing industries1",62.404,60.040,60.220,63.413,62.828,62.322,65.025,70.319,75.807,80.614,84.633,94.096,83.970,90.436,99.634,100.000,100.371,101.163,92.391,89.320,93.577,98.878,98.428,96.315,112.777
99,"            Private services-producing industries2",74.229,74.367,75.479,78.240,79.347,79.756,82.214,85.071,88.578,91.707,93.902,97.285,94.173,96.428,98.895,100.000,101.621,103.728,103.549,104.312,106.970,110.447,112.259,112.871,119.356
100,"            Information-communications-technology-producing industries3",105.263,101.225,98.696,97.653,95.702,94.559,94.256,94.941,96.009,97.771,98.331,99.470,97.646,98.086,99.023,100.000,100.510,101.488,102.043,103.074,104.205,106.454,107.741,108.564,112.623

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
