"","","","","","","","","",""
"TABLE 1","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"4870S","Other
transportation
and support","Yearly price change from
2020 Q4 to 2021 Q4","14","23.91","0.17","0.23","0.04","0.19","18"
"","activities","Yearly price change from
2021 Q2 to 2022 Q2","14","15.30","0.17","0.15","0.03","0.12","26"
"","","Sectoral price volatility
2000-2019","66","1.02","1.79","0.02","0.02","0.00","37"
"623","Nursing and
residential care
facilities","Yearly price change from
2020 Q4 to 2021 Q4","66","2.90","1.79","0.05","0.05","0.00","39"
"","","Yearly price change from
2021 Q2 to 2022 Q2","66","3.66","1.79","0.07","0.07","0.00","40"
"","","Sectoral price volatility
2000-2019","16","1.20","0.66","0.02","0.01","0.01","38"
"532RL","Rental and
leasing services
and lessors of","Yearly price change from
2020 Q4 to 2021 Q4","16","7.80","0.66","0.11","0.05","0.06","29"
"","intangible assets","Yearly price change from
2021 Q2 to 2022 Q2","16","7.22","0.66","0.11","0.05","0.06","32"
"","","Sectoral price volatility
2000-2019","31","0.90","1.73","0.02","0.02","0.00","39"
"3361MV","Motor vehicles ,
bodies and
trailers , and parts","Yearly price change from
2020 Q4 to 2021 Q4","31","4.99","1.73","0.10","0.09","0.01","31"
"","","Yearly price change from
2021 Q2 to 2022 Q2","31","5.48","1.73","0.11","0.10","0.01","31"
"","","Sectoral price volatility
2000-2019","58","0.83","1.89","0.02","0.02","0.00","40"
"61","Educational
services","Yearly price change from
2020 Q4 to 2021 Q4","58","3.98","1.89","0.08","0.08","0.00","33"
"","","Yearly price change from
2021 Q2 to 2022 Q2","58","3.95","1.89","0.08","0.07","0.00","35"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 9","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","25","2.51","0.17","0.02","0.00","0.01","41"
"322","Paper products","Yearly price change from
2020 Q4 to 2021 Q4","25","15.29","0.17","0.10","0.03","0.07","30"
"","","Yearly price change from
2021 Q2 to 2022 Q2","25","17.09","0.17","0.11","0.03","0.08","30"
"","","Sectoral price volatility
2000-2019","24","1.96","0.00","0.01","0.00","0.01","42"
"493","Warehousing and
storage","Yearly price change from
2020 Q4 to 2021 Q4","24","9.65","0.00","0.07","0.00","0.07","36"
"","","Yearly price change from
2021 Q2 to 2022 Q2","24","14.16","0.00","0.10","0.00","0.10","33"
"","","Sectoral price volatility
2000-2019","38","6.77","0.01","0.01","0.00","0.01","43"
"212","Mining , except oil
and gas","Yearly price change from
2020 Q4 to 2021 Q4","38","10.05","0.01","0.02","0.00","0.02","55"
"","","Yearly price change from
2021 Q2 to 2022 Q2","38","17.66","0.01","0.03","0.00","0.03","51"
"","","Sectoral price volatility
2000-2019","21","2.27","0.00","0.01","0.00","0.01","44"
"23","Construction","Yearly price change from
2020 Q4 to 2021 Q4","21","12.93","0.00","0.07","0.00","0.07","35"
"","","Yearly price change from
2021 Q2 to 2022 Q2","21","16.53","0.00","0.09","0.00","0.09","34"
"","","Sectoral price volatility
2000-2019","45","4.14","0.06","0.01","0.00","0.01","45"
"482","Rail
transportation","Yearly price change from
2020 Q4 to 2021 Q4","45","7.53","0.06","0.02","0.00","0.02","53"
"","","Yearly price change from
2021 Q2 to 2022 Q2","45","9.86","0.06","0.03","0.01","0.02","53"
"","","","","","","","","",""
"","","","","","","","","",""
"TABLE 10","","","","","","","","",""
"","","","","","","","","",""
"Code","Description","Period of Price Change","Rank
For-
ward
Link
ages","Yearly
Price
Change
( % )","Share
of Per
sonal
Con
sump
tion","CPI
Total","CPI
Direct","CPI
Indi
rect","Rank
CPI
Im
pact"
"","","Sectoral price volatility
2000-2019","60","4.89","0.18","0.01","0.01","0.00","46"
