unit,induse,stk_flow,prod_na,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
NR,CPA_C23,TOTAL,CPA_L68A,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_L68B,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_L68B,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_L68B,EU28	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M69_70,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M69_70,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M69_70,EU28	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M71,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M71,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M71,EU28	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M72,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M72,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M72,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M73,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M73,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M73,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M74_75,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M74_75,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_M74_75,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N77,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N77,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N77,EU28	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N78,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N78,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N78,EU28	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N79,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N79,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N79,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N80-82,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N80-82,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_N80-82,EU28	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_O,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_O,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_O,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_P,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_P,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_P,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_Q86,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_Q86,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_Q86,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_Q87_88,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_Q87_88,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_Q87_88,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_R90-92,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_R90-92,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_R90-92,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_R93,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_R93,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_R93,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S94,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S94,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S94,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S95,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S95,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S95,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S96,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S96,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_S96,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_T,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_T,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_T,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_U,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_U,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,CPA_U,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D1,EA19	0.21 	0.21 	0.21 	0.21 	0.21 	0.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D1,EU27_2020	0.2 	0.2 	0.2 	0.21 	0.21 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D1,EU28	0.2 	0.21 	0.21 	0.21 	0.21 	0.21 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D11,EA19	0 	0 	0 	0.17 	0.17 	0.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D11,EU27_2020	0 	0 	0 	0.16 	0.16 	0.16 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D11,EU28	0 	0 	0 	0.17 	0.17 	0.17 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D21X31,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D21X31,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D21X31,EU28	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D29X39,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D29X39,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,D29X39,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P1,EA19	1 	1 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P1,EU27_2020	1 	1 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P1,EU28	1 	1 	1 	1 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P2_ADJ,EA19	0.65 	0.64 	0.64 	0.64 	0.65 	0.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P2_ADJ,EU27_2020	0.65 	0.65 	0.64 	0.64 	0.65 	0.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P2_ADJ,EU28	0.65 	0.64 	0.64 	0.64 	0.65 	0.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P51C,EA19	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P51C,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,P51C,EU28	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,TOTAL,EA19	0.64 	0.63 	0.63 	0.63 	0.64 	0.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,TOTAL,EU27_2020	0.64 	0.64 	0.63 	0.63 	0.64 	0.65 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C23,TOTAL,TOTAL,EU28	0.64 	0.63 	0.63 	0.63 	0.64 	0.64 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,B1G,EA19	0.22 	0.22 	0.22 	0.22 	0.2 	0.19 	0.17 	0.17 	0.18 	0.18 	0.19 	0.19 	0.21 	0.2 	0.2 
NR,CPA_C24,DOM,B1G,EU27_2020	0.22 	0.23 	0.23 	0.23 	0.21 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,B1G,EU28	0.23 	0.23 	0.23 e	0.23 	0.22 	0.21 	0.2 	0.19 	0.19 	0.19 	0.19 	0.2 	0.21 	0.21 	0.21 
NR,CPA_C24,DOM,B2A3G,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,B2A3G,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,B2A3G,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,B2A3N,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,B2A3N,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,B2A3N,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,B3G,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,B3G,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,B3G,EU28	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_A01,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_A01,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_A01,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_A02,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_A02,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_A02,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_A03,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_A03,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_A03,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_B,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_B,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_B,EU28	0.02 	0.02 	0.01 e	0.01 	0.02 	0.02 	0.02 	0.01 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
NR,CPA_C24,DOM,CPA_C10-12,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C10-12,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C10-12,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C13-15,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C13-15,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C13-15,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C16,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C16,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C16,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C17,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C17,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C17,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C18,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C18,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C18,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C19,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0.02 	0.02 	0.02 
NR,CPA_C24,DOM,CPA_C19,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C19,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
NR,CPA_C24,DOM,CPA_C20,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
NR,CPA_C24,DOM,CPA_C20,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C20,EU28	0.01 	0.01 	0.01 e	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
NR,CPA_C24,DOM,CPA_C21,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C21,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C21,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C22,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C22,EU27_2020	0.01 	0.01 	0.01 	0.01 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C22,EU28	0 	0 	0 e	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C23,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_C23,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C23,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_C24,EA19	0.22 	0.22 	0.22 	0.22 	0.22 	0.22 	0.23 	0.23 	0.22 	0.22 	0.22 	0.23 	0.25 	0.24 	0.24 
NR,CPA_C24,DOM,CPA_C24,EU27_2020	0.23 	0.23 	0.23 	0.23 	0.24 	0.24 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C24,EU28	0.22 	0.22 	0.22 e	0.22 	0.22 	0.22 	0.24 	0.24 	0.24 	0.23 	0.23 	0.24 	0.26 	0.25 	0.25 
NR,CPA_C24,DOM,CPA_C25,EA19	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 
NR,CPA_C24,DOM,CPA_C25,EU27_2020	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C25,EU28	0.03 	0.03 	0.03 e	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 
NR,CPA_C24,DOM,CPA_C26,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C26,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C26,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C27,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C27,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C27,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C28,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_C28,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C28,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_C29,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C29,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C29,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C30,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C30,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C30,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C31_32,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C31_32,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C31_32,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_C33,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_C33,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_C33,EU28	0.02 	0.02 	0.02 e	0.02 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_C24,DOM,CPA_D,EA19	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.06 	0.05 	0.04 	0.05 	0.05 
NR,CPA_C24,DOM,CPA_D,EU27_2020	0.04 	0.04 	0.04 	0.05 	0.05 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_D,EU28	0.04 	0.04 	0.04 e	0.04 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.04 	0.04 	0.04 	0.04 
NR,CPA_C24,DOM,CPA_E36,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_E36,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_C24,DOM,CPA_E36,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_C24,DOM,CPA_E37-39,EA19	0.06 	0.06 	0.06 	0.06 	0.07 	0.07 	0.07 	0.07 	0.07 	0.07 	0.07 	0.06 	0.06 	0.06 	0.06 
NR,CPA_C24,DOM,CPA_E37-39,EU27_2020	0.06 	0.06 	0.06 	0.06 	0.07 	0.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 
