unit,induse,stk_flow,prod_na,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
NR,CPA_A01,DOM,CPA_C19,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C19,EU28	0.02 	0.02 	0.02 e	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
NR,CPA_A01,DOM,CPA_C20,EA19	0.04 	0.04 	0.04 	0.04 	0.03 	0.04 	0.04 	0.04 	0.04 	0.03 	0.03 	0.03 	0.03 	0.03 	0.03 
NR,CPA_A01,DOM,CPA_C20,EU27_2020	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C20,EU28	0.04 	0.04 	0.04 e	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.04 	0.03 	0.04 	0.04 	0.04 
NR,CPA_A01,DOM,CPA_C21,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C21,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C21,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C22,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C22,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C22,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C23,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C23,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C23,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C24,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C24,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C24,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C25,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C25,EU27_2020	0 	0 	0 	0.01 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C25,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.01 	0 	0 
NR,CPA_A01,DOM,CPA_C26,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C26,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C26,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C27,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C27,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C27,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C28,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C28,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C28,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C29,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C29,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C29,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C30,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C30,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C30,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C31_32,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C31_32,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C31_32,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_C33,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 
NR,CPA_A01,DOM,CPA_C33,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_C33,EU28	0.02 	0.02 	0.02 e	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 
NR,CPA_A01,DOM,CPA_D,EA19	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_D,EU27_2020	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_D,EU28	0.02 	0.02 	0.02 e	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.02 	0.01 	0.02 	0.01 
NR,CPA_A01,DOM,CPA_E36,EA19	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_E36,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_E36,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_E37-39,EA19	0 	0 	0 	0 	0 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_E37-39,EU27_2020	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_E37-39,EU28	0 	0 	0 e	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_F,EA19	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_F,EU27_2020	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_F,EU28	0.01 	0.01 	0.01 e	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_G45,EA19	0.01 	0.01 	0.01 	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
NR,CPA_A01,DOM,CPA_G45,EU27_2020	0.01 	0.01 	0.01 	0.01 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_G45,EU28	0.01 	0.01 	0.01 e	0.01 	0 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 
NR,CPA_A01,DOM,CPA_G46,EA19	0.05 	0.04 	0.04 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	0.06 	0.05 	0.05 	0.05 	0.05 
NR,CPA_A01,DOM,CPA_G46,EU27_2020	0.05 	0.05 	0.05 	0.05 	0.05 	0.05 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,CPA_A01,DOM,CPA_G46,EU28	0.05 	0.05 	0.05 e	0.05 	0.05 	0.05 	0.04 	0.05 	0.05 	0.05 	0.06 	0.06 	0.05 	0.05 	0.05 
