industry,name,share_personal_consump,fl,rank_fl,price_shock_pct,impact_dir,impact_indir,impact_total,year,impact_rank
62,Health_care_and_social_assistance,13.055186494750881,1.0533356078573142,45,6.644264548648238,0.8674211280306453,0.002967722689643033,0.8703888507202884,1989,1
531,Real_estate,14.971221355640122,2.3242494107282883,7,4.265332865764759,0.6385724248885104,0.08419405765433856,0.7227664825428489,1989,2
44RT,Retail_trade,14.066878705087014,1.5628393617254088,28,2.7697258013064996,0.38961396893328465,0.014159655479407465,0.4037736244126921,1989,3
311FT,Food_and_beverage_and_tobacco_products,6.503670310137576,1.9366029053765446,16,5.087200767288458,0.3308547659192304,0.02118395801968055,0.35203872393891095,1989,4
52,Finance_and_insurance,6.29664844025594,3.3899980412288966,3,4.507337526205446,0.2838111980408859,0.06597828294985858,0.34978948099074453,1989,5
324,Petroleum_and_coal_products,1.5644763834918478,1.729418391908117,20,11.010348874426533,0.1722543078804636,0.07698482678622472,0.24923913466668832,1989,6
722,Food_services_and_drinking_places,4.889742284923877,1.2829237572570633,36,4.4093771037104545,0.21560717674188185,0.015675394873335018,0.23128257161521684,1989,7
81,Other_services_except_government,4.49149878171093,1.594945972735293,26,3.2026194443368183,0.14384561332522552,0.020419345248321476,0.164264958573547,1989,8
GSLG,State_and_local_general_government,2.5601083051915436,1.155093456633432,41,5.74422986340084,0.1470585058022178,0.01088104970617659,0.1579395555083944,1989,9
211,Oil_and_gas_extraction,0.06279110763467732,1.809354742106421,18,13.570961412688053,0.008521356987701482,0.1480790703033328,0.1566004272910343,1989,10
325,Chemical_products,1.6505155225117325,3.4013242314027807,2,5.353676702929633,0.08836326500694792,0.06612505280847007,0.154488317815418,1989,11
111CA,Farms,0.706947440993357,1.9064004294541037,17,5.509357392611913,0.03894826110224826,0.11247016700116945,0.1514184281034177,1989,12
54,Professional_scientific_and_technical_services,1.43133207619817,2.6800032121310022,5,3.910919000187918,0.05597823812381845,0.07804209927024235,0.1340203373940608,1989,13
51,Information,3.521188722840291,2.4936612388078205,6,2.831915970030585,0.0997171057770302,0.03362650649025941,0.1333436122672896,1989,14
22,Utilities,2.609152900551721,2.117051614118537,11,3.3869585911470823,0.0883709283213998,0.03912995602193197,0.1275008843433318,1989,15
3361MV,Motor_vehicles_bodies_and_trailers_and_parts,2.581962759060697,1.7601583309271915,19,2.7392087010158717,0.07072534855318006,0.013898595081057214,0.08462394363423728,1989,16
48,Transportation,2.081594765642153,2.8939702936054656,4,2.0693563424309502,0.04307561330652657,0.03392577823420113,0.0770013915407277,1989,17
322,Paper_products,0.36918726635190285,2.1678108565692744,8,5.8963075018909406,0.021768416481933336,0.050815661298540794,0.07258407778047414,1989,18
61,Educational_services,1.505792383773893,1.0889261933071206,44,4.505829911508319,0.0678484436332982,0.004594064912754546,0.07244250854605275,1989,19
721,Accommodation,1.379508235574065,1.1688676651686825,39,4.273554677517644,0.058954038728116574,0.008177420893102449,0.06713145962121903,1989,20
56,Administrative_and_waste_management_services,0.49993271176641724,2.1669751283808774,9,3.803598636000882,0.019015433805669668,0.04783689082244366,0.06685232462811333,1989,21
GSLE,State_and_local_government_enterprises,1.317815387236651,1.3080042791975761,35,4.056208053691268,0.05345333386987581,0.01295846537848195,0.06641179924835776,1989,22
71,Arts_entertainment_and_recreation,1.2529612419399603,1.1624444151028317,40,4.710785808681517,0.059024320373587326,0.005341287184705631,0.06436560755829296,1989,23
332,Fabricated_metal_products,0.33575188689805074,2.162856083010959,10,4.636235165920355,0.015566247050608566,0.04548872251888581,0.061054969569494376,1989,24
GFG,Federal_general_government,0.6784151933546175,2.1167976226679337,12,2.979530865194402,0.02021359008016911,0.03304336362808439,0.0532569537082535,1989,25
315AL,Apparel_and_leather_and_allied_products,1.568411977095582,1.123938577336827,42,3.175629320808482,0.04980695061571932,0.0011596414445738524,0.050966592060293164,1989,26
339,Miscellaneous_manufacturing,0.7146986793226567,1.2039654419718726,38,4.446218201705765,0.031777062767394684,0.007551752569358282,0.03932881533675297,1989,27
326,Plastics_and_rubber_products,0.30960023303448786,1.6046080009973143,25,3.7898628870744133,0.011733424330069953,0.02262170142265159,0.034355125752721545,1989,28
335,Electrical_equipment_appliances_and_components,0.4470411408616458,1.384675557960805,34,4.591978296389931,0.020528032164300717,0.012589704702701553,0.03311773686700227,1989,29
331,Primary_metals,0.11694082192340062,2.1017821480074903,13,4.430208914400868,0.00518072271742414,0.025347339323611606,0.03052806204103575,1989,30
532RL,Rental_and_leasing_services_and_lessors_of_intangible_assets,0.398827384119382,1.657924441164469,23,3.4184130553164493,0.013633567366914037,0.016686134710344004,0.030319702077258044,1989,31
23,Construction,1.7681832452146138e-4,1.5337423201888427,29,4.204326650809809,7.434019941371176e-6,0.027693690323564484,0.027701124343505853,1989,32
333,Machinery,0.2197140193569453,1.6188069761747896,24,4.081666120039373,0.008967992689069186,0.018325528576838286,0.027293521265907474,1989,33
GFE,Federal_government_enterprises,0.38732895693993524,1.271599690345105,37,3.5409156991217383,0.013714991843530644,0.01104700792748207,0.024761999771012712,1989,34
313TT,Textile_mills_and_textile_product_mills,0.48813946105899847,1.7272479302372432,21,2.382322799825931,0.011629057675755942,0.01255800996273396,0.024187067638489903,1989,35
42,Wholesale_trade,3.3195996312187024,3.4775387707717997,1,0.3898022266597412,0.012939873278679058,0.00994605960542788,0.022885932884106938,1989,36
323,Printing_and_related_support_activities,0.09024074416604408,1.3882090098409234,33,3.9781114407980267,0.0035898773679306772,0.019106230924687797,0.022696108292618474,1989,37
