industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,5415_Computer_systems_design_and_related_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,Other_Noncomparable_imports_and_rest_of_the_world_adjustment,Used_Scrap_used_and_secondhand_goods
111CA_Farms,191741,4422,0,0,0,0,0,346,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,12,39861,0,0,0,0,231,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,64074,255,1559,0,86,0,0,0,0,0,0,6470,35,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,48288,475,0,2842,0,0,0,0,0,0,116,1597,0,286,6,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,22,6,15215,0,837,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,186,0,0,235911,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,2878,0,0,0,0,0,0,0,0,0,0,0,0,0,257,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0
23_Construction,0,0,0,0,0,0,587053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,569,459139,1,90,0,0,0,0,1309,18,0,0,0,0,0,0,0,0,0,0,5313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,184,0,79377,192,0,125,19,10,3438,230,0,22,55,0,0,0,286,0,165,126,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,420,0,999,78418,0,0,6,0,0,25,0,0,0,0,0,0,0,0,0,33,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
321_Wood_products,0,0,0,0,0,0,280,0,6,0,78196,10,0,0,8,105,39,0,232,0,0,0,0,0,243,63,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
322_Paper_products,0,0,0,0,0,1,130,0,285,0,136,130919,441,0,515,1146,2,25,237,0,315,0,0,0,28,306,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259
323_Printing_and_related_support_activities,0,0,0,0,0,0,123,0,29,40,0,325,59239,0,0,32,0,0,136,0,11,0,0,0,0,180,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24339,67,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
324_Petroleum_and_coal_products,0,0,0,60,0,0,114,0,13,0,0,27,0,133645,6500,15,96,81,0,15,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,30,0,0,1376,1037,0,0,22,203,3,2473,325636,1816,139,36,80,237,1493,25,28,0,0,583,6943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9871,756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,476,0,235,0,226,969,106,0,825,126541,97,96,587,1007,170,355,396,33,139,576,1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
327_Nonmetallic_mineral_products,0,0,0,239,1,0,1103,0,69,0,86,183,0,77,186,219,66843,19,67,93,77,43,9,7,39,81,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
331_Primary_metals,0,0,0,0,0,0,284,0,26,0,0,26,0,194,388,90,51,139133,2643,425,3,514,0,0,13,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299
332_Fabricated_metal_products,0,0,0,0,0,0,3236,0,13,1,212,32,118,4,120,961,211,3542,183062,2367,467,292,1399,316,204,262,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,274,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,509
333_Machinery,0,0,0,0,0,0,3052,106,0,0,0,21,0,1,345,206,74,314,2610,201555,544,1036,2094,552,143,263,3111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3203,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
334_Computer_and_electronic_products,0,0,0,0,0,0,404,0,95,0,31,177,84,0,784,245,144,48,520,878,302426,1515,342,1392,170,939,4032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15927,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,110,0,5,1,0,25,0,28,187,86,151,774,644,876,1744,88972,715,70,25,124,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,1562,0,122,0,0,0,0,0,36,115,20,82,804,1313,1957,721,355446,174,115,1,1528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9309,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614
3364OT_Other_transportation_equipment,0,0,0,0,0,0,829,0,73,0,0,0,0,0,11,67,0,1,489,1482,1890,170,210,116794,0,26,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10775,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
337_Furniture_and_related_products,0,0,0,0,0,0,407,0,34,0,360,48,0,0,17,105,98,1,155,81,24,8,165,0,50216,47,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,1581,0,118,198,76,268,148,11,425,433,65,55,280,189,299,12,6,31,188,80801,1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4374,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
42_Wholesale_trade,0,557,0,0,0,0,1806,6265,0,0,0,0,0,0,0,0,0,0,9,159,47,0,232,6,30,1197,585424,0,0,0,0,0,0,67,703,73,0,0,0,0,0,0,0,0,0,7657,0,1301,4599,0,147,0,10,0,0,0,0,0,0,0,25251,0,0,0,0,0,0
44RT_Retail_trade,67,0,0,0,0,0,1546,8464,0,466,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,799,0,643138,0,0,0,679,0,0,1066,113,0,0,27,0,1865,0,94,0,17,4756,0,1523,411,0,1286,0,74,216,0,0,0,429,0,16593,57354,0,0,0,0,0,0
48_Transportation,0,51,0,0,0,1448,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,18,97027,36172,20468,135787,20649,20914,67975,2267,0,0,0,0,0,0,0,0,0,280,0,1124,882,0,9,5,11,20,0,0,0,2,0,38,151,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,97,0,0,0,223,0,0,178,19730,0,0,0,0,0,0,0,0,0,0,0,26,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1424,0,0,0,0,0,626,0,0,0,0,0,0,0,38,0,0,0,0,0,1991,953,0,0,0,0,0,0,0,0,85988,69780,249135,36295,0,0,0,0,11,1699,0,88150,5158,0,194,0,1223,0,0,0,0,6,0,0,1759,0,0,0,0,0,0
