industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,4A0_Other_retail,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,5415_Computer_systems_design_and_related_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFGD_Federal_general_government_defense,GFGN_Federal_general_government_nondefense,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,HS_Housing,ORE_Other_real_estate,Other_Noncomparable_imports_and_rest_of_the_world_adjustment,Used_Scrap_used_and_secondhand_goods
111CA_Farms,381058,4866,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,17,50840,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,301566,79,50162,0,874,0,0,0,0,0,0,20328,239,0,0,0,8,178,0,0,0,0,0,0,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,86283,9785,0,11960,0,0,0,0,0,0,114,2611,0,431,0,0,0,0,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,76,64,93718,0,8851,0,0,0,0,0,0,151,0,0,0,0,3520,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,147,0,0,550422,2695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3101,0,0,18,0,0,0,0,0,0,0,0,0,0,126,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871,0,0,0,0,0
23_Construction,0,0,0,0,0,0,1722170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,90,964356,1,474,0,61,0,0,2611,0,0,0,0,0,0,0,0,0,0,0,7119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2992,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,22,0,44751,218,0,0,143,0,3652,42,0,0,0,0,0,0,1,0,66,34,568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,1,0,179,17056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,361,0,0,0,109807,10,0,0,23,120,0,0,214,0,0,0,0,0,281,0,936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
322_Paper_products,0,0,0,0,0,0,49,0,222,0,297,186744,152,0,167,282,22,0,7,0,141,0,0,0,0,8,968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504
323_Printing_and_related_support_activities,0,0,0,0,0,0,9,0,639,26,0,482,63090,0,0,149,0,0,103,0,32,0,0,0,0,484,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17285,189,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165
324_Petroleum_and_coal_products,0,0,0,171,0,0,142,0,0,0,0,1,0,562669,28284,1,124,0,0,0,0,38,0,0,0,0,4038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,4,0,0,81,8089,20,0,0,139,0,8448,726887,1759,4,5,14,26,675,2,0,0,0,1404,7248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60279,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,66,0,958,0,62,941,115,0,1644,240132,180,7,331,225,52,279,931,13,169,1201,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1775,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
327_Nonmetallic_mineral_products,0,0,5,670,1,0,491,0,24,0,9,35,0,98,198,198,133652,0,50,43,0,23,0,1,43,5,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,898,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
331_Primary_metals,0,0,0,0,0,0,125,0,12,0,0,2,0,1237,245,0,5,231229,1301,96,1,295,0,0,2,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520
332_Fabricated_metal_products,0,0,0,0,0,0,1877,0,11,0,341,0,83,2,176,763,227,3373,362751,2908,342,188,746,347,37,75,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2718,323,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0,3107
333_Machinery,0,0,0,0,0,0,434,2,1,0,0,0,0,1,183,112,158,38,2069,374915,662,3808,1610,233,6,362,5308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9171,942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
334_Computer_and_electronic_products,0,0,0,0,0,0,29,0,0,0,0,1,1,0,314,26,1,11,25,536,309865,782,6,2164,4,1158,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53951,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,42,0,0,0,0,46,0,1,55,108,17,629,252,757,455,124657,291,10,11,21,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2980,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,282,0,163,0,0,0,0,0,17,70,1,60,1473,1473,26,282,693689,1914,0,18,1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14776,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363
3364OT_Other_transportation_equipment,0,0,0,0,0,0,441,0,2,0,0,0,0,0,11,24,0,0,408,2118,3840,81,1876,314142,0,0,1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14327,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
337_Furniture_and_related_products,0,0,0,0,0,0,209,0,57,19,231,1,3,0,3,3,21,0,48,3,0,1,0,0,72825,116,847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,993,0,68,98,24,51,427,174,1232,801,0,9,237,38,794,142,13,4,213,142744,4564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14264,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42_Wholesale_trade,0,767,0,0,0,0,3038,3557,0,0,0,0,0,0,0,0,0,0,11,557,158,0,349,13,30,1527,2005910,0,0,0,0,0,0,0,0,885,1211,17,0,0,0,0,0,0,0,0,0,14829,0,1317,19994,0,33,0,0,0,0,0,0,0,0,0,0,72456,0,0,0,0,0,0,0,0,0
44RT_Retail_trade,188,0,0,0,0,0,5943,12793,0,285,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,2283,0,226983,224811,226038,0,0,0,34,0,0,4410,417,1026321,0,1112,59,0,5851,0,0,0,6044,0,9114,2108,0,2391,0,265,1858,0,0,0,0,640,0,52297,113083,0,0,0,0,0,0,0,0,0
48_Transportation,0,977,0,0,0,173,2419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,9,0,254096,82759,57877,387595,91837,58996,255142,6626,16,0,0,0,0,0,0,99,0,896,0,5891,1056,0,107,2270,0,54,0,0,0,0,99,0,55,1323,0,0,0,0,0,0,11,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,0,465,147306,0,0,0,0,0,0,0,0,0,10,0,843,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,2027,0,0,0,0,0,1383,0,0,0,0,0,0,0,10,0,0,0,0,0,19791,0,0,0,0,0,0,0,0,0,0,0,2875,318666,161519,745869,285879,0,0,0,0,11224,0,331520,43294,0,1494,0,10358,0,0,0,0,0,79,0,0,2636,0,0,0,0,0,0,129,0,0
52_Finance_and_insurance,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,937787,656513,1264948,133884,78750,449,7120,7283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
