industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,321_Wood_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,5415_Computer_systems_design_and_related_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFE_Federal_government_enterprises,GFG_Federal_general_government,GSLE_State_and_local_government_enterprises,GSLG_State_and_local_general_government,Other_Noncomparable_imports_and_rest_of_the_world_adjustment,Used_Scrap_used_and_secondhand_goods
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,40,0,23,0,0,0,0,0,0,136,0,0,812,1102,188,932,143026,193,133,0,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
3364OT_Other_transportation_equipment,0,0,0,0,0,0,56,0,7,0,0,0,0,0,0,0,0,0,609,1204,1241,363,896,82006,0,40,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9439,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
337_Furniture_and_related_products,0,0,0,0,0,0,30,0,44,0,121,0,0,0,3,59,82,0,99,33,54,0,108,0,24816,81,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,10,0,156,0,29,104,56,0,199,166,33,0,141,153,319,0,0,0,71,37901,769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
42_Wholesale_trade,0,766,0,0,0,0,215,7047,0,0,0,0,0,0,0,0,0,0,361,0,0,0,558,0,0,599,280249,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,6086,0,200,855,0,81,0,0,0,0,0,0,0,0,0,10803,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,729,4779,0,890,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,356,0,301034,0,0,0,357,0,0,487,0,0,0,0,0,772,0,34,0,0,1299,0,398,219,0,488,0,38,0,0,0,0,130,0,8143,20187,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,783,2751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,34225,33905,17445,53431,12228,17969,33570,921,0,0,0,0,0,0,0,0,0,206,0,76,61,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8626,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,4149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,171,0,0,0,0,0,0,0,0,27213,22813,95732,15507,0,0,0,0,0,635,0,36193,1465,0,0,0,422,0,0,0,0,0,0,0,446,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,53,95406,22339,99538,13917,0,6903,25,0,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,12291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38928,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,111,0,0,0,0,0,0,0,0,25,0,0,727,0,0,0,0,0,4,40864,108922,16710,0,65,0,23,0,0,0,0,0,0,0,108,0,0,0,0,0,0
