commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,441_Motor_vehicle_and_parts_dealers,445_Food_and_beverage_stores,452_General_merchandise_stores,4A0_Other_retail,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,HS_Housing,ORE_Other_real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622_Hospitals,623_Nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places
111CA_Farms,51969,704,0,60,36,0,1927,0,0,0,0,0,0,0,0,0,0,353,244871,1291,0,0,0,0,14479,0,1802,365,947,201,319,0,0,0,0,0,0,101,0,0,0,0,0,1,0,0,0,0,4,0,2,1,840,33,784,0,143,0,0,0,0,0,415,43,1741
113FF_Forestry_fishing_and_related_activities,22643,5756,0,65,0,0,0,9764,2,0,0,0,0,0,0,0,40,210,6585,0,33,3712,37,18,710,2171,0,0,696,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,11,1,0,70,0,0,0,0,0,160,398,3168
211_Oil_and_gas_extraction,0,0,34594,6,1,30307,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,1,0,526391,5334,1,10,1,2,1,5,0,0,0,0,0,41,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11,1,2,2,2,13,2,1,0,3,6,15
212_Mining_except_oil_and_gas,1794,1,113,6380,59,11066,11787,7,7527,15644,417,157,6,81,53,120,20,169,1383,85,0,1411,0,2684,5302,103,19,0,0,0,2,0,112,0,4,0,0,2,3,27,14,132,215,0,0,0,0,10,0,0,0,0,681,43,362,54,237,0,57,26,24,193,511,56,349
213_Support_activities_for_mining,0,0,13034,1867,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,4659,161,7020,3766,192,29043,4147,1788,3687,8271,4545,2064,1237,821,2848,1294,564,1189,9925,1486,66,5899,1373,9863,18869,5089,16623,2706,8147,5080,14715,100,106,110,1132,95,1242,873,12724,886,389,3740,1424,2786,1284,539,2439,6,65121,1750,594,304,4159,8079,2558,506,7160,2957,9424,2389,1164,670,2647,5938,18702
23_Construction,1728,43,1197,1900,1895,7719,202,166,336,657,637,427,168,119,455,247,83,189,1095,85,10,678,230,8017,1737,490,2171,435,481,490,2120,295,2151,36,299,235,1039,1589,844,97,35,2208,138,4190,1323,515,445,66365,54815,293,111,30,671,473,380,38,632,331,805,251,230,174,380,747,1454
321_Wood_products,252,62,0,77,121,0,30972,18921,373,349,235,908,326,165,3038,291,6098,1074,386,39,2,5153,4,0,276,1287,2292,54,413,79,672,0,1395,0,58,0,12,83,178,106,86,663,1380,74,4,14,0,34,4588,510,12,16,594,2,488,15,48,219,216,4,1027,4,139,400,805
327_Nonmetallic_mineral_products,6,75,1090,400,686,72,45246,739,11280,2592,1069,2497,318,1543,6058,344,336,816,5162,128,0,440,2,1103,2072,1475,223,190,65,105,618,0,13,0,31,0,2,51,147,6,2,2078,779,53,32,8,0,29,76,494,5,96,2948,61,960,99,114,1589,1431,162,238,8,124,78,1561
331_Primary_metals,97,0,5993,645,508,3,3929,368,647,80683,73423,36632,4846,16461,42833,10503,3411,7270,5924,278,0,474,26,41,54,1527,1287,4,0,0,942,0,1148,0,0,0,0,377,0,24,11,209,277,0,0,2,0,1,1544,113,0,11,1253,29,398,436,147,136,49,17,247,17,258,18,82
