commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,2158,224,1,2,0,8,204,9,2,2,3,2,3,1,3,2,0,29,18358,2179,152,6,2,1,40,3,130,343,11,0,9,3,28,0,2,0,1,26,62,8,0,244,2,1,82,59,1
113FF_Forestry_fishing_and_related_activities,1329,167,1,18,33,18,436,1093,13,51,24,18,2,3,10,11,60,42,789,64,180,83,1,2,163,188,45,120,6,0,16,1,19,0,1,0,0,2,4,3,0,167,2,75,1,5,3
211_Oil_and_gas_extraction,0,0,65,0,0,1532,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6435,23,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
212_Mining_except_oil_and_gas,69,0,1,1369,8,740,543,15,345,2130,178,16,3,7,33,7,3,106,44,25,11,130,0,628,195,11,8,19,159,0,20,4,43,0,20,0,6,3,8,1,2,1,15,251,10,140,37
213_Support_activities_for_mining,0,0,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,155,6,13,243,2,839,126,54,151,432,195,91,22,41,173,72,21,38,192,116,65,171,27,262,157,29,476,1272,97,7,92,108,278,8,153,165,48,59,137,51,54,16,261,318,10,456,104
23_Construction,215,0,1,3,1,0,6,2,4,8,10,5,1,1,37,9,1,6,67,4,7,18,10,0,8,1,127,339,344,5,18,47,4161,1,0,28,0,48,112,38,1,23,45,485,1,1672,43
321_Wood_products,99,195,8,121,11,123,2943,2063,37,72,132,56,14,34,93,102,389,201,99,16,93,569,3,19,40,3,28,75,67,0,107,11,124,0,12,9,4,5,13,10,10,1,39,50,5,30,19
327_Nonmetallic_mineral_products,25,4,10,51,132,151,3055,44,497,203,177,107,57,94,434,67,71,54,320,8,33,19,2,116,85,20,48,127,30,0,104,8,99,47,2,8,1,5,11,2,8,1,94,8,6,11,21
331_Primary_metals,15,9,12,219,1158,151,2599,159,32,8632,5603,1556,363,922,3253,1122,148,741,49,11,15,61,19,1062,199,8,3,8,142,0,145,15,124,0,26,1,8,4,9,2,4,0,54,277,2,1,13
332_Fabricated_metal_products,227,22,36,141,151,367,6049,141,58,1213,1784,756,178,373,2276,801,177,255,1121,16,74,117,11,322,215,38,29,76,126,1,230,21,285,14,110,21,34,10,24,3,9,1,206,228,7,61,42
333_Machinery,3,4,12,120,109,11,249,45,9,116,412,732,30,73,529,507,6,34,14,41,2,40,31,35,31,3,5,12,58,1,50,1,4,0,141,1,44,9,20,14,19,0,94,1192,0,25,1
334_Computer_and_electronic_products,8,3,4,10,0,34,199,16,9,43,126,97,430,76,323,229,29,113,10,2,12,30,2,29,12,5,15,39,25,0,119,8,9,0,17,6,5,19,44,0,27,0,97,775,0,31,2
335_Electrical_equipment_appliances_and_components,5,0,5,16,4,25,384,12,8,32,99,216,32,189,241,105,1,38,7,1,2,12,1,13,7,2,7,18,24,0,15,3,18,3,3,1,1,1,3,4,8,0,59,255,1,10,4
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,69,5,9,64,2,25,448,40,17,123,354,334,60,185,9856,290,9,58,61,4,12,22,4,32,15,6,258,682,150,1,29,10,16,127,53,5,16,3,8,0,9,2,562,239,2,133,7
3364OT_Other_transportation_equipment,2,13,4,187,0,4,95,19,1,5,10,51,2,0,29,1510,0,3,1,1,0,1,0,3,5,0,1,2,188,0,7,3,3,0,25,0,8,4,8,0,3,0,31,3323,0,3,0
337_Furniture_and_related_products,0,0,1,5,0,19,535,9,1,3,4,5,99,3,25,50,88,24,1,0,1,1,0,1,1,0,0,1,2,0,17,22,41,0,0,2,0,1,2,0,3,0,15,2,0,1,1
339_Miscellaneous_manufacturing,14,5,2,10,2,23,202,70,9,34,66,66,59,38,157,108,12,625,57,95,290,28,22,10,173,3,57,148,53,0,66,81,43,0,137,1,42,32,75,75,102,2,302,229,4,246,3
311FT_Food_and_beverage_and_tobacco_products,3013,39,4,17,0,25,98,28,21,44,81,61,41,34,70,44,49,107,10427,128,1008,150,48,34,538,10,442,1169,179,0,75,78,25,2,63,0,19,95,223,113,13,7664,55,108,40,413,2
313TT_Textile_mills_and_textile_product_mills,48,38,2,5,1,0,13,26,25,48,22,19,15,13,309,18,257,491,99,4552,2744,86,13,1,1532,271,239,622,21,0,22,24,0,0,16,0,5,5,13,3,36,1,123,131,0,12,1
315AL_Apparel_and_leather_and_allied_products,5,1,0,1,6,0,2,12,4,6,25,14,4,5,43,8,8,68,12,13,3052,4,2,2,247,2,6,16,5,0,4,5,1,7,4,0,1,3,7,5,15,0,42,43,0,32,0
322_Paper_products,11,27,5,47,1,26,314,114,250,91,225,123,65,100,229,75,75,350,864,153,257,3823,1129,87,360,37,275,722,43,1,1145,126,34,2,97,2,30,23,54,8,34,5,110,144,8,92,6
323_Printing_and_related_support_activities,7,3,1,3,0,11,11,23,9,23,24,13,6,7,20,14,3,13,65,12,33,37,546,11,27,6,59,158,42,0,606,209,15,3,115,46,36,42,98,11,2,0,29,92,4,145,6
324_Petroleum_and_coal_products,777,47,17,143,170,391,1153,30,55,419,112,95,26,38,126,63,8,42,127,35,46,146,21,807,127,8,124,1278,1200,3,201,77,108,4,445,9,119,31,73,19,13,6,243,0,0,0,0
325_Chemical_products,717,16,19,182,56,58,826,154,169,363,268,147,51,111,366,89,75,218,259,1199,1244,377,86,284,2509,431,69,179,88,0,127,22,156,53,48,8,15,83,196,4,57,3,220,984,1,454,30
326_Plastics_and_rubber_products,81,9,4,44,9,12,161,43,16,31,130,96,31,80,640,103,67,113,56,48,260,81,6,16,40,54,29,76,104,0,18,22,32,69,30,11,9,6,15,2,9,0,157,100,0,52,3
42_Wholesale_trade,1078,77,18,243,140,260,1785,350,164,956,853,658,230,258,1622,348,158,598,1915,672,782,574,159,575,647,94,368,1391,640,2,325,85,128,42,272,16,77,42,98,30,39,460,330,515,8,142,12
44RT_Retail_trade,490,29,8,68,29,125,1198,249,48,222,241,139,63,69,694,185,66,108,1123,78,241,116,17,58,170,23,86,394,263,1,92,30,60,13,102,2,32,21,46,20,16,0,96,9,6,39,8
48_Transportation,1315,137,62,407,341,269,2099,804,173,1050,407,172,62,102,618,156,72,162,1842,316,286,368,117,778,323,49,379,1083,5592,33,209,513,71,47,178,11,54,61,87,60,19,287,134,259,484,104,28
493_Warehousing_and_storage,52,0,0,1,0,1,0,0,0,0,6,0,1,0,1,0,0,0,1,0,0,0,1,1,4,0,20,59,493,7,9,174,21,14,75,0,9,1,3,1,2,3,5,96,0,37,2
51_Information,83,14,6,19,11,58,198,42,28,83,112,97,23,37,117,60,20,49,166,35,77,59,366,46,88,15,325,864,163,2,1119,383,250,9,234,142,72,55,130,36,23,7,112,171,4,252,8
52_Finance_and_insurance,391,41,27,129,24,155,519,93,68,186,227,135,30,42,189,87,27,69,246,105,144,97,68,131,137,22,520,1378,511,3,160,5396,2020,185,247,31,77,44,103,91,47,20,327,5,2,224,16
531_Real_estate,1122,32,0,230,18,74,137,48,29,78,113,107,32,36,98,57,28,72,114,54,118,56,153,70,100,20,927,2455,346,15,328,764,909,52,455,128,140,195,458,184,75,20,384,115,8,227,18
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,70,12,414,8,18,29,306,10,10,24,46,31,13,29,100,15,9,27,153,19,42,20,34,31,78,9,189,502,38,1,71,94,114,15,43,111,13,11,27,25,10,4,44,55,1,59,2
54_Professional_scientific_and_technical_services,393,66,40,45,92,162,1847,65,61,147,275,190,79,172,586,92,58,170,922,112,256,118,199,181,479,54,1151,3038,231,31,438,641,681,134,251,2004,78,66,155,163,63,25,271,190,3,174,8
55_Management_of_companies_and_enterprises,0,4,26,102,459,9,49,34,59,184,323,419,266,80,340,175,54,149,655,85,209,188,77,49,327,74,599,1862,133,0,254,300,45,138,465,0,209,70,163,49,46,0,129,2,0,2,2
56_Administrative_and_waste_management_services,83,14,8,9,27,34,370,12,12,29,55,38,16,35,120,18,11,33,184,22,51,24,41,37,94,11,229,606,46,6,86,116,137,3,52,2,16,14,32,30,12,5,53,168,3,151,7
61_Educational_services,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,61,0,5,0
62_Health_care_and_social_assistance,0,0,0,1,0,2,6,1,1,3,3,2,1,1,4,2,0,1,5,2,2,2,1,2,2,0,3,7,2,0,2,8,3,0,1,0,0,0,0,0,0,0,2,263,0,23,0
71_Arts_entertainment_and_recreation,1,0,0,1,0,2,6,2,2,3,7,6,3,3,6,6,1,4,6,2,4,2,4,1,4,1,43,117,20,0,446,13,2,0,0,0,0,21,48,42,1,3,1,10,0,3,0
721_Accommodation,12,2,2,10,0,7,50,16,10,26,42,27,13,13,38,18,7,18,35,19,34,17,19,11,23,5,91,240,13,1,30,30,24,10,22,0,7,17,40,11,62,2,181,99,0,54,1
722_Food_services_and_drinking_places,18,15,7,23,0,65,212,29,24,49,114,90,44,34,96,67,16,55,75,29,51,37,60,25,72,15,271,703,70,7,155,213,69,95,341,0,105,53,125,72,28,0,67,64,1,0,0
