commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,8099,443,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,55726,1996,2,0,0,0,194,0,1056,44,1,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,16,0,0,0,3,1,0,0,30,1,135,17,86,33,50,1022,25,297,4,560,2
113FF_Forestry_fishing_and_related_activities,4413,5472,7,13,0,36,443,6710,5,6,12,1,2,8,45,2,17,62,1754,172,222,1517,7,9,308,509,526,47,1,18,0,2,1,6,1,0,0,1,14,0,1,0,1,0,0,1,0,0,0,0,2,2,40,3,32,6,69,11,52,639,27,35,15,122,36
211_Oil_and_gas_extraction,0,0,2411,0,0,13569,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,56465,1619,47,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
212_Mining_except_oil_and_gas,171,4,25,3388,22,6377,1531,6,2095,9091,71,55,30,35,174,44,5,545,109,32,6,323,2,259,2112,49,1,4,0,28,2,2,1,11,1,0,1,0,31,0,0,0,0,0,193,0,0,0,0,1,1,1,20,0,3,3,2,1,1,1,4,23,408,198,614
213_Support_activities_for_mining,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,1282,154,814,1244,13,56,725,513,1818,4425,1382,736,603,479,928,532,175,236,1798,752,260,1605,286,2276,4051,778,2106,5395,59,92,93,112,148,170,79,58,113,85,451,81,945,63,82,169,1822,138,195,35,400,597,221,268,698,563,1438,217,167,128,752,1026,1204,941,148,5191,3061
23_Construction,272,171,0,122,3,513,108,96,268,514,492,189,119,103,233,130,43,62,486,135,75,232,76,469,388,132,628,911,34,109,108,92,78,427,64,39,32,26,322,40,153,9,49,37,8524,25,66,20,15,104,64,18,399,63,722,42,109,72,183,271,827,1408,21,8393,919
321_Wood_products,263,74,340,195,43,364,14208,5541,207,167,430,192,46,156,337,281,2036,504,67,14,33,1172,0,36,62,119,362,35,2,81,1,12,5,51,10,2,1,21,269,0,2,0,0,5,1100,1,0,0,0,1,0,81,4,0,20,84,56,8,53,18,20,17,55,74,174
327_Nonmetallic_mineral_products,146,29,314,182,466,374,13462,338,4400,601,605,366,559,527,1289,287,143,239,2920,75,7,70,9,189,608,343,148,136,4,112,7,14,48,56,5,0,0,3,268,1,7,4,0,1,1108,15,0,0,3,8,3,3,84,23,120,2,6,7,94,196,218,46,50,357,260
331_Primary_metals,41,5,591,332,1816,131,3711,189,363,26948,24584,10510,2378,5672,15244,3569,1090,2191,11,41,3,271,57,54,1515,510,4,13,1,369,19,4,37,19,10,0,2,1,94,0,2,0,0,1,439,1,0,0,3,1,0,1,3,0,8,14,2,2,2,12,7,140,22,39,65
332_Fabricated_metal_products,457,593,1026,891,748,834,19394,1304,513,2058,8237,6577,3568,1664,8619,3666,1160,820,6982,71,126,474,82,728,2211,533,424,562,56,430,158,101,201,366,93,5,12,7,574,9,9,2,3,4,2131,9,5,5,139,29,53,78,45,24,89,166,17,25,23,482,1356,1295,119,389,572
333_Machinery,714,133,492,1328,465,788,4125,141,278,1140,1072,5294,396,366,1727,1032,41,101,179,272,46,245,595,150,998,163,407,304,11,106,54,30,11,193,31,7,196,104,234,8,83,6,43,0,540,104,24,14,437,4,632,5,80,76,510,43,19,8,15,163,1260,368,35,624,178
334_Computer_and_electronic_products,8,4,72,16,10,132,1241,12,18,99,132,622,16997,585,1127,3597,5,227,1,10,0,9,1,22,349,33,475,86,24,18,38,7,8,67,23,1,54,218,1941,243,115,15,36,12,126,58,0,367,372,322,246,10,182,29,332,74,1,4,0,2,881,2592,11,162,39
