commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,4287,224,1,3,0,20,354,0,8,1,0,0,0,0,0,0,0,28,22571,1903,59,0,0,0,66,0,321,37,2,1,2,0,0,1,3,0,0,0,13,0,0,0,0,0,40,0,1,0,1,1,98,0,0,28,48,1,51,12,5,415,2,-292,8,162,6
113FF_Forestry_fishing_and_related_activities,1542,1151,0,8,19,2,161,1482,0,0,0,14,0,3,0,0,1,10,264,22,145,717,0,0,172,210,93,23,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,145,1,10,0,9,1
211_Oil_and_gas_extraction,0,0,146,0,0,1868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8531,18,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
212_Mining_except_oil_and_gas,118,0,3,945,6,959,655,2,916,2967,19,10,5,10,16,4,2,111,35,15,4,148,1,113,635,20,0,2,0,20,2,2,0,3,2,0,0,0,25,0,1,0,0,0,43,0,0,0,1,0,0,31,12,3,6,0,1,0,2,0,7,142,22,41,94
213_Support_activities_for_mining,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,174,5,46,257,2,16,208,73,425,876,248,130,107,102,143,89,30,51,276,138,67,271,56,497,675,85,192,2961,9,70,10,48,35,59,30,18,30,14,156,2,345,74,210,48,164,18,167,4,317,199,54,190,316,280,205,32,73,21,92,137,613,180,25,940,699
23_Construction,201,2,0,34,1,253,17,11,25,50,17,10,8,6,26,10,3,5,43,17,7,29,5,273,65,7,22,367,4,299,15,17,10,65,17,12,9,12,65,1,82,1,7,3,4014,4,1,2,25,49,12,31,140,2,65,0,21,6,33,29,198,449,19,2290,316
321_Wood_products,110,14,19,66,8,224,3580,1632,99,73,143,71,27,60,95,53,729,199,77,12,48,254,23,12,50,37,39,12,1,31,0,3,0,10,1,1,7,0,134,0,2,0,1,1,89,0,0,0,1,0,0,3,3,6,13,7,2,1,6,0,14,11,9,4,58
327_Nonmetallic_mineral_products,43,1,33,66,102,343,5670,69,1396,81,197,119,262,229,366,35,61,115,661,26,2,17,0,59,240,29,21,184,1,33,2,1,7,14,2,0,0,0,212,0,2,0,0,0,86,111,1,0,10,3,6,2,5,13,25,1,5,1,8,0,184,23,14,58,88
331_Primary_metals,5,25,43,209,473,174,2440,103,173,10786,7697,3022,837,2364,4259,1250,323,815,5,6,6,55,17,81,491,60,1,7,0,229,2,1,0,8,2,0,0,0,97,0,2,0,1,0,65,0,3,0,6,0,1,2,2,5,9,6,1,1,3,0,10,94,6,4,56
332_Fabricated_metal_products,94,200,104,205,97,461,7294,200,128,925,2051,1765,948,661,3144,1474,344,264,1601,12,55,190,16,220,796,83,7,241,5,254,18,27,19,53,25,1,2,0,273,0,2,0,2,0,175,27,2,0,92,9,13,17,10,13,24,21,4,2,10,1,441,585,19,26,113
333_Machinery,209,5,47,289,130,129,1949,51,94,374,422,2008,301,261,728,475,5,21,55,99,15,89,182,37,283,22,24,96,2,58,4,6,1,23,6,2,82,79,82,0,22,3,44,0,83,4,12,2,245,1,88,5,26,55,88,2,3,1,4,0,614,189,5,176,54
334_Computer_and_electronic_products,1,1,11,4,0,23,363,0,1,27,88,147,5620,160,274,915,0,68,1,1,1,1,1,6,6,0,286,14,16,20,4,1,1,18,3,0,1,61,224,5,1,1,3,2,12,2,4,37,27,105,13,1,10,4,2,0,1,0,1,0,424,1632,1,29,8
335_Electrical_equipment_appliances_and_components,33,24,53,59,6,220,2698,40,22,206,62,773,714,1384,313,139,2,70,2,2,2,2,1,9,35,1,22,112,4,90,12,14,12,19,13,0,1,0,111,1,4,1,2,1,90,14,3,2,52,3,45,4,7,13,11,1,3,1,8,0,242,144,7,72,70
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,48,6,20,198,1,18,289,50,11,33,140,1225,311,202,15814,371,14,54,125,1,2,2,1,2,35,16,82,2326,10,85,2,133,91,12,2,1,2,0,16,0,3,1,1,0,5,202,4,0,39,6,25,5,3,53,3,0,1,0,2,0,357,164,31,192,16
3364OT_Other_transportation_equipment,4,20,0,12,0,0,3,0,0,0,2,2,38,0,5,3484,0,0,0,0,0,0,0,0,0,0,3,0,236,102,97,1,8,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,1,3,0,0,0,9,0,0,16,4072,0,8,4
337_Furniture_and_related_products,0,0,5,10,0,61,1028,42,0,3,1,0,317,0,10,9,154,24,0,0,0,0,0,1,2,0,0,3,0,1,0,0,0,2,0,0,0,0,39,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,2,8,3,4,10
339_Miscellaneous_manufacturing,7,4,1,4,1,18,178,10,45,69,50,34,58,70,20,17,10,1148,25,75,541,13,49,7,26,27,30,193,2,15,2,5,4,2,6,0,13,1,20,0,47,6,90,1,36,1,23,1,267,0,34,6,88,635,200,16,63,18,9,0,679,77,1,284,14
311FT_Food_and_beverage_and_tobacco_products,4764,110,1,1,0,5,48,1,9,14,5,4,7,3,2,4,2,34,16192,82,360,212,24,65,721,7,318,1454,85,34,40,2,0,0,5,0,5,17,5,0,3,3,6,0,2,2,13,0,24,0,3,1,3,21,415,31,98,52,69,9300,101,276,104,644,1
313TT_Textile_mills_and_textile_product_mills,89,95,2,12,1,9,186,21,58,2,46,11,2,40,426,37,354,295,79,6415,5911,114,74,0,33,477,467,120,3,10,13,3,2,9,14,0,1,0,5,0,0,0,0,0,1,0,0,0,2,0,2,3,0,12,15,6,0,1,23,0,151,95,9,30,3
315AL_Apparel_and_leather_and_allied_products,11,6,0,0,6,17,75,19,24,52,66,62,49,27,32,26,22,101,38,7,5212,26,6,11,33,14,4,62,0,0,0,21,8,0,0,0,3,0,8,0,1,1,1,0,1,17,3,0,8,0,2,7,1,18,8,0,10,3,6,0,442,74,0,122,3
322_Paper_products,16,78,2,17,1,38,243,34,345,33,257,107,192,197,87,24,78,333,1752,199,182,4586,1509,230,867,162,210,1910,4,17,2,21,3,11,6,2,1377,2,31,3,183,61,161,5,22,4,27,7,100,9,30,15,33,79,34,6,8,2,11,2,132,55,5,184,26
323_Printing_and_related_support_activities,2,1,0,1,0,20,15,3,4,9,103,8,61,7,42,10,2,8,334,5,26,34,497,5,33,2,76,153,5,35,2,24,17,3,12,1,1058,2,35,6,508,51,266,5,31,5,73,28,175,33,63,12,305,49,11,0,30,9,3,0,275,131,22,390,13
324_Petroleum_and_coal_products,744,37,18,77,57,304,1027,22,59,151,69,65,42,40,56,42,6,21,92,22,14,97,18,1346,199,12,123,812,280,291,42,408,179,64,67,5,14,3,97,1,28,13,34,6,113,6,46,4,94,20,14,109,48,105,18,1,9,6,24,4,210,445,34,378,87
325_Chemical_products,1566,16,49,199,43,132,914,147,360,531,500,174,224,365,236,62,122,367,337,2159,257,768,380,681,7190,1695,113,174,1,88,3,22,9,10,5,0,44,32,34,0,11,0,20,4,263,121,7,1,65,24,61,103,40,971,333,6,63,18,33,8,426,581,6,513,148
