commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,18654,1615,1,1,0,20,590,0,0,1,1,1,2,0,2,1,0,26,101144,3374,9,5,0,1,412,1,1447,112,0,4,1,0,0,3,1,0,1,0,8,0,1,0,0,0,106,0,0,0,25,2,2,1,64,2,290,7,1,28,96,1803,77,-319,11,778,3
113FF_Forestry_fishing_and_related_activities,10721,3966,2,41,5,76,162,9471,17,30,19,27,45,36,24,37,28,229,2796,179,271,3320,19,9,257,967,130,250,3,26,2,2,2,14,1,0,18,4,54,6,29,6,12,0,0,12,6,2,49,0,63,5,216,48,309,104,33,28,271,1579,115,52,26,179,176
211_Oil_and_gas_extraction,0,0,3308,0,0,22626,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,74217,4311,103,3,0,0,0,0,0,0,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,219
212_Mining_except_oil_and_gas,353,2,2,6199,20,9888,4396,12,4956,9683,75,131,154,144,642,82,11,626,203,53,10,839,11,359,3808,53,21,19,1,36,4,0,1,23,2,0,2,0,69,0,4,0,1,0,584,3,0,0,1,3,3,10,14,2,18,6,0,2,11,9,18,47,1054,239,1200
213_Support_activities_for_mining,0,0,1123,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,2249,66,1389,2746,141,137,1200,1037,3234,8293,2638,1938,2371,947,2148,1113,504,821,4424,1781,661,4065,962,1941,9754,2658,4387,11099,224,81,228,660,57,177,190,112,516,111,501,122,1179,125,122,597,3477,472,223,36,1296,1617,773,977,723,1028,4179,637,179,657,2512,5279,2938,2059,438,15821,6246
23_Construction,299,127,0,165,1,3680,179,101,190,622,664,471,539,150,379,496,109,111,253,127,51,182,82,163,451,150,733,1726,131,762,12,107,90,1467,15,100,114,28,3910,26,394,55,179,63,24149,73,47,8,176,494,157,39,2749,237,808,149,26,144,652,583,1576,3661,488,22530,9693
321_Wood_products,796,20,18,142,7,873,23702,10338,450,317,393,400,222,252,615,274,3813,1019,100,69,24,2341,16,69,114,70,1333,128,5,300,1,12,7,151,75,5,23,32,541,7,33,5,12,0,4059,7,26,2,49,3,25,362,68,64,104,251,44,14,50,63,138,27,151,117,443
327_Nonmetallic_mineral_products,438,14,217,195,733,804,24140,650,7645,1575,975,912,959,1297,2110,483,318,468,4469,213,11,136,15,348,1167,845,308,330,6,266,4,8,84,160,11,0,8,2,493,2,41,17,7,1,4009,119,7,1,232,21,23,32,299,367,842,8,1,17,484,481,543,134,148,478,646
331_Primary_metals,133,0,526,434,1422,227,7527,42,451,37202,38270,19240,5100,7907,18955,5238,2244,3581,14,7,2,532,192,35,573,490,168,29,1,383,17,2,2,42,6,0,4,1,153,1,7,1,2,2,1121,1,2,0,11,4,3,9,20,5,31,35,0,4,12,27,58,354,45,130,131
332_Fabricated_metal_products,895,373,468,1154,647,1489,36347,1979,589,3217,14206,12873,9609,3192,12210,6345,2832,1756,14076,26,84,921,80,389,4605,1610,985,1255,112,678,392,239,535,949,140,11,43,5,1540,15,89,9,43,5,6373,190,64,4,332,89,277,342,165,294,446,564,8,106,101,132,2154,3515,318,1109,632
333_Machinery,1206,107,335,2426,853,789,9235,259,324,1867,1830,11771,1180,630,6672,2709,147,408,486,434,151,689,980,63,1796,810,1176,616,80,304,307,82,27,436,103,13,248,39,306,17,514,26,177,1,1714,184,408,19,978,11,1262,34,295,374,582,31,6,86,72,245,1932,1119,125,2344,844
334_Computer_and_electronic_products,36,10,3,6,12,416,2834,3,31,35,334,936,56629,1906,5718,7907,11,1130,37,4,2,39,199,20,1856,113,1869,322,126,46,14,16,65,218,42,2,3171,121,4437,607,409,61,215,14,549,253,170,1648,2997,846,2032,160,390,568,711,80,3,10,16,25,1389,10532,46,953,104
335_Electrical_equipment_appliances_and_components,665,44,136,354,0,919,15757,300,125,1362,696,6883,5712,4389,2442,1102,61,428,120,13,7,60,16,40,290,170,346,371,29,303,65,118,275,347,22,1,71,2,663,40,46,4,16,5,2811,85,10,12,992,32,451,37,172,60,396,125,16,57,124,112,1009,637,152,700,873
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,703,133,77,521,3,119,817,224,50,838,168,3983,21,328,80165,2403,83,19,100,7,18,42,64,37,27,40,1193,8356,15,54,87,548,595,260,53,7,46,7,235,7,36,11,37,0,293,983,96,2,149,53,196,1268,91,83,122,24,7,28,40,128,6758,786,490,1497,324
3364OT_Other_transportation_equipment,0,56,0,6,0,6,26,2,0,4,0,23,0,18,71,25029,0,3,0,0,0,0,0,0,0,0,38,0,3315,1027,215,3,19,0,87,0,0,2,9,0,29,13,2,0,2,11,0,0,0,0,0,0,7,0,4,0,0,87,5,0,182,23712,30,29,129
337_Furniture_and_related_products,65,0,3,5,0,153,4539,185,4,50,7,5,655,16,40,67,298,31,7,2,1,9,2,8,10,4,8,14,1,55,0,1,1,30,0,0,3,4,101,1,4,0,1,0,734,1,3,0,3,1,1,6,12,6,18,0,0,2,8,5,20,3,68,4,96
339_Miscellaneous_manufacturing,78,11,19,44,3,83,1835,669,82,59,163,651,336,260,590,125,59,3242,60,82,576,58,159,15,214,204,575,720,31,26,31,33,26,18,35,2,63,8,121,19,324,30,129,6,440,247,139,6,476,1,325,22,216,3173,4464,452,13,158,169,333,1527,363,64,3678,76
311FT_Food_and_beverage_and_tobacco_products,14567,187,2,3,0,1,0,4,28,8,9,14,8,4,4,8,35,153,68387,24,969,509,4,63,1637,18,1844,4757,223,5,33,0,1,5,15,0,6,133,6,0,1,1,1,0,7,3,0,0,141,1,5,3,73,3,5315,1688,38,796,3190,50989,813,975,347,7201,3
313TT_Textile_mills_and_textile_product_mills,390,120,1,54,0,44,1457,128,149,6,3,210,5,47,3184,367,2116,1167,92,17174,17268,893,423,14,148,1871,1860,189,8,15,54,10,0,677,20,0,16,28,28,0,82,2,9,0,225,1,1,0,22,1,20,2,13,13,751,81,23,26,479,75,387,176,101,558,35
315AL_Apparel_and_leather_and_allied_products,30,8,3,11,0,6,65,2,8,9,26,15,41,4,280,8,96,146,10,68,8032,13,130,2,9,15,176,100,10,6,34,6,28,2,15,0,6,13,58,1,11,2,11,1,19,62,16,0,64,0,73,1,10,28,459,9,48,29,80,51,659,330,16,895,29
322_Paper_products,921,104,7,61,2,133,1437,233,1818,182,1043,803,1117,922,625,56,888,1486,13596,499,385,30803,17879,158,6521,2425,5298,4430,42,29,6,75,27,25,60,14,8123,23,161,138,641,54,165,53,839,129,443,40,1029,93,1289,15,524,1065,1176,332,23,110,410,1741,1065,398,108,2851,63
323_Printing_and_related_support_activities,8,22,10,12,0,101,128,17,31,27,225,61,204,30,57,46,21,91,2242,12,40,140,5364,4,868,60,3679,165,128,87,15,168,145,22,141,6,8616,62,1178,702,2049,710,1753,65,1379,31,262,411,3354,311,1691,15,670,678,2042,121,29,88,272,303,5503,759,515,3390,154
324_Petroleum_and_coal_products,2650,367,364,1394,738,2558,9146,350,520,941,514,442,314,262,513,262,175,245,867,252,147,975,241,7945,2637,341,1306,2758,9593,2095,458,5340,1433,227,216,49,233,25,317,47,261,70,88,202,1938,238,245,13,591,254,639,967,367,477,626,164,13,133,298,226,934,2429,881,10376,4094
325_Chemical_products,7681,1540,781,1066,670,561,5789,874,3161,2261,3223,1149,2147,2463,3876,890,965,2521,3888,13946,1410,8891,2920,1722,75865,27569,1026,309,23,131,30,80,105,61,15,2,605,47,286,6,35,1,14,31,1515,130,26,7,1512,226,1774,761,327,5202,11318,110,7,110,401,247,1511,2783,112,8101,1373
326_Plastics_and_rubber_products,872,163,10,632,2,532,7332,380,577,514,1973,2870,6685,2246,11905,1667,1701,2210,7362,619,642,2996,1763,397,7712,5775,1332,1062,21,115,39,1125,320,77,102,7,685,6,461,55,56,11,52,3,1850,579,84,20,1048,28,784,30,171,2157,6258,1001,2,244,705,1725,1332,417,81,1653,232
42_Wholesale_trade,7522,698,581,1568,571,1826,18930,3279,2371,7448,7869,9846,14251,4540,14896,3789,2396,3774,30456,4401,3750,5817,2857,5857,17266,7079,10626,2768,2837,874,275,1780,630,489,158,20,2886,608,1659,185,500,105,212,79,3730,428,289,246,1680,262,1152,563,559,1904,4353,651,37,266,802,6365,2885,3440,564,7140,1729
44RT_Retail_trade,637,59,90,376,134,691,8935,1186,554,783,1209,2138,1575,834,5064,969,697,457,1357,420,358,660,208,90,1278,620,566,896,1230,371,102,775,277,176,59,8,114,10,297,13,81,14,27,28,1517,102,66,6,294,2,204,181,115,265,622,133,9,47,130,157,713,1,0,0,0
481_Air_transportation,88,72,78,106,20,318,720,82,141,263,459,638,1440,299,792,852,86,131,953,121,118,411,238,44,777,232,3311,1048,73,81,21,232,24,428,316,8,996,52,355,86,1800,1117,556,71,838,265,841,32,2976,43,704,31,564,649,462,63,15,51,85,303,1137,1892,1193,996,76
482_Rail_transportation,618,85,28,943,43,1506,1989,410,1175,2086,406,295,179,180,1111,137,154,224,2429,312,61,756,273,162,1962,523,199,210,71,88,7,159,21,18,12,1,118,3,52,3,17,5,10,6,345,18,17,1,84,8,65,43,35,121,279,28,2,12,48,388,156,562,666,399,252
483_Water_transportation,60,38,49,81,23,228,211,40,101,251,38,40,35,15,60,20,12,35,494,42,8,76,23,307,296,84,55,51,95,21,3,55,20,52,3,0,6,1,11,1,11,1,4,1,39,19,8,1,37,16,58,14,9,18,40,3,2,126,7,44,42,777,92,148,175
