commodity,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises
111CA_Farms,3066,218,1,3,0,16,283,2,8,2,3,2,5,1,2,2,1,23,20637,1841,127,1,3,1,34,1,146,223,10,0,13,3,38,0,3,0,41,10,26,19,1,323,3,-54,90,96,2
113FF_Forestry_fishing_and_related_activities,1297,490,1,4,21,12,270,1116,11,8,10,18,2,2,4,6,41,19,625,26,135,297,1,1,144,268,50,100,3,0,8,1,6,0,1,0,0,1,2,2,0,157,2,28,0,2,2
211_Oil_and_gas_extraction,0,0,131,0,0,1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7557,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
212_Mining_except_oil_and_gas,95,0,2,1016,7,910,592,7,675,2093,113,13,4,8,24,5,3,91,43,19,7,139,0,542,367,24,0,1,28,0,24,3,33,0,24,0,15,2,6,0,1,0,14,148,16,102,56
213_Support_activities_for_mining,0,0,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,217,5,36,250,2,725,198,60,349,615,235,114,75,71,181,103,33,44,294,140,78,249,69,491,403,84,343,2245,165,12,159,306,276,14,358,195,126,140,359,55,63,57,423,202,16,733,289
23_Construction,233,1,0,9,1,74,8,3,5,13,5,3,0,0,35,7,0,5,86,4,3,20,18,118,21,1,81,421,372,8,38,63,4599,2,2,39,7,76,195,39,8,29,112,338,7,2116,111
321_Wood_products,95,116,12,59,8,166,2766,1686,78,40,111,47,25,35,71,78,589,159,89,11,77,461,20,15,40,17,22,56,54,0,112,5,80,0,12,6,5,7,17,6,8,0,32,16,5,27,30
327_Nonmetallic_mineral_products,38,3,19,56,114,282,4365,50,1186,148,221,117,196,150,451,75,106,82,563,14,27,17,1,125,163,50,29,166,37,0,164,2,105,82,2,7,2,8,21,3,12,1,173,12,9,24,45
331_Primary_metals,8,9,16,171,726,155,2413,100,89,8057,6161,1891,814,1388,3247,1297,246,626,40,9,4,49,22,755,264,30,1,5,152,0,131,2,92,0,21,1,6,5,12,1,3,0,35,125,3,2,26
332_Fabricated_metal_products,212,67,54,129,110,517,6427,131,108,1031,1799,1058,587,484,2455,1272,302,226,1617,16,64,157,19,382,440,81,11,112,182,1,258,3,189,21,119,18,37,14,37,3,8,0,266,213,10,59,59
333_Machinery,75,3,29,202,121,60,884,35,40,201,494,1384,163,166,644,768,8,28,20,71,6,59,138,43,124,8,8,44,99,1,129,21,30,0,232,1,81,21,53,8,15,0,296,685,2,84,17
334_Computer_and_electronic_products,12,3,12,10,0,83,388,15,20,61,199,201,3113,193,553,852,57,164,18,4,17,44,4,52,20,17,83,58,58,0,257,6,10,0,51,46,11,37,96,1,53,0,323,1122,1,67,5
335_Electrical_equipment_appliances_and_components,16,11,20,38,5,108,1323,25,18,103,120,471,313,699,367,195,2,61,11,2,2,11,1,21,18,4,10,63,90,0,57,3,43,8,13,3,15,4,10,1,17,0,163,213,3,35,26
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,67,3,13,114,1,27,456,28,15,84,281,629,198,212,12341,390,13,51,95,3,4,14,2,29,18,11,144,1303,202,1,25,3,12,180,54,6,20,9,22,1,6,0,553,143,14,198,9
3364OT_Other_transportation_equipment,2,14,9,174,0,5,87,14,1,5,3,41,16,0,28,2580,0,1,2,1,0,1,0,4,8,0,1,2,309,0,7,4,2,0,20,0,7,6,16,3,1,0,30,2710,0,5,2
337_Furniture_and_related_products,0,0,4,10,0,59,1084,23,0,3,3,6,364,0,22,59,212,21,0,0,0,0,0,1,1,0,0,2,3,0,40,0,10,0,0,2,0,1,3,0,6,0,24,4,1,2,5
339_Miscellaneous_manufacturing,12,2,1,7,1,27,192,27,24,44,55,45,96,54,103,64,11,744,52,94,399,16,58,9,113,11,25,146,43,0,61,78,21,0,207,1,52,107,274,68,56,1,441,94,1,274,7
311FT_Food_and_beverage_and_tobacco_products,3983,72,8,13,0,29,102,18,32,36,73,60,84,39,62,51,44,55,14689,91,660,184,99,58,491,22,304,1414,165,0,85,81,25,2,78,0,22,113,289,106,21,8385,92,124,86,547,2
313TT_Textile_mills_and_textile_product_mills,65,46,1,4,1,2,57,15,30,18,29,10,16,21,335,23,315,362,61,5029,3994,79,30,1,1132,544,207,382,22,0,17,18,0,0,18,0,6,9,23,3,38,0,167,70,3,18,1
315AL_Apparel_and_leather_and_allied_products,10,3,0,0,6,7,28,15,12,25,40,33,24,16,39,17,16,88,29,11,4442,14,2,9,243,8,4,37,14,0,6,4,1,13,6,0,3,5,12,9,9,0,187,44,0,75,0
322_Paper_products,14,42,3,27,1,35,265,72,337,54,201,104,145,129,165,48,98,303,1235,167,214,3920,2052,152,528,99,153,1106,38,1,1147,180,20,2,116,5,39,32,83,6,28,0,126,63,8,97,13
323_Printing_and_related_support_activities,10,3,1,3,0,27,20,25,19,28,69,19,35,13,27,27,5,19,244,16,48,65,1619,16,60,17,74,257,97,1,1295,569,33,6,295,74,89,113,289,28,5,0,145,103,16,391,9
324_Petroleum_and_coal_products,853,39,27,110,102,437,1074,24,77,300,97,87,55,45,103,55,10,32,145,33,43,135,37,1160,178,17,90,1199,1240,4,189,70,104,5,371,11,121,39,101,15,15,6,251,102,10,89,20
325_Chemical_products,1022,11,26,156,42,86,837,136,323,385,327,149,148,198,276,82,108,253,314,1518,954,537,321,532,4472,1300,51,152,88,0,119,17,181,82,42,14,55,170,435,28,55,5,306,535,2,580,61
326_Plastics_and_rubber_products,136,9,12,107,12,32,365,42,80,39,196,192,185,263,837,215,225,256,142,118,445,167,54,20,166,289,32,177,186,1,37,29,61,179,57,13,17,17,44,4,12,0,316,92,2,125,8
42_Wholesale_trade,1302,81,31,205,93,340,2261,383,281,779,725,717,654,358,1872,453,260,477,2832,641,844,562,268,727,863,246,257,1226,700,2,339,85,126,64,280,26,95,76,193,34,38,743,452,340,21,224,37
44RT_Retail_trade,459,25,12,61,17,144,1098,157,88,227,222,198,216,103,802,251,95,107,1123,109,189,139,64,77,210,55,53,393,265,1,114,31,38,19,101,2,36,29,71,15,14,464,139,7,8,31,12
48_Transportation,1157,108,102,381,203,563,2132,519,371,1178,447,235,212,163,672,222,115,179,2358,349,314,420,231,1014,545,136,377,1170,5950,44,252,574,99,55,320,17,80,78,199,52,84,284,215,184,576,295,47
493_Warehousing_and_storage,186,0,0,1,0,1,0,0,0,0,7,0,2,0,1,1,0,0,1,1,0,0,2,2,8,0,31,363,438,12,11,134,25,22,78,0,11,3,8,2,2,4,7,40,0,48,7
51_Information,111,10,6,11,8,86,203,25,39,78,103,98,71,43,99,87,25,44,181,34,76,54,627,47,105,28,228,894,226,9,2051,524,215,13,456,519,93,103,265,38,22,2,157,157,5,504,15
52_Finance_and_insurance,527,41,53,134,21,312,643,66,131,244,272,177,117,66,188,111,52,80,370,119,176,118,154,325,241,57,444,2458,777,5,263,7046,2408,305,440,131,152,158,158,118,95,14,494,12,1,275,44
531_Real_estate,1025,26,0,165,12,72,152,32,41,45,112,104,84,36,72,54,42,62,128,52,113,51,245,157,115,40,546,2797,432,17,391,887,1143,78,645,115,149,268,688,148,64,10,540,47,9,246,19
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,134,14,1700,15,19,51,288,9,19,20,43,32,34,33,167,16,8,19,157,16,33,20,56,31,84,19,150,406,211,3,109,112,115,23,138,134,39,24,62,17,14,2,100,24,2,89,5
54_Professional_scientific_and_technical_services,439,55,85,53,53,295,2368,47,122,167,287,203,246,273,555,109,70,207,1441,112,251,140,348,363,978,143,889,3870,360,43,540,1267,791,132,1301,1851,134,106,272,150,85,10,377,233,17,361,45
55_Management_of_companies_and_enterprises,0,4,73,109,310,10,54,36,123,235,340,501,575,140,387,270,82,130,1235,137,296,229,166,88,562,186,551,2046,186,0,245,259,42,123,342,0,170,74,190,39,53,1,155,2,0,2,3
56_Administrative_and_waste_management_services,215,14,21,25,24,135,383,14,44,70,79,56,65,54,129,61,15,32,233,32,58,64,84,105,152,31,221,739,132,11,121,263,203,7,170,26,61,55,140,32,30,2,111,166,20,301,24
61_Educational_services,0,0,0,0,0,1,2,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,6,72,0,17,0
62_Health_care_and_social_assistance,0,0,0,1,0,3,7,1,1,2,3,2,2,1,4,2,1,1,6,2,3,2,2,2,3,1,2,8,2,0,2,15,2,0,1,0,0,0,0,0,0,0,25,309,0,74,1
71_Arts_entertainment_and_recreation,1,0,1,1,0,3,8,1,2,3,6,5,7,3,4,6,1,3,6,2,3,2,6,1,6,2,22,167,21,0,363,21,2,0,15,17,1,16,42,125,2,2,15,19,0,0,0
721_Accommodation,5,3,3,8,0,15,42,13,18,22,48,34,44,21,36,29,11,21,48,21,42,19,40,12,44,13,67,214,18,2,42,54,12,13,98,5,12,30,78,14,51,1,151,113,1,131,1
