industry,name,share_personal_consump,fl,rank_fl,price_shock_pct,impact_dir,impact_indir,impact_total,year,impact_rank
44RT,Retail_trade,16.66145314241849,1.7536844701287273,28,5.753713239484459,0.9586522353458322,0.03692020731900922,0.9955724426648414,1970,1
531,Real_estate,14.193242971601618,2.5498547467541366,7,3.549010739901348,0.5037197174024347,0.05935946673848834,0.5630791841409231,1970,2
311FT,Food_and_beverage_and_tobacco_products,10.151059444218744,2.4325082308008024,9,3.696076102535706,0.3751908822719628,0.021334500541102256,0.3965253828130651,1970,3
722,Food_services_and_drinking_places,4.857339145458566,1.4925289608830896,37,5.952063561085019,0.28911191331515773,0.0224296390609854,0.3115415523761431,1970,4
81,Other_services_except_government,4.953881125725024,1.87786608889062,26,4.568848439864248,0.2263353205254172,0.032372576919164744,0.25870789744458195,1970,5
521CI,Federal_Reserve_banks_credit_intermediation,1.6121691926116368,3.2423363556945857,4,7.824064363485772,0.12613715527822336,0.11702655730253007,0.24316371258075345,1970,6
622HO,Hospitals_and_nursing_and_residential_care_facilities,3.6403971287505743,1.0104190463211091,64,6.210928185280951,0.22610245132572787,4.8451411275178346e-4,0.22658696543847967,1970,7
621,Ambulatory_health_care_services,3.462596278037349,1.01228485943807,63,6.363822763570504,0.2203534901522858,5.548699766905401e-4,0.22090836012897633,1970,8
111CA,Farms,1.1812071897016727,2.3417831041670896,11,3.15241458853337,0.03723654776896057,0.11869743934444846,0.15593398711340903,1970,9
524,Insurance_carriers_and_related_activities,2.4922027043993613,2.1234494171230582,17,4.788196278335821,0.1193315571406349,0.021541919475157146,0.14087347661579205,1970,10
42,Wholesale_trade,4.4293922659887155,3.666217864433553,2,1.8605244027592116,0.08240992400264927,0.05391155564974647,0.13632147965239572,1970,11
3361MV,Motor_vehicles_bodies_and_trailers_and_parts,2.734466140824262,2.071700467529184,19,3.2907607356892132,0.08998473809296093,0.025503920967563674,0.1154886590605246,1970,12
22,Utilities,2.153611560565189,2.246962713936573,13,3.302220618689633,0.07111700499946724,0.041034310950349394,0.11215131594981664,1970,13
315AL,Apparel_and_leather_and_allied_products,3.505215908633235,1.3525079274382448,48,3.074675681433914,0.10777402112449887,0.004221591078295331,0.1119956122027942,1970,14
GSLG,State_and_local_general_government,1.3484875919762116,1.3047576680044597,49,6.852036304546694,0.0923988593645175,0.013899467143350358,0.10629832650786786,1970,15
484,Truck_transportation,0.6493838740103003,2.2060255983027273,14,6.719650739315175,0.043636328290926674,0.055003573221834495,0.09863990151276117,1970,16
331,Primary_metals,0.06287736109071278,4.037759342094635,1,5.49477456906573,0.0034549692469121158,0.0839822355904957,0.08743720483740781,1970,17
61,Educational_services,1.5696913541295636,1.106387888277602,59,4.655860361050168,0.07308263754774998,0.004143327218495196,0.07722596476624517,1970,18
GFE,Federal_government_enterprises,0.4776537869495522,1.4866452766782632,38,9.066084988147338,0.04330449827395062,0.032025568346384176,0.0753300666203348,1970,19
332,Fabricated_metal_products,0.24234252033991308,2.805226299818305,6,4.10030161513979,0.00993677427566793,0.05889755501352651,0.06883432928919443,1970,20
721,Accommodation,0.9503385430213017,1.2832456943110007,51,5.592915424564593,0.05315163095822081,0.011763455289704586,0.0649150862479254,1970,21
55,Management_of_companies_and_enterprises,0.004913767944022794,2.2751936196249782,12,3.7420449530232602,1.838754053525798e-4,0.06462629862564837,0.06481017403100095,1970,22
511,Publishing_industries_except_internet_includes_software,0.8881391327646426,1.4571214875890177,42,4.799628578791881,0.04262737963560616,0.018341678088205964,0.06096905772381212,1970,23
5411,Legal_services,0.7844654538795364,1.408990932832306,46,5.687921048446465,0.04461977566900524,0.011403076906047886,0.05602285257505313,1970,24
GSLE,State_and_local_government_enterprises,1.0789700565594604,1.417882822622566,45,3.69142074841573,0.039829324537028865,0.013734836305052695,0.05356416084208156,1970,25
481,Air_transportation,0.7409996977869773,1.420893993458362,44,5.073133864495771,0.03759190660424246,0.01352130678903109,0.05111321339327355,1970,26
513,Broadcasting_and_telecommunications,1.979891290054768,2.1732234889164728,15,1.8365673120751769,0.036362036247769396,0.011502365755748506,0.0478644020035179,1970,27
313TT,Textile_mills_and_textile_product_mills,0.633853821680955,2.416770185943596,10,2.268323730362831,0.014377856653000808,0.031177365281718807,0.045555221934719614,1970,28
482,Rail_transportation,0.3606012024754767,1.6912809845144123,33,4.6731553561602635,0.016851454407861056,0.02799031907067109,0.044841773478532146,1970,29
212,Mining_except_oil_and_gas,0.013987994852026606,1.9332030790214731,22,7.701435411116031,0.0010772763888390643,0.04303403324086491,0.04411130962970398,1970,30
211,Oil_and_gas_extraction,0.06888105415635762,2.1368573316793587,16,2.861049327146392,0.0019707209364718116,0.03945724842633213,0.04142796936280394,1970,31
5412OP,Miscellaneous_professional_scientific_and_technical_services,0.21320613493762294,2.003861828190488,20,3.6342394204740947,0.007748421402772285,0.03357687844167381,0.0413252998444461,1970,32
322,Paper_products,0.27120906818332774,2.90746122579411,5,2.6012828641159613,0.007054915016581478,0.03301207626852023,0.0400669912851017,1970,33
339,Miscellaneous_manufacturing,0.8485992906293278,1.473255941099447,40,2.966432276248687,0.02517312325324578,0.011162379006798603,0.03633550226004439,1970,34
713,Amusements_gambling_and_recreation_industries,0.659077596461507,1.0361521742732043,62,5.241039123690583,0.03454251468602712,0.0013708330407970742,0.035913347726824196,1970,35
711AS,Performing_arts_spectator_sports_museums_and_related_activities,0.4409972288612102,1.2955961919063383,50,6.696215123112381,0.029530123131510877,0.00592539882339332,0.035455521954904194,1970,36
