industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,209829,5033,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,866,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,34,39465,0,0,0,0,268,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,83574,658,3674,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7409,5,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,49423,918,0,2389,0,224,4,0,0,0,0,0,0,0,0,0,0,0,0,0,170,1653,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,58,15,15116,0,977,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,314,0,0,249883,1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,3002,0,0,0,0,0,0,0,0,0,0,0,0,0,412,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0
23_Construction,0,0,0,0,0,0,665596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,215,81186,80,0,358,0,0,0,0,0,309,32,0,11,0,21,0,0,25,124,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0
327_Nonmetallic_mineral_products,0,0,0,556,3,0,653,201,77719,2,47,85,93,72,21,17,90,89,0,58,0,208,0,94,173,263,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
331_Primary_metals,0,0,0,0,0,0,248,0,91,154501,2250,419,6,393,0,0,27,0,0,58,0,56,0,824,587,158,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0
332_Fabricated_metal_products,0,0,0,0,0,0,2801,358,346,4543,208294,3258,630,248,2054,443,315,420,0,6,3,74,111,7,155,1266,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,1680,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,872,0
333_Machinery,0,0,0,0,0,0,1708,0,82,434,3503,232617,927,1552,2274,497,218,467,245,0,0,39,0,1,607,254,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,4176,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,346,0
334_Computer_and_electronic_products,0,0,0,0,0,0,208,77,299,120,401,1342,377719,1611,470,2244,431,1564,0,236,0,437,208,0,1080,608,5771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,21675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,94,0,198,1417,1140,1256,2074,95698,894,153,25,222,0,1,0,54,0,43,224,122,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,882,0,42,172,843,1374,2587,430,376595,195,50,3,0,45,0,0,0,0,75,216,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,550,0,0,1,589,2134,1221,218,227,118600,0,3,0,135,0,0,0,0,22,136,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,12310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
