industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,176611,3991,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,956,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,5,36078,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,69071,138,990,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7404,67,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,44080,253,0,2739,0,292,3,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1449,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,11,3,16709,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,128,0,0,232296,2224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,2856,0,0,0,0,0,0,0,0,0,0,0,0,0,738,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0
23_Construction,0,0,0,0,0,0,544703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,276,70698,17,0,166,0,0,0,0,0,196,72,0,3,0,4,0,0,3,89,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
327_Nonmetallic_mineral_products,0,0,0,110,1,0,1200,40,61532,31,74,95,70,31,4,3,18,76,1,73,0,170,0,69,188,198,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
331_Primary_metals,0,0,0,0,0,0,280,0,32,124153,2635,400,1,530,0,0,6,0,0,12,0,13,0,47,283,57,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0
332_Fabricated_metal_products,0,0,0,0,0,0,3180,148,150,3030,167160,1940,387,301,1095,253,153,191,0,15,1,15,118,2,103,809,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,868,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,349,0
333_Machinery,0,0,0,0,0,0,3259,0,68,254,2155,181078,373,792,1937,534,110,162,48,0,0,13,0,0,229,178,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0
