industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,29644,676,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,2656,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,8703,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,7289,13,0,405,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,4120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,0,0,0,14845,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,52697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,7,7431,0,0,20,0,0,0,0,0,34,7,0,0,0,0,0,0,0,7,73,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,17,0,6849,3,9,26,2,4,0,0,0,2,0,3,0,33,0,9,12,10,108,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0
331_Primary_metals,0,0,0,0,0,0,64,0,2,27474,146,69,0,63,0,0,0,0,0,0,0,2,0,0,84,10,37,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,94,0
332_Fabricated_metal_products,0,0,0,0,0,0,76,17,17,423,22169,401,38,120,142,179,56,47,0,4,0,0,10,0,21,27,334,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,191,0
333_Machinery,0,0,0,0,0,0,36,0,11,14,262,16704,73,111,115,149,9,6,0,0,0,4,0,0,26,10,250,0,0,0,0,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,68,0
334_Computer_and_electronic_products,0,0,0,0,0,0,17,0,3,0,49,70,10309,161,40,94,21,27,0,0,0,0,0,0,27,0,354,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,112,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,8,0,6,44,133,122,175,7346,199,0,7,13,0,0,1,0,0,10,2,6,140,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,15,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,34,0,0,0,321,387,75,115,32691,196,21,0,0,1,0,0,0,0,0,2,218,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,202,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,44,0,0,0,196,342,347,49,64,15303,0,13,0,5,0,0,0,0,0,0,205,0,0,0,0,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,54,0
337_Furniture_and_related_products,0,0,0,0,0,0,3,19,4,0,30,2,16,0,4,0,4411,5,0,17,0,0,0,0,0,1,38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,11,17,0,40,42,16,0,0,0,38,7823,0,13,0,7,10,7,25,37,159,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,32,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57698,0,1,0,0,0,94,1,855,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,11,5,0,13224,1,29,1,1,38,25,45,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,73,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,17810,0,0,0,0,11,43,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,4,0
322_Paper_products,0,0,0,0,0,0,16,2,0,0,21,0,21,0,0,0,1,10,0,27,0,12753,87,0,29,10,64,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,33,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,10,0,0,4,49,3696,0,0,4,82,0,0,0,0,0,0,0,2618,0,0,0,0,0,0,0,0,0,0,0,0,36,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,141,0,29,115,0,0,0,14,0,0,0,0,0,0,0,4,0,16956,780,0,115,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,70,0,12,0,0,4,11,0,1,0,0,18,90,0,0,3,0,86,17818,80,512,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
