industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,29837,640,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,2583,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,6657,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,7232,13,0,294,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,3466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,0,0,0,10360,1160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,41866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,6,7529,0,0,20,0,0,0,0,0,24,5,0,0,0,0,0,0,0,4,50,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,16,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,14,0,5759,1,8,12,1,3,0,0,0,1,0,1,0,16,0,4,6,5,73,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,0
331_Primary_metals,0,0,0,0,0,0,46,0,6,22690,93,42,0,39,0,0,0,0,0,0,0,3,0,0,64,5,25,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,84,0
332_Fabricated_metal_products,0,0,0,0,0,0,69,16,10,420,22349,433,36,145,110,171,50,38,0,3,0,0,6,0,13,16,269,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,249,0
333_Machinery,0,0,0,0,0,0,27,0,6,8,208,14364,68,92,149,143,5,5,0,0,0,3,0,0,13,5,179,0,0,0,0,0,0,0,308,0,0,0,0,0,0,0,0,0,0,0,0,65,0
334_Computer_and_electronic_products,0,0,0,0,0,0,14,0,1,0,40,58,7068,158,45,42,35,12,0,0,0,0,0,0,21,0,294,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,66,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,7,0,5,48,132,115,130,6703,125,0,6,9,0,0,1,0,0,9,1,3,111,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,40,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,26,0,0,0,234,253,45,118,27696,188,14,0,0,1,0,0,0,0,0,1,154,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,223,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,38,0,0,0,141,277,142,29,58,10860,0,6,0,14,0,0,0,0,0,0,156,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,71,0
337_Furniture_and_related_products,0,0,0,0,0,0,2,10,2,0,21,2,21,0,2,0,3793,3,0,17,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,8,8,0,20,22,8,0,0,0,20,6973,0,18,0,3,5,3,19,41,109,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,30,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55724,0,2,0,0,0,84,0,617,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,10,3,0,15037,2,28,1,1,29,18,36,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,56,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,16005,0,0,0,0,6,31,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,0
322_Paper_products,0,0,0,0,0,0,12,1,0,0,10,0,12,0,0,0,0,5,0,13,0,10601,43,0,17,5,43,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,40,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,4,0,0,2,33,1906,0,0,2,68,0,0,0,0,0,0,0,2799,0,0,0,0,0,0,0,0,0,0,0,0,29,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,96,0,33,122,0,0,0,8,0,0,0,0,0,0,0,9,0,12540,419,0,76,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,59,0,7,0,0,2,6,0,0,0,0,12,106,0,0,2,0,63,16308,39,397,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,3,1,17,0,4,11,1,0,0,0,3,50,0,22,0,18,0,0,47,3790,61,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,9,0
42_Wholesale_trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,0,0,2,1715,0,0,0,0,0,0,0,24552,0,28,0,0,0,0,374,10,0,6,0,0,0,0,0,765,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,29,3196,0,0,0,4,0,0,0,0,43382,84,0,0,133,0,0,10,0,0,0,0,0,0,1046,4802,0,0,0,0,0,0
48_Transportation,0,0,0,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,32811,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,0,0,0
493_Warehousing_and_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51_Information,0,0,0,0,0,0,1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13373,0,0,0,4398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52_Finance_and_insurance,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531_Real_estate,0,0,0,0,0,0,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54_Professional_scientific_and_technical_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55_Management_of_companies_and_enterprises,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,8147,0,0,0,0,0,0,0,0,0,0,0,0,0
56_Administrative_and_waste_management_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0,1,0,3382,0,0,0,0,0,40,0,0,0,0,0,0
61_Educational_services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,213,0,0,1948,0,28,0,119,0,0,0,0,0,0,0
62_Health_care_and_social_assistance,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,21,0,0,0,9000,0,0,17,0,0,0,0,0,0,0
71_Arts_entertainment_and_recreation,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,17,0,0,2733,0,367,2,0,0,0,0,0,0
721_Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2419,441,0,0,0,0,0,0,0
722_Food_services_and_drinking_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,39,16,15005,0,0,0,0,0,7,0
81_Other_services_except_government,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,4,0,0,0,0,0,0,302,14253,0,0,0,0,0,0
GFG_Federal_general_government,0,82,0,85,0,0,83,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,1041,0,0,13,30,0,0,0,0,51604,0,0,0,0,113
GFE_Federal_government_enterprises,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,2480,0,0,0,0
GSLG_State_and_local_general_government,0,41,0,6,0,14,310,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,17,0,0,0,0,0,0,0,3,154,0,0,342,0,337,222,454,105,131,232,6,0,0,18495,0,80,0
GSLE_State_and_local_government_enterprises,0,0,0,0,0,915,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,488,0,0,0,256,0,0,0,0,0,0,0,0,0,8,0,0,0,746,0,0
