industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,48_Transportation,493_Warehousing_and_storage,51_Information,52_Finance_and_insurance,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54_Professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,56_Administrative_and_waste_management_services,61_Educational_services,62_Health_care_and_social_assistance,71_Arts_entertainment_and_recreation,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,29837,650,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,1472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,2406,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,6878,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,6679,12,0,292,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,0,0,0,11275,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23_Construction,0,0,0,0,0,0,44035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,6,7276,0,0,19,0,0,0,0,0,26,5,0,0,0,0,0,0,0,4,54,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,13,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,14,0,5729,2,8,15,1,3,0,0,0,1,0,1,0,19,0,5,7,6,77,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0
331_Primary_metals,0,0,0,0,0,0,47,0,5,22301,98,45,0,41,0,0,0,0,0,0,0,3,0,0,64,6,26,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,81,0
332_Fabricated_metal_products,0,0,0,0,0,0,59,13,10,350,18542,353,30,115,99,144,43,33,0,3,0,0,6,0,12,16,237,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,195,0
333_Machinery,0,0,0,0,0,0,26,0,6,8,195,13255,62,85,126,129,5,4,0,0,0,3,0,0,14,5,173,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,58,0
334_Computer_and_electronic_products,0,0,0,0,0,0,13,0,1,0,37,54,6724,141,39,46,29,13,0,0,0,0,0,0,20,0,271,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,66,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,6,0,5,41,116,102,123,6019,124,0,5,8,0,0,1,0,0,8,1,3,103,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,30,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,25,0,0,0,233,259,47,108,26436,174,14,0,0,1,0,0,0,0,0,1,154,0,0,0,0,0,0,0,549,0,0,0,0,0,0,0,0,0,0,0,0,201,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,43,0,0,0,163,313,193,35,64,12694,0,7,0,13,0,0,0,0,0,0,178,0,0,0,0,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,74,0
337_Furniture_and_related_products,0,0,0,0,0,0,2,11,2,0,21,2,18,0,2,0,3580,3,0,15,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,0,8,10,0,23,25,9,0,0,0,22,6772,0,16,0,4,6,4,19,38,113,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,29,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57376,0,2,0,0,0,88,1,684,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
