industry,111CA_Farms,113FF_Forestry_fishing_and_related_activities,211_Oil_and_gas_extraction,212_Mining_except_oil_and_gas,213_Support_activities_for_mining,22_Utilities,23_Construction,321_Wood_products,327_Nonmetallic_mineral_products,331_Primary_metals,332_Fabricated_metal_products,333_Machinery,334_Computer_and_electronic_products,335_Electrical_equipment_appliances_and_components,3361MV_Motor_vehicles_bodies_and_trailers_and_parts,3364OT_Other_transportation_equipment,337_Furniture_and_related_products,339_Miscellaneous_manufacturing,311FT_Food_and_beverage_and_tobacco_products,313TT_Textile_mills_and_textile_product_mills,315AL_Apparel_and_leather_and_allied_products,322_Paper_products,323_Printing_and_related_support_activities,324_Petroleum_and_coal_products,325_Chemical_products,326_Plastics_and_rubber_products,42_Wholesale_trade,44RT_Retail_trade,481_Air_transportation,482_Rail_transportation,483_Water_transportation,484_Truck_transportation,485_Transit_and_ground_passenger_transportation,486_Pipeline_transportation,487OS_Other_transportation_and_support_activities,493_Warehousing_and_storage,511_Publishing_industries_except_internet_includes_software,512_Motion_picture_and_sound_recording_industries,513_Broadcasting_and_telecommunications,514_Data_processing_internet_publishing_and_other_information_services,521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,523_Securities_commodity_contracts_and_investments,524_Insurance_carriers_and_related_activities,525_Funds_trusts_and_other_financial_vehicles,531_Real_estate,532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,5411_Legal_services,5415_Computer_systems_design_and_related_services,5412OP_Miscellaneous_professional_scientific_and_technical_services,55_Management_of_companies_and_enterprises,561_Administrative_and_support_services,562_Waste_management_and_remediation_services,61_Educational_services,621_Ambulatory_health_care_services,622HO_Hospitals_and_nursing_and_residential_care_facilities,624_Social_assistance,711AS_Performing_arts_spectator_sports_museums_and_related_activities,713_Amusements_gambling_and_recreation_industries,721_Accommodation,722_Food_services_and_drinking_places,81_Other_services_except_government,GFG_Federal_general_government,GFE_Federal_government_enterprises,GSLG_State_and_local_general_government,GSLE_State_and_local_government_enterprises,Used_Scrap_used_and_secondhand_goods,Other_Noncomparable_imports_and_rest_of_the_world_adjustment
111CA_Farms,146317,3669,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0
113FF_Forestry_fishing_and_related_activities,0,29290,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211_Oil_and_gas_extraction,0,0,63852,0,183,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4456,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212_Mining_except_oil_and_gas,0,0,0,46420,85,0,645,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,1423,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213_Support_activities_for_mining,0,0,0,0,16905,0,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22_Utilities,0,0,57,0,0,185725,2706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,2271,0,0,0,0,0,0,0,0,0,0,0,0,0,459,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0
23_Construction,0,0,0,0,0,0,508945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321_Wood_products,0,0,0,0,0,0,68,55069,0,0,96,0,0,0,0,0,138,84,0,0,0,0,0,0,0,64,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
327_Nonmetallic_mineral_products,0,0,0,0,0,0,371,0,59758,18,111,93,72,22,0,0,0,112,0,49,0,142,0,106,215,127,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
331_Primary_metals,0,0,0,0,0,0,1175,0,59,130616,3122,469,0,556,0,0,5,0,0,0,0,1,0,0,211,46,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,0
332_Fabricated_metal_products,0,0,0,0,0,0,1551,115,116,2606,151802,1543,422,333,685,301,154,123,0,26,0,0,99,0,95,634,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0
333_Machinery,0,0,0,0,0,0,1178,0,84,231,1719,156326,278,648,1491,781,87,73,0,0,0,29,0,0,125,247,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,2795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0
334_Computer_and_electronic_products,0,0,0,0,0,0,131,0,33,0,614,525,225188,1866,84,1123,26,257,0,0,0,0,0,0,307,0,2593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,12628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
335_Electrical_equipment_appliances_and_components,0,0,0,0,0,0,31,0,121,259,295,499,1082,73119,459,0,21,71,0,6,0,0,0,12,118,103,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,0,0,0,0,0,0,380,0,0,0,846,1075,990,701,251268,433,151,0,0,70,0,0,0,0,0,97,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,7485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,0
3364OT_Other_transportation_equipment,0,0,0,0,0,0,440,0,0,0,469,793,2254,313,176,112018,0,51,0,12,0,0,0,0,0,0,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,20980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0
337_Furniture_and_related_products,0,0,0,0,0,0,165,176,92,0,144,40,33,0,157,0,41355,76,0,33,0,0,0,0,1,76,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339_Miscellaneous_manufacturing,0,0,0,0,0,0,334,53,83,0,188,77,453,0,0,0,101,57807,0,108,0,180,97,1,270,320,1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
311FT_Food_and_beverage_and_tobacco_products,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,367813,0,96,0,0,0,771,36,4684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313TT_Textile_mills_and_textile_product_mills,0,0,0,0,0,0,52,0,0,0,0,0,0,0,101,0,24,128,0,67692,145,81,3,5,1964,163,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0
315AL_Apparel_and_leather_and_allied_products,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,55,0,390,67854,0,12,0,0,43,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
322_Paper_products,0,0,0,0,0,0,75,65,0,0,250,0,397,0,0,0,17,401,0,234,0,113041,260,0,455,1211,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0
323_Printing_and_related_support_activities,0,0,0,0,0,0,34,0,0,0,181,0,0,0,0,0,0,116,0,4,28,353,50993,0,0,29,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
324_Petroleum_and_coal_products,0,0,0,0,0,0,504,0,98,1,0,0,0,0,0,0,0,0,0,0,0,7,0,122305,5319,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325_Chemical_products,0,0,0,0,0,0,604,0,183,0,0,121,1006,0,1,0,0,285,529,0,0,165,0,1263,257603,1225,5001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,6113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326_Plastics_and_rubber_products,0,0,0,0,0,0,109,77,85,0,389,500,64,219,0,0,43,281,0,130,0,595,22,0,530,93305,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
42_Wholesale_trade,0,1185,0,0,0,0,1084,0,0,0,94,13,8,0,198,0,6,418,6966,0,0,0,0,0,0,0,415328,0,0,0,0,0,0,15,526,11,0,0,0,0,0,0,0,0,0,10940,0,1234,632,0,120,0,1,0,0,0,0,0,0,0,16359,0,0,0,0,0,0
44RT_Retail_trade,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,576,7408,0,397,0,38,0,0,0,0,470613,0,0,0,674,0,0,763,17,0,0,0,0,1211,0,140,0,0,2735,0,341,813,0,622,0,52,18,0,0,0,288,0,12573,36334,0,0,0,0,0,0
481_Air_transportation,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482_Rail_transportation,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483_Water_transportation,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16996,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484_Truck_transportation,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,88580,0,0,87,1593,0,0,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
485_Transit_and_ground_passenger_transportation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16337,0,49,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
