industry,name,share_personal_consump,fl,rank_fl,price_shock_pct,impact_dir,impact_indir,impact_total,year,impact_rank
324,Petroleum_and_coal_products,2.495217978802905,3.466106162129127,4,13.780440682329697,0.34385203346376036,0.24686352231498895,0.5907155557787493,1977,1
44RT,Retail_trade,16.015662765018263,1.8380451647449407,27,3.507145142878155,0.5616925387630832,0.022196716810183797,0.583889255573267,1977,2
311FT,Food_and_beverage_and_tobacco_products,8.93790634937396,2.4158194395476573,10,4.726563798663286,0.42245584586793694,0.026248548689479283,0.4487043945574162,1977,3
111CA,Farms,1.0536307817801773,2.1233324256320447,17,8.72146722562651,0.09189206331207053,0.278546497379188,0.3704385606912585,1977,4
531,Real_estate,13.848623882396344,2.2640891960173586,14,2.367164982775744,0.327819775140405,0.03626102145894012,0.3640807965993451,1977,5
211,Oil_and_gas_extraction,0.08974079808951524,2.500870649466471,9,16.673401474302395,0.014962843551707971,0.3180158847373255,0.33297872828903347,1977,6
22,Utilities,2.8085635357074006,2.6647646894791768,8,5.382324799257723,0.15116601168528895,0.08422383088237784,0.23538984256766676,1977,7
42,Wholesale_trade,3.912386917794096,4.140317558137502,1,3.077513221002958,0.12040422465190341,0.09766971167714063,0.21807393632904404,1977,8
325,Chemical_products,1.5292332937514843,4.087805034215779,2,5.87502740217637,0.08984287505110397,0.10776743351403925,0.1976103085651432,1977,9
722,Food_services_and_drinking_places,4.912964063864417,1.4619636251685617,39,3.0823445507916043,0.15143448010487465,0.012154640896609364,0.16358912100148398,1977,10
521CI,Federal_Reserve_banks_credit_intermediation,1.8544949119089105,2.6821692739989205,7,4.840231502025246,0.08976184692967043,0.0514130850640579,0.14117493199372833,1977,11
3361MV,Motor_vehicles_bodies_and_trailers_and_parts,3.315464437779885,1.9765980871481321,20,3.4116630352201733,0.11311247466960671,0.019556112181054953,0.13266858685066166,1977,12
81,Other_services_except_government,4.319007679382144,1.8785658956419242,26,2.6028119799277474,0.11241564929295783,0.018524927260637567,0.1309405765535954,1977,13
622HO,Hospitals_and_nursing_and_residential_care_facilities,4.850883103977988,1.0112271286973415,64,2.527038668875037,0.1225836918194494,2.504141704494991e-4,0.1228341059898989,1977,14
315AL,Apparel_and_leather_and_allied_products,2.704094595375583,1.2650662169875806,52,3.7605726434968276,0.1016894416079704,0.0032485055234189385,0.10493794713138935,1977,15
621,Ambulatory_health_care_services,3.869144713086935,1.0138101851916852,63,2.3843942618060696,0.0922556645198178,2.509567936354699e-4,0.09250662131345327,1977,16
322,Paper_products,0.2888312123358297,2.879226479157744,5,6.024523769891181,0.01740070504203693,0.07237970929995784,0.08978041434199477,1977,17
331,Primary_metals,0.06509977015303914,3.592930784383334,3,5.921169754111427,0.0038546679002978124,0.08386709652568416,0.087721764425982,1977,18
313TT,Textile_mills_and_textile_product_mills,0.5864109298174435,2.3140749012880533,12,5.116441206105958,0.030003370450288766,0.05397945555629061,0.08398282600657939,1977,19
524,Insurance_carriers_and_related_activities,2.566004637103392,2.285213250808709,13,2.593140880744516,0.06654011524652802,0.010454772490796786,0.07699488773732481,1977,20
332,Fabricated_metal_products,0.24864148070538375,2.8093211119082495,6,4.245673669844752,0.010556505878620599,0.06173914169466659,0.07229564757328719,1977,21
334,Computer_and_electronic_products,0.5596120930412509,2.1004245128673347,18,6.754600959767804,0.03779956380754103,0.0326412594444591,0.07044082325200011,1977,22
513,Broadcasting_and_telecommunications,2.1773644165921144,2.218705198420198,15,2.3606471838921985,0.05139989178335255,0.01617395836236104,0.0675738501457136,1977,23
212,Mining_except_oil_and_gas,0.014244432856040564,1.972432259429308,21,9.368117551339983,0.0013344352144755752,0.06434386686621467,0.06567830208069024,1977,24
481,Air_transportation,0.8403349979416866,1.4468204657678305,41,5.676636957765703,0.04770276706219745,0.01713964022630448,0.06484240728850194,1977,25
326,Plastics_and_rubber_products,0.4206158745785178,1.8994796708684845,24,4.881758449612823,0.020533450997649666,0.04006604794115632,0.060599498938805986,1977,26
335,Electrical_equipment_appliances_and_components,0.6871434117609853,1.554589681504632,36,6.020170523857848,0.041367205131466,0.01870696490691278,0.060074170038378776,1977,27
484,Truck_transportation,0.6043962110814215,2.080126616645864,19,4.56235559613407,0.02757470435909552,0.032075882156821826,0.05965058651591735,1977,28
55,Management_of_companies_and_enterprises,0.005086560881961131,2.1879693049910562,16,3.3144043368034546,1.6858919446586777e-4,0.05079208344878917,0.05096067264325504,1977,29
GSLE,State_and_local_government_enterprises,1.010748738029474,1.3580898179311256,47,3.8038731074076355,0.03844759942936521,0.011496218275507727,0.04994381770487293,1977,30
GSLG,State_and_local_general_government,1.609720685423189,1.2650811971698026,51,2.6254460130989483,0.04226234755747218,0.004797023015110848,0.047059370572583026,1977,31
339,Miscellaneous_manufacturing,0.8602965954122995,1.3947244252191078,43,3.7962675065291664,0.03265916011141381,0.011596681188129442,0.04425584129954325,1977,32
482,Rail_transportation,0.2722822231411475,1.5341802652323697,37,5.598008581553274,0.015242382217485473,0.027010271306077138,0.04225265352356261,1977,33
113FF,Forestry_fishing_and_related_activities,0.08244909877524284,1.9338396934731024,22,7.73882188231753,0.006380588897792088,0.03368777977265671,0.040068368670448794,1977,34
GFE,Federal_government_enterprises,0.48735643433666426,1.474583656280294,38,4.444013045658373,0.021658183520776843,0.017264328680837413,0.03892251220161426,1977,35
61,Educational_services,1.4359137207333272,1.0997961470479625,59,2.54123756778487,0.036489978912252835,0.0020429123593192124,0.03853289127157205,1977,36
