industry,Total_Industry_Output
111CA_Farms,63374
113FF_Forestry_fishing_and_related_activities,11486
211_Oil_and_gas_extraction,14978
212_Mining_except_oil_and_gas,12790
213_Support_activities_for_mining,3332
22_Utilities,40210
23_Construction,148572
311FT_Food_and_beverage_and_tobacco_products,122584
313TT_Textile_mills_and_textile_product_mills,30252
315AL_Apparel_and_leather_and_allied_products,32253
321_Wood_products,19850
322_Paper_products,28386
323_Printing_and_related_support_activities,14276
324_Petroleum_and_coal_products,26545
325_Chemical_products,55200
326_Plastics_and_rubber_products,20834
327_Nonmetallic_mineral_products,20471
331_Primary_metals,55378
332_Fabricated_metal_products,51818
333_Machinery,53883
334_Computer_and_electronic_products,43427
335_Electrical_equipment_appliances_and_components,26021
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,82021
3364OT_Other_transportation_equipment,34733
337_Furniture_and_related_products,11912
339_Miscellaneous_manufacturing,18195
42_Wholesale_trade,100260
44RT_Retail_trade,138176
48_Transportation,84116
493_Warehousing_and_storage,3426
51_Information,74397
52_Finance_and_insurance,97510
531_Real_estate,148328
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,14495
54_Professional_scientific_and_technical_services,54687
55_Management_of_companies_and_enterprises,24930
56_Administrative_and_waste_management_services,19677
61_Educational_services,14887
62_Health_care_and_social_assistance,61151
71_Arts_entertainment_and_recreation,11561
721_Accommodation,12455
722_Food_services_and_drinking_places,44396
81_Other_services_except_government,47803
GFE_Federal_government_enterprises,12190
GFG_Federal_general_government,119243
GSLE_State_and_local_government_enterprises,15010
GSLG_State_and_local_general_government,132246
