industry,Total_Industry_Output
111CA_Farms,256245
113FF_Forestry_fishing_and_related_activities,47792
211_Oil_and_gas_extraction,257413
212_Mining_except_oil_and_gas,100825
213_Support_activities_for_mining,86922
22_Utilities,421955
23_Construction,1353620
311FT_Food_and_beverage_and_tobacco_products,667595
313TT_Textile_mills_and_textile_product_mills,71692
315AL_Apparel_and_leather_and_allied_products,39194
321_Wood_products,114562
322_Paper_products,167543
323_Printing_and_related_support_activities,100747
324_Petroleum_and_coal_products,536877
325_Chemical_products,660295
326_Plastics_and_rubber_products,209810
327_Nonmetallic_mineral_products,125807
331_Primary_metals,233123
332_Fabricated_metal_products,316668
333_Machinery,323673
334_Computer_and_electronic_products,425911
335_Electrical_equipment_appliances_and_components,117199
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,525243
3364OT_Other_transportation_equipment,214018
337_Furniture_and_related_products,86381
339_Miscellaneous_manufacturing,156230
42_Wholesale_trade,1196837
44RT_Retail_trade,1302080
48_Transportation,759272
493_Warehousing_and_storage,61495
51_Information,1183858
52_Finance_and_insurance,1885316
531_Real_estate,2329813
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,262503
54_Professional_scientific_and_technical_services,1432025
55_Management_of_companies_and_enterprises,383657
56_Administrative_and_waste_management_services,622833
61_Educational_services,213485
62_Health_care_and_social_assistance,1461565
71_Arts_entertainment_and_recreation,222694
721_Accommodation,187473
722_Food_services_and_drinking_places,502320
81_Other_services_except_government,523411
GFE_Federal_government_enterprises,95384
GFG_Federal_general_government,805585
GSLE_State_and_local_government_enterprises,211959
GSLG_State_and_local_general_government,1663757
