industry,T008_Total_Industry_Output
111CA_Farms,39210
113FF_Forestry_fishing_and_related_activities,4255
211_Oil_and_gas_extraction,9628
212_Mining_except_oil_and_gas,7523
213_Support_activities_for_mining,2451
22_Utilities,22363
23_Construction,66766
311FT_Food_and_beverage_and_tobacco_products,76136
313TT_Textile_mills_and_textile_product_mills,17841
315AL_Apparel_and_leather_and_allied_products,21858
321_Wood_products,7873
322_Paper_products,16445
323_Printing_and_related_support_activities,7548
324_Petroleum_and_coal_products,18003
325_Chemical_products,31334
326_Plastics_and_rubber_products,9090
327_Nonmetallic_mineral_products,11809
331_Primary_metals,33297
332_Fabricated_metal_products,25937
333_Machinery,25465
334_Computer_and_electronic_products,23682
335_Electrical_equipment_appliances_and_components,14351
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,46009
3364OT_Other_transportation_equipment,21462
337_Furniture_and_related_products,6050
339_Miscellaneous_manufacturing,9685
42_Wholesale_trade,47628
44RT_Retail_trade,81182
48_Transportation,41836
493_Warehousing_and_storage,1755
51_Information,34881
52_Finance_and_insurance,40817
531_Real_estate,71985
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,7148
54_Professional_scientific_and_technical_services,24046
55_Management_of_companies_and_enterprises,13145
56_Administrative_and_waste_management_services,8072
61_Educational_services,6128
62_Health_care_and_social_assistance,21974
71_Arts_entertainment_and_recreation,6188
721_Accommodation,4586
722_Food_services_and_drinking_places,21309
81_Other_services_except_government,28159
GFE_Federal_government_enterprises,5841
GFG_Federal_general_government,64608
GSLE_State_and_local_government_enterprises,7253
GSLG_State_and_local_general_government,48401
