industry,Total_Industry_Output
111CA_Farms,380317
113FF_Forestry_fishing_and_related_activities,49176
211_Oil_and_gas_extraction,372942
212_Mining_except_oil_and_gas,130879
213_Support_activities_for_mining,97965
22_Utilities,484889
23_Construction,1020485
311FT_Food_and_beverage_and_tobacco_products,855975
313TT_Textile_mills_and_textile_product_mills,52875
315AL_Apparel_and_leather_and_allied_products,24900
321_Wood_products,72994
322_Paper_products,175584
323_Printing_and_related_support_activities,84243
324_Petroleum_and_coal_products,816949
325_Chemical_products,782301
326_Plastics_and_rubber_products,201011
327_Nonmetallic_mineral_products,94064
331_Primary_metals,281505
332_Fabricated_metal_products,326787
333_Machinery,369088
334_Computer_and_electronic_products,361661
335_Electrical_equipment_appliances_and_components,117823
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,498798
3364OT_Other_transportation_equipment,258785
337_Furniture_and_related_products,57264
339_Miscellaneous_manufacturing,162007
42_Wholesale_trade,1530787
44RT_Retail_trade,1335930
48_Transportation,861208
493_Warehousing_and_storage,97611
51_Information,1324737
52_Finance_and_insurance,1984569
531_Real_estate,2509313
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,284725
54_Professional_scientific_and_technical_services,1710801
55_Management_of_companies_and_enterprises,446492
56_Administrative_and_waste_management_services,711295
61_Educational_services,306453
62_Health_care_and_social_assistance,1867839
71_Arts_entertainment_and_recreation,252149
721_Accommodation,198741
722_Food_services_and_drinking_places,579153
81_Other_services_except_government,548882
GFE_Federal_government_enterprises,93773
GFG_Federal_general_government,1054974
GSLE_State_and_local_government_enterprises,286515
GSLG_State_and_local_general_government,1928682
