industry,Total_Industry_Output
111CA_Farms,41586
113FF_Forestry_fishing_and_related_activities,5078
211_Oil_and_gas_extraction,10255
212_Mining_except_oil_and_gas,8796
213_Support_activities_for_mining,2650
22_Utilities,24320
23_Construction,79096
311FT_Food_and_beverage_and_tobacco_products,81715
313TT_Textile_mills_and_textile_product_mills,20474
315AL_Apparel_and_leather_and_allied_products,24150
321_Wood_products,8951
322_Paper_products,18618
323_Printing_and_related_support_activities,8658
324_Petroleum_and_coal_products,19289
325_Chemical_products,36884
326_Plastics_and_rubber_products,10838
327_Nonmetallic_mineral_products,13384
331_Primary_metals,42052
332_Fabricated_metal_products,31787
333_Machinery,32516
334_Computer_and_electronic_products,27734
335_Electrical_equipment_appliances_and_components,17350
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,59983
3364OT_Other_transportation_equipment,23725
337_Furniture_and_related_products,7051
339_Miscellaneous_manufacturing,11098
42_Wholesale_trade,60730
44RT_Retail_trade,91638
48_Transportation,48407
493_Warehousing_and_storage,2094
51_Information,40513
52_Finance_and_insurance,50331
531_Real_estate,84047
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,7272
54_Professional_scientific_and_technical_services,28498
55_Management_of_companies_and_enterprises,15383
56_Administrative_and_waste_management_services,10170
61_Educational_services,7569
62_Health_care_and_social_assistance,27183
71_Arts_entertainment_and_recreation,6793
721_Accommodation,6045
722_Food_services_and_drinking_places,24605
81_Other_services_except_government,32402
GFE_Federal_government_enterprises,6748
GFG_Federal_general_government,70640
GSLE_State_and_local_government_enterprises,8562
GSLG_State_and_local_general_government,58312
