industry,T008_Total_Industry_Output
111CA_Farms,171924
113FF_Forestry_fishing_and_related_activities,30073
211_Oil_and_gas_extraction,74602
212_Mining_except_oil_and_gas,50514
213_Support_activities_for_mining,16580
22_Utilities,204011
23_Construction,523941
311FT_Food_and_beverage_and_tobacco_products,404847
313TT_Textile_mills_and_textile_product_mills,73456
315AL_Apparel_and_leather_and_allied_products,67590
321_Wood_products,57462
322_Paper_products,126195
323_Printing_and_related_support_activities,74423
324_Petroleum_and_coal_products,144230
325_Chemical_products,297983
326_Plastics_and_rubber_products,103855
327_Nonmetallic_mineral_products,63343
331_Primary_metals,142314
332_Fabricated_metal_products,169478
333_Machinery,183906
334_Computer_and_electronic_products,250465
335_Electrical_equipment_appliances_and_components,82175
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,276088
3364OT_Other_transportation_equipment,143765
337_Furniture_and_related_products,44613
339_Miscellaneous_manufacturing,68262
42_Wholesale_trade,479369
44RT_Retail_trade,566625
48_Transportation,317379
493_Warehousing_and_storage,14381
51_Information,397690
52_Finance_and_insurance,588704
531_Real_estate,788670
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,86490
54_Professional_scientific_and_technical_services,426206
55_Management_of_companies_and_enterprises,118237
56_Administrative_and_waste_management_services,174275
61_Educational_services,68944
62_Health_care_and_social_assistance,476428
71_Arts_entertainment_and_recreation,61260
721_Accommodation,70887
722_Food_services_and_drinking_places,208516
81_Other_services_except_government,229706
GFE_Federal_government_enterprises,51556
GFG_Federal_general_government,406736
GSLE_State_and_local_government_enterprises,79859
GSLG_State_and_local_general_government,611811
