industry,Total_Industry_Output
111CA_Farms,404166
113FF_Forestry_fishing_and_related_activities,46902
211_Oil_and_gas_extraction,362652
212_Mining_except_oil_and_gas,124665
213_Support_activities_for_mining,126168
22_Utilities,461485
23_Construction,1074580
311FT_Food_and_beverage_and_tobacco_products,895927
313TT_Textile_mills_and_textile_product_mills,51710
315AL_Apparel_and_leather_and_allied_products,19224
321_Wood_products,80773
322_Paper_products,178973
323_Printing_and_related_support_activities,83095
324_Petroleum_and_coal_products,833489
325_Chemical_products,792822
326_Plastics_and_rubber_products,216467
327_Nonmetallic_mineral_products,99640
331_Primary_metals,269217
332_Fabricated_metal_products,343521
333_Machinery,404751
334_Computer_and_electronic_products,354241
335_Electrical_equipment_appliances_and_components,122845
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,513836
3364OT_Other_transportation_equipment,290669
337_Furniture_and_related_products,65787
339_Miscellaneous_manufacturing,155688
42_Wholesale_trade,1654978
44RT_Retail_trade,1403507
48_Transportation,897602
493_Warehousing_and_storage,108889
51_Information,1382542
52_Finance_and_insurance,2153730
531_Real_estate,2615552
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,298651
54_Professional_scientific_and_technical_services,1785039
55_Management_of_companies_and_enterprises,478778
56_Administrative_and_waste_management_services,745230
61_Educational_services,309586
62_Health_care_and_social_assistance,1956515
71_Arts_entertainment_and_recreation,264525
721_Accommodation,214942
722_Food_services_and_drinking_places,613975
81_Other_services_except_government,576265
GFE_Federal_government_enterprises,97146
GFG_Federal_general_government,1046678
GSLE_State_and_local_government_enterprises,298336
GSLG_State_and_local_general_government,1947061
