industry,Total_Industry_Output
111CA_Farms,44697
113FF_Forestry_fishing_and_related_activities,5861
211_Oil_and_gas_extraction,12064
212_Mining_except_oil_and_gas,8970
213_Support_activities_for_mining,2641
22_Utilities,27212
23_Construction,85360
311FT_Food_and_beverage_and_tobacco_products,91540
313TT_Textile_mills_and_textile_product_mills,22255
315AL_Apparel_and_leather_and_allied_products,26667
321_Wood_products,9865
322_Paper_products,21183
323_Printing_and_related_support_activities,10031
324_Petroleum_and_coal_products,22283
325_Chemical_products,41561
326_Plastics_and_rubber_products,12716
327_Nonmetallic_mineral_products,13867
331_Primary_metals,42876
332_Fabricated_metal_products,41186
333_Machinery,39835
334_Computer_and_electronic_products,35436
335_Electrical_equipment_appliances_and_components,20287
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,53241
3364OT_Other_transportation_equipment,32986
337_Furniture_and_related_products,7856
339_Miscellaneous_manufacturing,12717
42_Wholesale_trade,69670
44RT_Retail_trade,99243
48_Transportation,55513
493_Warehousing_and_storage,2362
51_Information,48461
52_Finance_and_insurance,58394
531_Real_estate,97754
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,8016
54_Professional_scientific_and_technical_services,34671
55_Management_of_companies_and_enterprises,17731
56_Administrative_and_waste_management_services,12342
61_Educational_services,9389
62_Health_care_and_social_assistance,33208
71_Arts_entertainment_and_recreation,7816
721_Accommodation,7982
722_Food_services_and_drinking_places,27306
81_Other_services_except_government,37821
GFE_Federal_government_enterprises,7661
GFG_Federal_general_government,92536
GSLE_State_and_local_government_enterprises,9689
GSLG_State_and_local_general_government,72218
