industry,Total_Industry_Output
111CA_Farms,37660
113FF_Forestry_fishing_and_related_activities,4687
211_Oil_and_gas_extraction,9792
212_Mining_except_oil_and_gas,8195
213_Support_activities_for_mining,2629
22_Utilities,23142
23_Construction,72596
311FT_Food_and_beverage_and_tobacco_products,79173
313TT_Textile_mills_and_textile_product_mills,19193
315AL_Apparel_and_leather_and_allied_products,22864
321_Wood_products,8463
322_Paper_products,17207
323_Printing_and_related_support_activities,7932
324_Petroleum_and_coal_products,18465
325_Chemical_products,33648
326_Plastics_and_rubber_products,9675
327_Nonmetallic_mineral_products,12437
331_Primary_metals,37578
332_Fabricated_metal_products,28256
333_Machinery,28819
334_Computer_and_electronic_products,24111
335_Electrical_equipment_appliances_and_components,15412
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,49797
3364OT_Other_transportation_equipment,21976
337_Furniture_and_related_products,6487
339_Miscellaneous_manufacturing,10195
42_Wholesale_trade,52428
44RT_Retail_trade,85326
48_Transportation,44855
493_Warehousing_and_storage,1911
51_Information,37083
52_Finance_and_insurance,45983
531_Real_estate,77558
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,7256
54_Professional_scientific_and_technical_services,26131
55_Management_of_companies_and_enterprises,14187
56_Administrative_and_waste_management_services,9073
61_Educational_services,6706
62_Health_care_and_social_assistance,25223
71_Arts_entertainment_and_recreation,6634
721_Accommodation,5152
722_Food_services_and_drinking_places,22680
81_Other_services_except_government,30161
GFE_Federal_government_enterprises,6271
GFG_Federal_general_government,66914
GSLE_State_and_local_government_enterprises,7901
GSLG_State_and_local_general_government,52843
