industry,Total_Industry_Output
111CA_Farms,197496
113FF_Forestry_fishing_and_related_activities,40246
211_Oil_and_gas_extraction,72931
212_Mining_except_oil_and_gas,53941
213_Support_activities_for_mining,16380
22_Utilities,242143
23_Construction,587748
311FT_Food_and_beverage_and_tobacco_products,468259
313TT_Textile_mills_and_textile_product_mills,84933
315AL_Apparel_and_leather_and_allied_products,81505
321_Wood_products,79876
322_Paper_products,135964
323_Printing_and_related_support_activities,85613
324_Petroleum_and_coal_products,142220
325_Chemical_products,352787
326_Plastics_and_rubber_products,135305
327_Nonmetallic_mineral_products,70678
331_Primary_metals,145295
332_Fabricated_metal_products,200242
333_Machinery,220070
334_Computer_and_electronic_products,330852
335_Electrical_equipment_appliances_and_components,97056
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,374495
3364OT_Other_transportation_equipment,133584
337_Furniture_and_related_products,52518
339_Miscellaneous_manufacturing,91555
42_Wholesale_trade,635539
44RT_Retail_trade,741055
48_Transportation,406580
493_Warehousing_and_storage,20321
51_Information,544431
52_Finance_and_insurance,775799
531_Real_estate,1062573
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,116261
54_Professional_scientific_and_technical_services,572662
55_Management_of_companies_and_enterprises,158321
56_Administrative_and_waste_management_services,253741
61_Educational_services,94344
62_Health_care_and_social_assistance,701163
71_Arts_entertainment_and_recreation,97346
721_Accommodation,94814
722_Food_services_and_drinking_places,266851
81_Other_services_except_government,299023
GFE_Federal_government_enterprises,65924
GFG_Federal_general_government,458701
GSLE_State_and_local_government_enterprises,110034
GSLG_State_and_local_general_government,857666
