industry,Total_Industry_Output
111CA_Farms,227873
113FF_Forestry_fishing_and_related_activities,41426
211_Oil_and_gas_extraction,165982
212_Mining_except_oil_and_gas,57394
213_Support_activities_for_mining,29534
22_Utilities,343152
23_Construction,1039480
311FT_Food_and_beverage_and_tobacco_products,599752
313TT_Textile_mills_and_textile_product_mills,72318
315AL_Apparel_and_leather_and_allied_products,44902
321_Wood_products,92669
322_Paper_products,148736
323_Printing_and_related_support_activities,95442
324_Petroleum_and_coal_products,245974
325_Chemical_products,491627
326_Plastics_and_rubber_products,176195
327_Nonmetallic_mineral_products,96544
331_Primary_metals,137676
332_Fabricated_metal_products,244276
333_Machinery,250129
334_Computer_and_electronic_products,387809
335_Electrical_equipment_appliances_and_components,97939
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,487881
3364OT_Other_transportation_equipment,172063
337_Furniture_and_related_products,75271
339_Miscellaneous_manufacturing,131827
42_Wholesale_trade,929221
44RT_Retail_trade,1108007
48_Transportation,582955
493_Warehousing_and_storage,45257
51_Information,1048983
52_Finance_and_insurance,1499478
531_Real_estate,1841805
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,218934
54_Professional_scientific_and_technical_services,1171602
55_Management_of_companies_and_enterprises,280575
56_Administrative_and_waste_management_services,492007
61_Educational_services,176555
62_Health_care_and_social_assistance,1219457
71_Arts_entertainment_and_recreation,180455
721_Accommodation,151249
722_Food_services_and_drinking_places,426274
81_Other_services_except_government,468779
GFE_Federal_government_enterprises,86948
GFG_Federal_general_government,665103
GSLE_State_and_local_government_enterprises,170456
GSLG_State_and_local_general_government,1420041
