industry,Total_Industry_Output
111CA_Farms,395379
113FF_Forestry_fishing_and_related_activities,57006
211_Oil_and_gas_extraction,305097
212_Mining_except_oil_and_gas,105504
213_Support_activities_for_mining,87745
22_Utilities,511269
23_Construction,1570262
311FT_Food_and_beverage_and_tobacco_products,941416
313TT_Textile_mills_and_textile_product_mills,50162
315AL_Apparel_and_leather_and_allied_products,17378
321_Wood_products,111892
322_Paper_products,182317
323_Printing_and_related_support_activities,83111
324_Petroleum_and_coal_products,536275
325_Chemical_products,791408
326_Plastics_and_rubber_products,236483
327_Nonmetallic_mineral_products,126704
331_Primary_metals,222742
332_Fabricated_metal_products,343802
333_Machinery,364463
334_Computer_and_electronic_products,352993
335_Electrical_equipment_appliances_and_components,121637
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,678976
3364OT_Other_transportation_equipment,338874
337_Furniture_and_related_products,74040
339_Miscellaneous_manufacturing,158806
42_Wholesale_trade,1960895
44RT_Retail_trade,1777551
48_Transportation,1066182
493_Warehousing_and_storage,138749
51_Information,1744804
52_Finance_and_insurance,2828224
531_Real_estate,3276865
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,338532
54_Professional_scientific_and_technical_services,2210200
55_Management_of_companies_and_enterprises,602634
56_Administrative_and_waste_management_services,1039961
61_Educational_services,364218
62_Health_care_and_social_assistance,2397546
71_Arts_entertainment_and_recreation,339772
721_Accommodation,283389
722_Food_services_and_drinking_places,816253
81_Other_services_except_government,695741
GFE_Federal_government_enterprises,91422
GFG_Federal_general_government,1034751
GSLE_State_and_local_government_enterprises,344402
GSLG_State_and_local_general_government,2274258
