industry,Total_Industry_Output
111CA_Farms,387890
113FF_Forestry_fishing_and_related_activities,51132
211_Oil_and_gas_extraction,375173
212_Mining_except_oil_and_gas,111909
213_Support_activities_for_mining,107732
22_Utilities,558824
23_Construction,1722906
311FT_Food_and_beverage_and_tobacco_products,977857
313TT_Textile_mills_and_textile_product_mills,49805
315AL_Apparel_and_leather_and_allied_products,17880
321_Wood_products,112196
322_Paper_products,190284
323_Printing_and_related_support_activities,83262
324_Petroleum_and_coal_products,596252
325_Chemical_products,815574
326_Plastics_and_rubber_products,251350
327_Nonmetallic_mineral_products,137272
331_Primary_metals,236418
332_Fabricated_metal_products,383709
333_Machinery,400331
334_Computer_and_electronic_products,372625
335_Electrical_equipment_appliances_and_components,132381
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,716830
3364OT_Other_transportation_equipment,339256
337_Furniture_and_related_products,74713
339_Miscellaneous_manufacturing,167437
42_Wholesale_trade,2126659
44RT_Retail_trade,1925356
48_Transportation,1210512
493_Warehousing_and_storage,150837
51_Information,1938753
52_Finance_and_insurance,3086741
531_Real_estate,3680358
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,391434
54_Professional_scientific_and_technical_services,2491957
55_Management_of_companies_and_enterprises,671296
56_Administrative_and_waste_management_services,1197154
61_Educational_services,384977
62_Health_care_and_social_assistance,2628227
71_Arts_entertainment_and_recreation,378021
721_Accommodation,307238
722_Food_services_and_drinking_places,907750
81_Other_services_except_government,755798
GFE_Federal_government_enterprises,90680
GFG_Federal_general_government,1152359
GSLE_State_and_local_government_enterprises,375268
GSLG_State_and_local_general_government,2487327
