industry,Total_Industry_Output
111CA_Farms,304793
113FF_Forestry_fishing_and_related_activities,44560
211_Oil_and_gas_extraction,276911
212_Mining_except_oil_and_gas,104498
213_Support_activities_for_mining,94915
22_Utilities,451593
23_Construction,1339134
311FT_Food_and_beverage_and_tobacco_products,720552
313TT_Textile_mills_and_textile_product_mills,64401
315AL_Apparel_and_leather_and_allied_products,29848
321_Wood_products,103303
322_Paper_products,174225
323_Printing_and_related_support_activities,103514
324_Petroleum_and_coal_products,606412
325_Chemical_products,728663
326_Plastics_and_rubber_products,206223
327_Nonmetallic_mineral_products,128465
331_Primary_metals,256349
332_Fabricated_metal_products,342761
333_Machinery,346832
334_Computer_and_electronic_products,444345
335_Electrical_equipment_appliances_and_components,126282
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,512787
3364OT_Other_transportation_equipment,263612
337_Furniture_and_related_products,85636
339_Miscellaneous_manufacturing,159152
42_Wholesale_trade,1270853
44RT_Retail_trade,1333963
48_Transportation,797142
493_Warehousing_and_storage,69036
51_Information,1220748
52_Finance_and_insurance,2025087
531_Real_estate,2391047
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,270095
54_Professional_scientific_and_technical_services,1544506
55_Management_of_companies_and_enterprises,433424
56_Administrative_and_waste_management_services,665431
61_Educational_services,236613
62_Health_care_and_social_assistance,1544512
71_Arts_entertainment_and_recreation,241509
721_Accommodation,192793
722_Food_services_and_drinking_places,521602
81_Other_services_except_government,534333
GFE_Federal_government_enterprises,99384
GFG_Federal_general_government,841106
GSLE_State_and_local_government_enterprises,223361
GSLG_State_and_local_general_government,1768728
