industry,Total_Industry_Output
111CA_Farms,379677
113FF_Forestry_fishing_and_related_activities,52575
211_Oil_and_gas_extraction,230486
212_Mining_except_oil_and_gas,96130
213_Support_activities_for_mining,61795
22_Utilities,498637
23_Construction,1495152
311FT_Food_and_beverage_and_tobacco_products,945857
313TT_Textile_mills_and_textile_product_mills,52287
315AL_Apparel_and_leather_and_allied_products,18977
321_Wood_products,104683
322_Paper_products,177015
323_Printing_and_related_support_activities,85684
324_Petroleum_and_coal_products,432966
325_Chemical_products,778003
326_Plastics_and_rubber_products,230789
327_Nonmetallic_mineral_products,124776
331_Primary_metals,203609
332_Fabricated_metal_products,340615
333_Machinery,352634
334_Computer_and_electronic_products,346409
335_Electrical_equipment_appliances_and_components,121230
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,686373
3364OT_Other_transportation_equipment,309408
337_Furniture_and_related_products,74304
339_Miscellaneous_manufacturing,157387
42_Wholesale_trade,1852225
44RT_Retail_trade,1712724
48_Transportation,1001397
493_Warehousing_and_storage,129421
51_Information,1683257
52_Finance_and_insurance,2661260
531_Real_estate,3164317
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,332364
54_Professional_scientific_and_technical_services,2082892
55_Management_of_companies_and_enterprises,566833
56_Administrative_and_waste_management_services,970194
61_Educational_services,353134
62_Health_care_and_social_assistance,2303164
71_Arts_entertainment_and_recreation,318384
721_Accommodation,269683
722_Food_services_and_drinking_places,775415
81_Other_services_except_government,671187
GFE_Federal_government_enterprises,93794
GFG_Federal_general_government,1017229
GSLE_State_and_local_government_enterprises,333872
GSLG_State_and_local_general_government,2204856
