industry,Total_Industry_Output
111CA_Farms,199949
113FF_Forestry_fishing_and_related_activities,45365
211_Oil_and_gas_extraction,85524
212_Mining_except_oil_and_gas,53050
213_Support_activities_for_mining,17543
22_Utilities,314786
23_Construction,841640
311FT_Food_and_beverage_and_tobacco_products,538151
313TT_Textile_mills_and_textile_product_mills,86559
315AL_Apparel_and_leather_and_allied_products,75979
321_Wood_products,98086
322_Paper_products,155602
323_Printing_and_related_support_activities,103844
324_Petroleum_and_coal_products,160487
325_Chemical_products,430467
326_Plastics_and_rubber_products,172513
327_Nonmetallic_mineral_products,95687
331_Primary_metals,156590
332_Fabricated_metal_products,257304
333_Machinery,275869
334_Computer_and_electronic_products,486423
335_Electrical_equipment_appliances_and_components,116925
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,503035
3364OT_Other_transportation_equipment,180347
337_Furniture_and_related_products,70827
339_Miscellaneous_manufacturing,115056
42_Wholesale_trade,826239
44RT_Retail_trade,953696
48_Transportation,527443
493_Warehousing_and_storage,31094
51_Information,913333
52_Finance_and_insurance,1234616
531_Real_estate,1410874
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,188246
54_Professional_scientific_and_technical_services,977646
55_Management_of_companies_and_enterprises,240135
56_Administrative_and_waste_management_services,436078
61_Educational_services,129798
62_Health_care_and_social_assistance,908793
71_Arts_entertainment_and_recreation,142558
721_Accommodation,133821
722_Food_services_and_drinking_places,342117
81_Other_services_except_government,402339
GFE_Federal_government_enterprises,81071
GFG_Federal_general_government,481407
GSLE_State_and_local_government_enterprises,141176
GSLG_State_and_local_general_government,1130644
