industry,Total_Industry_Output
111CA_Farms,327859
113FF_Forestry_fishing_and_related_activities,44787
211_Oil_and_gas_extraction,388364
212_Mining_except_oil_and_gas,116162
213_Support_activities_for_mining,110033
22_Utilities,524896
23_Construction,1275777
311FT_Food_and_beverage_and_tobacco_products,778632
313TT_Textile_mills_and_textile_product_mills,56518
315AL_Apparel_and_leather_and_allied_products,26693
321_Wood_products,89111
322_Paper_products,177371
323_Printing_and_related_support_activities,99166
324_Petroleum_and_coal_products,733568
325_Chemical_products,735772
326_Plastics_and_rubber_products,198943
327_Nonmetallic_mineral_products,114427
331_Primary_metals,280342
332_Fabricated_metal_products,357772
333_Machinery,353921
334_Computer_and_electronic_products,423208
335_Electrical_equipment_appliances_and_components,126921
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,424825
3364OT_Other_transportation_equipment,269271
337_Furniture_and_related_products,76952
339_Miscellaneous_manufacturing,169588
42_Wholesale_trade,1327125
44RT_Retail_trade,1277236
48_Transportation,828491
493_Warehousing_and_storage,76898
51_Information,1254951
52_Finance_and_insurance,1992564
531_Real_estate,2407801
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,289531
54_Professional_scientific_and_technical_services,1624270
55_Management_of_companies_and_enterprises,432647
56_Administrative_and_waste_management_services,682242
61_Educational_services,257307
62_Health_care_and_social_assistance,1641583
71_Arts_entertainment_and_recreation,247534
721_Accommodation,197994
722_Food_services_and_drinking_places,532891
81_Other_services_except_government,550537
GFE_Federal_government_enterprises,100823
GFG_Federal_general_government,922626
GSLE_State_and_local_government_enterprises,240463
GSLG_State_and_local_general_government,1857128
