industry,Total_Industry_Output
111CA_Farms,179887
113FF_Forestry_fishing_and_related_activities,31339
211_Oil_and_gas_extraction,87309
212_Mining_except_oil_and_gas,53160
213_Support_activities_for_mining,19617
22_Utilities,208285
23_Construction,530286
311FT_Food_and_beverage_and_tobacco_products,420258
313TT_Textile_mills_and_textile_product_mills,71703
315AL_Apparel_and_leather_and_allied_products,68492
321_Wood_products,56977
322_Paper_products,126513
323_Printing_and_related_support_activities,78410
324_Petroleum_and_coal_products,170595
325_Chemical_products,306627
326_Plastics_and_rubber_products,107852
327_Nonmetallic_mineral_products,63550
331_Primary_metals,136118
332_Fabricated_metal_products,172889
333_Machinery,184593
334_Computer_and_electronic_products,259805
335_Electrical_equipment_appliances_and_components,81140
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,255772
3364OT_Other_transportation_equipment,156744
337_Furniture_and_related_products,44808
339_Miscellaneous_manufacturing,73645
42_Wholesale_trade,509871
44RT_Retail_trade,589115
48_Transportation,337771
493_Warehousing_and_storage,15435
51_Information,422569
52_Finance_and_insurance,609425
531_Real_estate,857470
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,94547
54_Professional_scientific_and_technical_services,463982
55_Management_of_companies_and_enterprises,125511
56_Administrative_and_waste_management_services,194563
61_Educational_services,74580
62_Health_care_and_social_assistance,532351
71_Arts_entertainment_and_recreation,69685
721_Accommodation,74662
722_Food_services_and_drinking_places,225573
81_Other_services_except_government,243360
GFE_Federal_government_enterprises,54678
GFG_Federal_general_government,429753
GSLE_State_and_local_government_enterprises,84605
GSLG_State_and_local_general_government,668679
