industry,Total_Industry_Output
111CA_Farms,394395
113FF_Forestry_fishing_and_related_activities,53384
211_Oil_and_gas_extraction,255273
212_Mining_except_oil_and_gas,98029
213_Support_activities_for_mining,63020
22_Utilities,530634
23_Construction,1795933
311FT_Food_and_beverage_and_tobacco_products,1003800
313TT_Textile_mills_and_textile_product_mills,46977
315AL_Apparel_and_leather_and_allied_products,16952
321_Wood_products,122455
322_Paper_products,178193
323_Printing_and_related_support_activities,76436
324_Petroleum_and_coal_products,355259
325_Chemical_products,768669
326_Plastics_and_rubber_products,237497
327_Nonmetallic_mineral_products,135237
331_Primary_metals,198528
332_Fabricated_metal_products,352040
333_Machinery,359909
334_Computer_and_electronic_products,374411
335_Electrical_equipment_appliances_and_components,127261
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,644235
3364OT_Other_transportation_equipment,268143
337_Furniture_and_related_products,73628
339_Miscellaneous_manufacturing,161607
42_Wholesale_trade,2034986
44RT_Retail_trade,2028968
48_Transportation,1006050
493_Warehousing_and_storage,154062
51_Information,1977356
52_Finance_and_insurance,3203191
531_Real_estate,3709718
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,366840
54_Professional_scientific_and_technical_services,2558861
55_Management_of_companies_and_enterprises,678177
56_Administrative_and_waste_management_services,1148386
61_Educational_services,363566
62_Health_care_and_social_assistance,2571273
71_Arts_entertainment_and_recreation,244202
721_Accommodation,170537
722_Food_services_and_drinking_places,774133
81_Other_services_except_government,710893
GFE_Federal_government_enterprises,88764
GFG_Federal_general_government,1233095
GSLE_State_and_local_government_enterprises,334435
GSLG_State_and_local_general_government,2512574
