industry,Total_Industry_Output
111CA_Farms,212334
113FF_Forestry_fishing_and_related_activities,39022
211_Oil_and_gas_extraction,142309
212_Mining_except_oil_and_gas,55094
213_Support_activities_for_mining,29205
22_Utilities,446478
23_Construction,956910
311FT_Food_and_beverage_and_tobacco_products,576415
313TT_Textile_mills_and_textile_product_mills,76628
315AL_Apparel_and_leather_and_allied_products,58774
321_Wood_products,88020
322_Paper_products,154970
323_Printing_and_related_support_activities,104099
324_Petroleum_and_coal_products,218056
325_Chemical_products,446716
326_Plastics_and_rubber_products,170359
327_Nonmetallic_mineral_products,94409
331_Primary_metals,136919
332_Fabricated_metal_products,252564
333_Machinery,264836
334_Computer_and_electronic_products,461213
335_Electrical_equipment_appliances_and_components,110547
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,458273
3364OT_Other_transportation_equipment,181331
337_Furniture_and_related_products,73079
339_Miscellaneous_manufacturing,119023
42_Wholesale_trade,860337
44RT_Retail_trade,992263
48_Transportation,555581
493_Warehousing_and_storage,36334
51_Information,1039235
52_Finance_and_insurance,1381380
531_Real_estate,1622802
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,209869
54_Professional_scientific_and_technical_services,1103449
55_Management_of_companies_and_enterprises,259557
56_Administrative_and_waste_management_services,472292
61_Educational_services,155471
62_Health_care_and_social_assistance,1052954
71_Arts_entertainment_and_recreation,159987
721_Accommodation,144684
722_Food_services_and_drinking_places,384955
81_Other_services_except_government,442498
GFE_Federal_government_enterprises,83636
GFG_Federal_general_government,535967
GSLE_State_and_local_government_enterprises,152189
GSLG_State_and_local_general_government,1308137
