industry,Total_Industry_Output
111CA_Farms,175266
113FF_Forestry_fishing_and_related_activities,30205
211_Oil_and_gas_extraction,78579
212_Mining_except_oil_and_gas,53632
213_Support_activities_for_mining,20217
22_Utilities,219271
23_Construction,490942
311FT_Food_and_beverage_and_tobacco_products,431499
313TT_Textile_mills_and_textile_product_mills,71833
315AL_Apparel_and_leather_and_allied_products,69850
321_Wood_products,53834
322_Paper_products,124463
323_Printing_and_related_support_activities,76782
324_Petroleum_and_coal_products,157629
325_Chemical_products,313058
326_Plastics_and_rubber_products,107647
327_Nonmetallic_mineral_products,59597
331_Primary_metals,124192
332_Fabricated_metal_products,168518
333_Machinery,178540
334_Computer_and_electronic_products,261997
335_Electrical_equipment_appliances_and_components,77321
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,246188
3364OT_Other_transportation_equipment,154547
337_Furniture_and_related_products,42310
339_Miscellaneous_manufacturing,76162
42_Wholesale_trade,516151
44RT_Retail_trade,596799
48_Transportation,342272
493_Warehousing_and_storage,15670
51_Information,440617
52_Finance_and_insurance,646063
531_Real_estate,889831
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,92539
54_Professional_scientific_and_technical_services,475380
55_Management_of_companies_and_enterprises,130555
56_Administrative_and_waste_management_services,197629
61_Educational_services,79319
62_Health_care_and_social_assistance,580105
71_Arts_entertainment_and_recreation,72773
721_Accommodation,76046
722_Food_services_and_drinking_places,231298
81_Other_services_except_government,243157
GFE_Federal_government_enterprises,58804
GFG_Federal_general_government,452962
GSLE_State_and_local_government_enterprises,88975
GSLG_State_and_local_general_government,716936
