industry,Total_Industry_Output
111CA_Farms,402908
113FF_Forestry_fishing_and_related_activities,53526
211_Oil_and_gas_extraction,268953
212_Mining_except_oil_and_gas,106189
213_Support_activities_for_mining,120830
22_Utilities,513760
23_Construction,1386108
311FT_Food_and_beverage_and_tobacco_products,946223
313TT_Textile_mills_and_textile_product_mills,53537
315AL_Apparel_and_leather_and_allied_products,18625
321_Wood_products,101014
322_Paper_products,182889
323_Printing_and_related_support_activities,82196
324_Petroleum_and_coal_products,500845
325_Chemical_products,785489
326_Plastics_and_rubber_products,233541
327_Nonmetallic_mineral_products,119118
331_Primary_metals,227114
332_Fabricated_metal_products,351962
333_Machinery,378756
334_Computer_and_electronic_products,348159
335_Electrical_equipment_appliances_and_components,125970
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,676066
3364OT_Other_transportation_equipment,332042
337_Furniture_and_related_products,73697
339_Miscellaneous_manufacturing,166227
42_Wholesale_trade,1850756
44RT_Retail_trade,1645199
48_Transportation,1004212
493_Warehousing_and_storage,120074
51_Information,1577866
52_Finance_and_insurance,2582211
531_Real_estate,3018637
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,329307
54_Professional_scientific_and_technical_services,1999172
55_Management_of_companies_and_enterprises,561730
56_Administrative_and_waste_management_services,897668
61_Educational_services,341095
62_Health_care_and_social_assistance,2188021
71_Arts_entertainment_and_recreation,304957
721_Accommodation,258628
722_Food_services_and_drinking_places,738477
81_Other_services_except_government,642441
GFE_Federal_government_enterprises,94062
GFG_Federal_general_government,1004596
GSLE_State_and_local_government_enterprises,327428
GSLG_State_and_local_general_government,2140785
