industry,Total_Industry_Output
111CA_Farms,320921
113FF_Forestry_fishing_and_related_activities,45657
211_Oil_and_gas_extraction,304701
212_Mining_except_oil_and_gas,112693
213_Support_activities_for_mining,82696
22_Utilities,494486
23_Construction,1016651
311FT_Food_and_beverage_and_tobacco_products,800318
313TT_Textile_mills_and_textile_product_mills,49826
315AL_Apparel_and_leather_and_allied_products,23271
321_Wood_products,71907
322_Paper_products,169406
323_Printing_and_related_support_activities,83798
324_Petroleum_and_coal_products,607722
325_Chemical_products,715654
326_Plastics_and_rubber_products,186612
327_Nonmetallic_mineral_products,92358
331_Primary_metals,235705
332_Fabricated_metal_products,295618
333_Machinery,318689
334_Computer_and_electronic_products,358838
335_Electrical_equipment_appliances_and_components,108567
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,434597
3364OT_Other_transportation_equipment,249006
337_Furniture_and_related_products,57266
339_Miscellaneous_manufacturing,159687
42_Wholesale_trade,1359199
44RT_Retail_trade,1299656
48_Transportation,770892
493_Warehousing_and_storage,88469
51_Information,1268870
52_Finance_and_insurance,1915428
531_Real_estate,2454252
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,268525
54_Professional_scientific_and_technical_services,1617962
55_Management_of_companies_and_enterprises,422154
56_Administrative_and_waste_management_services,672110
61_Educational_services,292901
62_Health_care_and_social_assistance,1798424
71_Arts_entertainment_and_recreation,245905
721_Accommodation,185668
722_Food_services_and_drinking_places,547653
81_Other_services_except_government,534955
GFE_Federal_government_enterprises,96591
GFG_Federal_general_government,1049369
GSLE_State_and_local_government_enterprises,273201
GSLG_State_and_local_general_government,1916858
