industry,Total_Industry_Output
111CA_Farms,466636
113FF_Forestry_fishing_and_related_activities,59408
211_Oil_and_gas_extraction,455730
212_Mining_except_oil_and_gas,108964
213_Support_activities_for_mining,63819
22_Utilities,643958
23_Construction,1964451
311FT_Food_and_beverage_and_tobacco_products,1053476
313TT_Textile_mills_and_textile_product_mills,52235
315AL_Apparel_and_leather_and_allied_products,22544
321_Wood_products,150057
322_Paper_products,191803
323_Printing_and_related_support_activities,78734
324_Petroleum_and_coal_products,607906
325_Chemical_products,847284
326_Plastics_and_rubber_products,246945
327_Nonmetallic_mineral_products,146318
331_Primary_metals,262538
332_Fabricated_metal_products,393877
333_Machinery,414743
334_Computer_and_electronic_products,402420
335_Electrical_equipment_appliances_and_components,144161
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,733182
3364OT_Other_transportation_equipment,308008
337_Furniture_and_related_products,79642
339_Miscellaneous_manufacturing,182850
42_Wholesale_trade,2425889
44RT_Retail_trade,2366359
48_Transportation,1270510
493_Warehousing_and_storage,185058
51_Information,2253422
52_Finance_and_insurance,3455765
531_Real_estate,3969098
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,399262
54_Professional_scientific_and_technical_services,2857268
55_Management_of_companies_and_enterprises,733132
56_Administrative_and_waste_management_services,1374101
61_Educational_services,391655
62_Health_care_and_social_assistance,2786725
71_Arts_entertainment_and_recreation,335003
721_Accommodation,260709
722_Food_services_and_drinking_places,1035490
81_Other_services_except_government,756045
GFE_Federal_government_enterprises,92356
GFG_Federal_general_government,1316594
GSLE_State_and_local_government_enterprises,378680
GSLG_State_and_local_general_government,2679952
