industry,Total_Industry_Output
111CA_Farms,253552
113FF_Forestry_fishing_and_related_activities,46636
211_Oil_and_gas_extraction,249252
212_Mining_except_oil_and_gas,84276
213_Support_activities_for_mining,60961
22_Utilities,416184
23_Construction,1287144
311FT_Food_and_beverage_and_tobacco_products,661051
313TT_Textile_mills_and_textile_product_mills,77040
315AL_Apparel_and_leather_and_allied_products,40265
321_Wood_products,114833
322_Paper_products,160067
323_Printing_and_related_support_activities,98962
324_Petroleum_and_coal_products,462089
325_Chemical_products,610743
326_Plastics_and_rubber_products,198128
327_Nonmetallic_mineral_products,113208
331_Primary_metals,202467
332_Fabricated_metal_products,287908
333_Machinery,298872
334_Computer_and_electronic_products,407650
335_Electrical_equipment_appliances_and_components,108742
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,522451
3364OT_Other_transportation_equipment,206037
337_Furniture_and_related_products,84250
339_Miscellaneous_manufacturing,148432
42_Wholesale_trade,1107735
44RT_Retail_trade,1239713
48_Transportation,699502
493_Warehousing_and_storage,53168
51_Information,1131805
52_Finance_and_insurance,1750876
531_Real_estate,2244469
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,250543
54_Professional_scientific_and_technical_services,1346175
55_Management_of_companies_and_enterprises,354808
56_Administrative_and_waste_management_services,580258
61_Educational_services,195111
62_Health_care_and_social_assistance,1384434
71_Arts_entertainment_and_recreation,202012
721_Accommodation,177409
722_Food_services_and_drinking_places,475573
81_Other_services_except_government,497353
GFE_Federal_government_enterprises,88084
GFG_Federal_general_government,764965
GSLE_State_and_local_government_enterprises,195788
GSLG_State_and_local_general_government,1573758
