industry,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996
111CA_Farms,26.216000000000001,27.190999999999999,23.481000000000002,23.940999999999999,28.163,26.757000000000001,23.687999999999999,22.826000000000001,21.718,21.413,21.725999999999999,23.57,22.248999999999999,22.091000000000001,22.17,22.571999999999999,22.396999999999998,21.896999999999998,22.972999999999999,24.529,23.271999999999998,23.795999999999999,25.077000000000002,25.542999999999999,26.324999999999999,29.327999999999999,41.52,44.396999999999998,42.795999999999999,42.798999999999999,42.41,47.962000000000003,54.055,55.37,57.026000000000003,54.064,55.146999999999998,57.226999999999997,51.895000000000003,49.859000000000002,50.652000000000001,55.197000000000003,58.238,58.344000000000001,56.06,55.506999999999998,56.704000000000001,56.302999999999997,57.012,62.911000000000001
113FF_Forestry_fishing_and_related_activities,9.8089999999999993,12.722,12.086,12.438000000000001,13.821,14.058,13.193,12.689,12.872,13.326000000000001,12.747,13.032,14.78,14.35,14.257999999999999,14.629,15.153,15.893000000000001,16.234000000000002,16.547999999999998,17.484000000000002,18.137,20.140999999999998,21.396999999999998,23.457999999999998,24.8,30.998999999999999,31.718,31.673999999999999,37.469000000000001,42.957000000000001,47.893999999999998,53.457000000000001,51.930999999999997,54.756999999999998,53.222999999999999,53.542999999999999,53.779000000000003,53.551000000000002,55.012999999999998,57.35,62.831000000000003,64.366,66.617999999999995,65.566999999999993,70.825000000000003,77.495999999999995,80.933999999999997,82.563000000000002,81.046000000000006
211_Oil_and_gas_extraction,3.0379999999999998,3.85,3.74,3.7120000000000002,3.839,3.8620000000000001,4.0789999999999997,4.1589999999999998,4.1740000000000004,4.2830000000000004,4.5890000000000004,4.5289999999999999,4.508,4.5330000000000004,4.5490000000000004,4.6029999999999998,4.5750000000000002,4.5289999999999999,4.5140000000000002,4.6109999999999998,4.6879999999999997,4.76,4.9189999999999996,5.1020000000000003,5.3959999999999999,5.4610000000000003,6.31,10.314,12.566000000000001,14.042,16.146999999999998,17.593,23.882000000000001,37.438000000000002,51.814999999999998,51.993000000000002,50.335999999999999,50.137999999999998,47.112000000000002,29.003,30.690999999999999,27.521999999999998,31.257000000000001,36.081000000000003,31.777000000000001,31.794,32.054000000000002,29.84,28.853999999999999,37.244
212_Mining_except_oil_and_gas,7.2149999999999999,9.3160000000000007,9.3059999999999992,9.5449999999999999,10.4,10.547000000000001,10.798999999999999,10.295999999999999,10.558,11.439,11.329000000000001,10.898999999999999,11.007,10.928000000000001,10.839,10.856,10.884,11.504,11.378,11.493,11.677,12.125,12.898,14.587999999999999,15.196,15.952999999999999,17.527000000000001,24.844000000000001,30.721,31.594000000000001,32.344000000000001,35.503999999999998,40.186,44.728000000000002,47.216999999999999,47.231000000000002,46.563000000000002,45.688000000000002,44.975999999999999,43.27,44.067,44.512999999999998,45.225000000000001,45.35,43.97,43.844000000000001,42.219000000000001,42.668999999999997,44.093000000000004,43.026000000000003
213_Support_activities_for_mining,10.686999999999999,12.608000000000001,12.682,12.991,14.095000000000001,14.278,14.680999999999999,14.055,14.62,15.867000000000001,16.132999999999999,15.388,15.365,15.342000000000001,15.256,15.371,15.412000000000001,15.8,15.728999999999999,16.187000000000001,16.286000000000001,16.478999999999999,16.986000000000001,17.776,18.242000000000001,18.256,20.128,26.425000000000001,32.537999999999997,35.234000000000002,41.091999999999999,48.95,58.514000000000003,64.146000000000001,84.846000000000004,95.509,80.387,75.111000000000004,74.498000000000005,68.024000000000001,60.588999999999999,64.738,67.798000000000002,71.025000000000006,72.935000000000002,68.259,62.823,63.936999999999998,68.113,72.641999999999996
22_Utilities,6.5510000000000002,6.7720000000000002,6.9210000000000003,6.9950000000000001,7.3230000000000004,7.6470000000000002,7.9379999999999997,8.1720000000000006,8.4939999999999998,8.7200000000000006,8.9559999999999995,9.3010000000000002,9.5540000000000003,9.9320000000000004,10.095000000000001,10.162000000000001,10.298999999999999,10.340999999999999,10.45,10.538,10.657,10.855,11.186,11.747999999999999,12.648999999999999,13.356,14.154999999999999,16.745000000000001,19.907,22.527000000000001,25.613,27.934000000000001,30.986000000000001,36.645000000000003,42.122999999999998,47.451999999999998,51.003999999999998,52.707000000000001,53.468000000000004,52.362000000000002,51.707999999999998,52.524999999999999,54.304000000000002,55.747999999999998,58.177999999999997,59.481999999999999,61.250999999999998,62.203000000000003,62.935000000000002,64.649000000000001
23_Construction,7.3490000000000002,8.1519999999999992,8.1509999999999998,8.3620000000000001,9.06,9.3109999999999999,9.3870000000000005,9.3239999999999998,9.4890000000000008,9.9629999999999992,10.194000000000001,10.208,10.289,10.27,10.343,10.413,10.472,10.661,10.805999999999999,11.234,11.621,12.16,13.092000000000001,13.952,14.911,15.766,17.116,19.507999999999999,21.402000000000001,22.425999999999998,24.135999999999999,26.754999999999999,29.869,33.192,35.735999999999997,37.061999999999998,37.709000000000003,38.874000000000002,39.770000000000003,41.018000000000001,42.439,44.145000000000003,46.000999999999998,47.545999999999999,48.14,48.808,50.451999999999998,52.345999999999997,54.393999999999998,55.518999999999998
321_Wood_products,14.256,16.245000000000001,15.125,17.178000000000001,18.821000000000002,18.323,18.306000000000001,18.053000000000001,18.643000000000001,18.984000000000002,18.154,17.823,18.983000000000001,18.373000000000001,17.724,17.934999999999999,18.231000000000002,18.547999999999998,18.748000000000001,19.596,19.404,21.719000000000001,24.114999999999998,21.887,24.56,26.87,32.043999999999997,33.646999999999998,33.255000000000003,37.701999999999998,43.164999999999999,49.87,53.890999999999998,53.151000000000003,54.484999999999999,53.884,57.548999999999999,57.726999999999997,57.289000000000001,58.039000000000001,60.180999999999997,61.892000000000003,64.956000000000003,65.441000000000003,66.863,72.977999999999994,83.673000000000002,87.028999999999996,86.402000000000001,86.513999999999996
327_Nonmetallic_mineral_products,10.654999999999999,11.597,12.223000000000001,12.608000000000001,13.442,13.643000000000001,14.145,14.567,15.036,15.785,16.402000000000001,16.765999999999998,17.03,17.129000000000001,17.015999999999998,17.013999999999999,16.914999999999999,16.97,17.041,17.187000000000001,17.526,18.37,19.117999999999999,19.977,21.318000000000001,21.753,22.858000000000001,25.861999999999998,29.553999999999998,31.823,34.383000000000003,37.933,41.843000000000004,46.674999999999997,50.634,53.174999999999997,54.34,55.991999999999997,57.231999999999999,57.978000000000002,58.226999999999997,59.009,60.137,61.177999999999997,62.241999999999997,62.527000000000001,64.012,66.435000000000002,69.201999999999998,70.128
331_Primary_metals,7.6130000000000004,8.657,8.8870000000000005,9.407,10.23,10.439,10.9,11.292999999999999,12.04,13.087,13.352,13.379,13.827,13.97,13.795999999999999,13.78,13.733000000000001,14.069000000000001,14.414,14.721,14.977,15.404999999999999,16.289000000000001,17.584,17.885000000000002,18.48,19.584,25.341000000000001,28.280999999999999,29.981999999999999,32.433,35.128,39.908999999999999,43.567999999999998,46.795000000000002,47.152999999999999,47.896999999999998,49.265000000000001,48.582000000000001,47.734999999999999,49.634999999999998,55.573,58.034999999999997,56.716000000000001,54.65,53.898000000000003,53.548999999999999,56.722999999999999,62.472999999999999,60.152000000000001
