industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
562_Waste_management_and_remediation_services,66.035,65.979,67.935,71.445,74.207,76.176,78.56,80.544,81.984,84.329,87.314,91.383,93.279,95.774,98.387,100,101.82,104.276,105.072,107.783,110.702,115.564,119.037,123.224,128.27
61_Educational_services,61.346,63.27,65.462,68.17,70.418,72.13,74.984,77.871,81.388,84.611,87.578,90.849,92.757,94.745,97.354,100,102.604,105.189,106.879,108.851,111.581,114.063,116.533,119.167,123.261
621_Ambulatory_health_care_services,71.715,73.397,75.009,76.76,79.14,80.201,81.922,83.968,86.283,87.993,91.233,93.23,95.302,97.298,98.758,100,100.821,101.799,101.893,102.812,103.869,104.956,106.155,107.824,111.206
622_Hospitals,64.614,66.35,68.023,70.294,73.295,75.936,78.674,81.51,84.37,87.363,90.002,92.544,94.472,96.345,98.111,100,101.931,103.789,105.592,107.575,109.872,112.27,114.951,117.653,121.772
623_Nursing_and_residential_care_facilities,61.643,63.947,66.038,69.139,72.699,75.311,77.776,80.498,83.439,85.967,89.371,92.476,94.818,96.542,98.539,100,101.041,102.369,104.513,107.134,109.938,113.439,117.118,121.322,124.907
624_Social_assistance,65.399,67.626,69.858,73.092,75.298,77.708,79.364,81.615,84.458,87.569,90.421,92.86,93.989,95.701,97.993,100,102.495,104.94,107.42,109.9,113.167,116.038,118.725,123.184,129.467
711AS_Performing_arts_spectator_sports_museums_and_related_activities,62.48,64.04,67.704,71.247,73.856,75.555,77.92,80.856,84.512,87.813,91.308,94.451,95.892,97.117,97.929,100,101.616,103.699,107.423,110.721,112.975,114.667,116.452,119.915,119.782
713_Amusements_gambling_and_recreation_industries,70.151,72.018,73.98,76.068,78.04,79.56,81.716,83.596,86.128,89.014,91.471,94.166,94.562,94.893,97.153,100,101.509,103.492,105.9,107.83,109.563,113.044,116.582,123.701,127.477
721_Accommodation,67.848,70.175,72.741,74.829,77.81,78.195,79.245,81.138,85.496,88.696,92.864,96.173,95.071,95.171,97.18,100,102.133,105.037,107.129,109.51,111.888,116.147,118.936,113.368,118.443
722_Food_services_and_drinking_places,64.909,66.4,68.047,69.829,72.19,74.049,75.664,78.053,80.684,83.367,86.496,90.625,93.95,95.342,97.027,100,102.261,104.685,107.918,110.681,113.374,116.401,119.48,124.438,130.446
81_Other_services_except_government,64.489,66.025,67.904,70.36,72.947,75.144,76.883,79.331,82.167,85.326,88.22,91.316,93.515,95.433,97.764,100,102.503,104.823,107.024,109.167,111.677,114.759,118.004,121.757,127.433
GFGD_Federal_general_government_defense,63.283,64.255,65.949,68.511,70.252,73.285,77.625,80.695,84.869,88.253,91.257,94.519,93.705,95.979,98.922,100,100.652,102.177,102.466,102.936,104.735,107.932,109.861,111.18,115.51
GFGN_Federal_general_government_nondefense,64.977,65.989,68.064,70.685,72.266,75.359,78.651,81.808,85.041,87.637,90.474,92.886,93.804,96.708,99.328,100,101.692,103.998,105.115,106.318,108.893,112.673,115.195,116.406,120.096
GFE_Federal_government_enterprises,67.149,67.131,68.627,68.991,72.503,74.981,76.912,77.22,77.527,82.01,85.227,88.413,92.703,96.62,98.814,100,101.235,105.433,106.865,104.907,105.783,107.364,108.75,109.963,115.37
GSLG_State_and_local_general_government,59.558,60.758,63.123,66.119,68.463,70.17,72.869,76.269,80.033,83.704,87.703,92.049,91.713,94.794,97.834,100,103.374,105.716,105.785,106.064,108.744,112.89,114.584,117.478,124.223
GSLE_State_and_local_government_enterprises,62.956,63.589,64.602,67.195,69.978,70.517,73.194,76.607,82.152,86.047,89.178,94.283,93.349,96.49,99.83,100,103.396,107.637,106.617,106.416,109.659,114.461,117.455,116.744,129.477
