industry,Total_Industry_Output
111CA_Farms,253552
113FF_Forestry_fishing_and_related_activities,46636
211_Oil_and_gas_extraction,249252
212_Mining_except_oil_and_gas,84276
213_Support_activities_for_mining,60961
22_Utilities,416184
23_Construction,1287144
311FT_Food_and_beverage_and_tobacco_products,661051
313TT_Textile_mills_and_textile_product_mills,77040
315AL_Apparel_and_leather_and_allied_products,40265
321_Wood_products,114833
322_Paper_products,160067
323_Printing_and_related_support_activities,98962
324_Petroleum_and_coal_products,462089
325_Chemical_products,610743
326_Plastics_and_rubber_products,198128
327_Nonmetallic_mineral_products,113208
331_Primary_metals,202467
332_Fabricated_metal_products,287908
333_Machinery,298872
334_Computer_and_electronic_products,407650
335_Electrical_equipment_appliances_and_components,108742
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,522451
3364OT_Other_transportation_equipment,206037
337_Furniture_and_related_products,84250
339_Miscellaneous_manufacturing,148432
42_Wholesale_trade,1107735
441_Motor_vehicle_and_parts_dealers,211917
445_Food_and_beverage_stores,175213
452_General_merchandise_stores,181068
481_Air_transportation,141797
482_Rail_transportation,51528
483_Water_transportation,37984
484_Truck_transportation,255943
485_Transit_and_ground_passenger_transportation,37080
486_Pipeline_transportation,22829
487OS_Other_transportation_and_support_activities,152341
493_Warehousing_and_storage,53168
4A0_Other_retail,671515
511_Publishing_industries_except_internet_includes_software,292091
512_Motion_picture_and_sound_recording_industries,133440
513_Broadcasting_and_telecommunications,609608
514_Data_processing_internet_publishing_and_other_information_services,96666
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,674960
523_Securities_commodity_contracts_and_investments,382013
524_Insurance_carriers_and_related_activities,605731
525_Funds_trusts_and_other_financial_vehicles,88172
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,250543
5411_Legal_services,270158
5412OP_Miscellaneous_professional_scientific_and_technical_services,858182
5415_Computer_systems_design_and_related_services,217835
55_Management_of_companies_and_enterprises,354808
561_Administrative_and_support_services,513496
562_Waste_management_and_remediation_services,66762
61_Educational_services,195111
621_Ambulatory_health_care_services,642926
622_Hospitals,469779
623_Nursing_and_residential_care_facilities,154855
624_Social_assistance,116874
711AS_Performing_arts_spectator_sports_museums_and_related_activities,106402
713_Amusements_gambling_and_recreation_industries,95610
721_Accommodation,177409
722_Food_services_and_drinking_places,475573
81_Other_services_except_government,497353
GFE_Federal_government_enterprises,88084
GFGD_Federal_general_government_defense,497159
GFGN_Federal_general_government_nondefense,267806
GSLE_State_and_local_government_enterprises,195788
GSLG_State_and_local_general_government,1573758
HS_Housing,1354950
ORE_Other_real_estate,889519
