industry,T008_Total_Industry_Output
111CA_Farms,153681
113FF_Forestry_fishing_and_related_activities,29566
211_Oil_and_gas_extraction,68781
212_Mining_except_oil_and_gas,49129
213_Support_activities_for_mining,17547
22_Utilities,191638
23_Construction,509121
311FT_Food_and_beverage_and_tobacco_products,375176
313TT_Textile_mills_and_textile_product_mills,70765
315AL_Apparel_and_leather_and_allied_products,68810
321_Wood_products,55978
322_Paper_products,117577
323_Printing_and_related_support_activities,70774
324_Petroleum_and_coal_products,129976
325_Chemical_products,274437
326_Plastics_and_rubber_products,97669
327_Nonmetallic_mineral_products,62634
331_Primary_metals,137356
332_Fabricated_metal_products,162887
333_Machinery,168484
334_Computer_and_electronic_products,245958
335_Electrical_equipment_appliances_and_components,77865
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,265143
3364OT_Other_transportation_equipment,138949
337_Furniture_and_related_products,42804
339_Miscellaneous_manufacturing,65018
42_Wholesale_trade,455136
44RT_Retail_trade,536172
481_Air_transportation,75387
482_Rail_transportation,33689
483_Water_transportation,17363
484_Truck_transportation,90605
485_Transit_and_ground_passenger_transportation,16391
486_Pipeline_transportation,19007
487OS_Other_transportation_and_support_activities,49171
493_Warehousing_and_storage,13552
511_Publishing_industries_except_internet_includes_software,97274
512_Motion_picture_and_sound_recording_industries,41607
513_Broadcasting_and_telecommunications,213841
514_Data_processing_internet_publishing_and_other_information_services,22236
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,237019
523_Securities_commodity_contracts_and_investments,64078
524_Insurance_carriers_and_related_activities,218900
525_Funds_trusts_and_other_financial_vehicles,32108
531_Real_estate,734924
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,79580
5411_Legal_services,92673
5412OP_Miscellaneous_professional_scientific_and_technical_services,255565
5415_Computer_systems_design_and_related_services,31322
55_Management_of_companies_and_enterprises,110856
561_Administrative_and_support_services,130841
562_Waste_management_and_remediation_services,23528
61_Educational_services,63003
621_Ambulatory_health_care_services,195118
622HO_Hospitals_and_nursing_and_residential_care_facilities,205110
624_Social_assistance,32113
711AS_Performing_arts_spectator_sports_museums_and_related_activities,25722
713_Amusements_gambling_and_recreation_industries,30097
721_Accommodation,67298
722_Food_services_and_drinking_places,196412
81_Other_services_except_government,211463
GFE_Federal_government_enterprises,48526
GFG_Federal_general_government,385927
GSLE_State_and_local_government_enterprises,74313
GSLG_State_and_local_general_government,558596
