industry,T008_Total_Industry_Output
111CA_Farms,96121
113FF_Forestry_fishing_and_related_activities,16990
211_Oil_and_gas_extraction,35979
212_Mining_except_oil_and_gas,28942
213_Support_activities_for_mining,9391
22_Utilities,73953
23_Construction,181436
311FT_Food_and_beverage_and_tobacco_products,186064
313TT_Textile_mills_and_textile_product_mills,40850
315AL_Apparel_and_leather_and_allied_products,39125
321_Wood_products,27337
322_Paper_products,47390
323_Printing_and_related_support_activities,21034
324_Petroleum_and_coal_products,79907
325_Chemical_products,102120
326_Plastics_and_rubber_products,32840
327_Nonmetallic_mineral_products,29192
331_Primary_metals,88735
332_Fabricated_metal_products,80863
333_Machinery,83609
334_Computer_and_electronic_products,62578
335_Electrical_equipment_appliances_and_components,35498
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,114197
3364OT_Other_transportation_equipment,52871
337_Furniture_and_related_products,15070
339_Miscellaneous_manufacturing,24942
42_Wholesale_trade,164270
44RT_Retail_trade,203631
481_Air_transportation,20750
482_Rail_transportation,20865
483_Water_transportation,9761
484_Truck_transportation,34710
485_Transit_and_ground_passenger_transportation,9177
486_Pipeline_transportation,6101
487OS_Other_transportation_and_support_activities,20297
493_Warehousing_and_storage,4843
511_Publishing_industries_except_internet_includes_software,27222
512_Motion_picture_and_sound_recording_industries,13450
513_Broadcasting_and_telecommunications,68098
514_Data_processing_internet_publishing_and_other_information_services,6544
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,68949
523_Securities_commodity_contracts_and_investments,8214
524_Insurance_carriers_and_related_activities,58300
525_Funds_trusts_and_other_financial_vehicles,7738
531_Real_estate,215442
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,19092
5411_Legal_services,23139
5412OP_Miscellaneous_professional_scientific_and_technical_services,50807
5415_Computer_systems_design_and_related_services,7416
55_Management_of_companies_and_enterprises,37383
561_Administrative_and_support_services,23969
562_Waste_management_and_remediation_services,7690
61_Educational_services,21418
621_Ambulatory_health_care_services,43211
622HO_Hospitals_and_nursing_and_residential_care_facilities,53608
624_Social_assistance,6582
711AS_Performing_arts_spectator_sports_museums_and_related_activities,9089
713_Amusements_gambling_and_recreation_industries,9698
721_Accommodation,18030
722_Food_services_and_drinking_places,67540
81_Other_services_except_government,68787
GFE_Federal_government_enterprises,18679
GFG_Federal_general_government,148584
GSLE_State_and_local_government_enterprises,21515
GSLG_State_and_local_general_government,203007
