industry,T008_Total_Industry_Output
111CA_Farms,154879
113FF_Forestry_fishing_and_related_activities,27082
211_Oil_and_gas_extraction,125834
212_Mining_except_oil_and_gas,47262
213_Support_activities_for_mining,34259
22_Utilities,182043
23_Construction,392517
311FT_Food_and_beverage_and_tobacco_products,313500
313TT_Textile_mills_and_textile_product_mills,58995
315AL_Apparel_and_leather_and_allied_products,61044
321_Wood_products,42771
322_Paper_products,91578
323_Printing_and_related_support_activities,51541
324_Petroleum_and_coal_products,181959
325_Chemical_products,199719
326_Plastics_and_rubber_products,71710
327_Nonmetallic_mineral_products,50947
331_Primary_metals,116499
332_Fabricated_metal_products,142076
333_Machinery,139507
334_Computer_and_electronic_products,202558
335_Electrical_equipment_appliances_and_components,65501
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,224115
3364OT_Other_transportation_equipment,105485
337_Furniture_and_related_products,32844
339_Miscellaneous_manufacturing,47776
42_Wholesale_trade,334215
44RT_Retail_trade,388816
481_Air_transportation,50323
482_Rail_transportation,35231
483_Water_transportation,16342
484_Truck_transportation,66412
485_Transit_and_ground_passenger_transportation,14479
486_Pipeline_transportation,21497
487OS_Other_transportation_and_support_activities,40556
493_Warehousing_and_storage,10384
511_Publishing_industries_except_internet_includes_software,67384
512_Motion_picture_and_sound_recording_industries,30941
513_Broadcasting_and_telecommunications,166419
514_Data_processing_internet_publishing_and_other_information_services,19868
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,168602
523_Securities_commodity_contracts_and_investments,39805
524_Insurance_carriers_and_related_activities,162304
525_Funds_trusts_and_other_financial_vehicles,20387
531_Real_estate,505601
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,54272
5411_Legal_services,56510
5412OP_Miscellaneous_professional_scientific_and_technical_services,158486
5415_Computer_systems_design_and_related_services,23839
55_Management_of_companies_and_enterprises,85930
561_Administrative_and_support_services,79288
562_Waste_management_and_remediation_services,14682
61_Educational_services,45870
621_Ambulatory_health_care_services,117079
622HO_Hospitals_and_nursing_and_residential_care_facilities,146990
624_Social_assistance,18648
711AS_Performing_arts_spectator_sports_museums_and_related_activities,19854
713_Amusements_gambling_and_recreation_industries,21209
721_Accommodation,45230
722_Food_services_and_drinking_places,141476
81_Other_services_except_government,143206
GFE_Federal_government_enterprises,36611
GFG_Federal_general_government,313552
GSLE_State_and_local_government_enterprises,57313
GSLG_State_and_local_general_government,410214
