industry,T008_Total_Industry_Output
111CA_Farms,32217
113FF_Forestry_fishing_and_related_activities,2584
211_Oil_and_gas_extraction,6896
212_Mining_except_oil_and_gas,7677
213_Support_activities_for_mining,3488
22_Utilities,11642
23_Construction,41869
311FT_Food_and_beverage_and_tobacco_products,56555
313TT_Textile_mills_and_textile_product_mills,15258
315AL_Apparel_and_leather_and_allied_products,16074
321_Wood_products,7671
322_Paper_products,10820
323_Printing_and_related_support_activities,4849
324_Petroleum_and_coal_products,13422
325_Chemical_products,17374
326_Plastics_and_rubber_products,4112
327_Nonmetallic_mineral_products,5936
331_Primary_metals,23169
332_Fabricated_metal_products,24458
333_Machinery,15645
334_Computer_and_electronic_products,8078
335_Electrical_equipment_appliances_and_components,7582
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,29439
3364OT_Other_transportation_equipment,12276
337_Furniture_and_related_products,3903
339_Miscellaneous_manufacturing,7550
42_Wholesale_trade,27751
44RT_Retail_trade,52737
48_Transportation,33683
493_Warehousing_and_storage,1131
51_Information,18886
52_Finance_and_insurance,19782
531_Real_estate,41671
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,3355
54_Professional_scientific_and_technical_services,10011
55_Management_of_companies_and_enterprises,8345
56_Administrative_and_waste_management_services,3740
61_Educational_services,2322
62_Health_care_and_social_assistance,9179
71_Arts_entertainment_and_recreation,3218
721_Accommodation,2860
722_Food_services_and_drinking_places,15229
81_Other_services_except_government,15012
GFE_Federal_government_enterprises,3004
GFG_Federal_general_government,53101
GSLE_State_and_local_government_enterprises,2718
GSLG_State_and_local_general_government,20964
