industry,Total_Industry_Output
111CA_Farms,191897
113FF_Forestry_fishing_and_related_activities,40788
211_Oil_and_gas_extraction,72273
212_Mining_except_oil_and_gas,54857
213_Support_activities_for_mining,15045
22_Utilities,243995
23_Construction,613725
311FT_Food_and_beverage_and_tobacco_products,491014
313TT_Textile_mills_and_textile_product_mills,86226
315AL_Apparel_and_leather_and_allied_products,82914
321_Wood_products,81164
322_Paper_products,166032
323_Printing_and_related_support_activities,92622
324_Petroleum_and_coal_products,149988
325_Chemical_products,380615
326_Plastics_and_rubber_products,145980
327_Nonmetallic_mineral_products,75675
331_Primary_metals,163136
332_Fabricated_metal_products,219311
333_Machinery,243943
334_Computer_and_electronic_products,386530
335_Electrical_equipment_appliances_and_components,102913
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,391430
3364OT_Other_transportation_equipment,128432
337_Furniture_and_related_products,55019
339_Miscellaneous_manufacturing,98269
42_Wholesale_trade,690848
44RT_Retail_trade,786192
481_Air_transportation,101895
482_Rail_transportation,38219
483_Water_transportation,22498
484_Truck_transportation,143616
485_Transit_and_ground_passenger_transportation,21905
486_Pipeline_transportation,21976
487OS_Other_transportation_and_support_activities,76430
493_Warehousing_and_storage,22468
511_Publishing_industries_except_internet_includes_software,153549
512_Motion_picture_and_sound_recording_industries,76527
513_Broadcasting_and_telecommunications,326711
514_Data_processing_internet_publishing_and_other_information_services,41857
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,326598
523_Securities_commodity_contracts_and_investments,136253
524_Insurance_carriers_and_related_activities,332008
525_Funds_trusts_and_other_financial_vehicles,43752
531_Real_estate,1113166
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,124940
5411_Legal_services,134580
5412OP_Miscellaneous_professional_scientific_and_technical_services,418515
5415_Computer_systems_design_and_related_services,74615
55_Management_of_companies_and_enterprises,168352
561_Administrative_and_support_services,245616
562_Waste_management_and_remediation_services,38328
61_Educational_services,100747
621_Ambulatory_health_care_services,352233
622HO_Hospitals_and_nursing_and_residential_care_facilities,337133
624_Social_assistance,51639
711AS_Performing_arts_spectator_sports_museums_and_related_activities,50562
713_Amusements_gambling_and_recreation_industries,58104
721_Accommodation,101502
722_Food_services_and_drinking_places,276037
81_Other_services_except_government,321710
GFE_Federal_government_enterprises,70832
GFG_Federal_general_government,456198
GSLE_State_and_local_government_enterprises,116839
GSLG_State_and_local_general_government,904501
