industry,Total_Industry_Output
111CA_Farms,263177
113FF_Forestry_fishing_and_related_activities,45377
211_Oil_and_gas_extraction,191027
212_Mining_except_oil_and_gas,67311
213_Support_activities_for_mining,41728
22_Utilities,351750
23_Construction,1158060
311FT_Food_and_beverage_and_tobacco_products,630000
313TT_Textile_mills_and_textile_product_mills,73717
315AL_Apparel_and_leather_and_allied_products,39188
321_Wood_products,106101
322_Paper_products,152972
323_Printing_and_related_support_activities,96289
324_Petroleum_and_coal_products,324962
325_Chemical_products,546681
326_Plastics_and_rubber_products,182974
327_Nonmetallic_mineral_products,102389
331_Primary_metals,181897
332_Fabricated_metal_products,260268
333_Machinery,265758
334_Computer_and_electronic_products,398171
335_Electrical_equipment_appliances_and_components,102449
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,507486
3364OT_Other_transportation_equipment,176874
337_Furniture_and_related_products,78380
339_Miscellaneous_manufacturing,133982
42_Wholesale_trade,1019313
441_Motor_vehicle_and_parts_dealers,217241
445_Food_and_beverage_stores,168239
452_General_merchandise_stores,172717
481_Air_transportation,132136
482_Rail_transportation,45679
483_Water_transportation,35338
484_Truck_transportation,231010
485_Transit_and_ground_passenger_transportation,33374
486_Pipeline_transportation,23037
487OS_Other_transportation_and_support_activities,142088
493_Warehousing_and_storage,49688
4A0_Other_retail,632353
511_Publishing_industries_except_internet_includes_software,279696
512_Motion_picture_and_sound_recording_industries,129392
513_Broadcasting_and_telecommunications,585905
514_Data_processing_internet_publishing_and_other_information_services,89601
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,631700
523_Securities_commodity_contracts_and_investments,344535
524_Insurance_carriers_and_related_activities,556419
525_Funds_trusts_and_other_financial_vehicles,80602
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,230954
5411_Legal_services,252041
5412OP_Miscellaneous_professional_scientific_and_technical_services,793946
5415_Computer_systems_design_and_related_services,201584
55_Management_of_companies_and_enterprises,320801
561_Administrative_and_support_services,469879
562_Waste_management_and_remediation_services,62036
61_Educational_services,185313
621_Ambulatory_health_care_services,607354
622_Hospitals,435502
623_Nursing_and_residential_care_facilities,144513
624_Social_assistance,110120
711AS_Performing_arts_spectator_sports_museums_and_related_activities,101117
713_Amusements_gambling_and_recreation_industries,90765
721_Accommodation,163140
722_Food_services_and_drinking_places,452160
81_Other_services_except_government,487601
GFE_Federal_government_enterprises,87641
GFGD_Federal_general_government_defense,466347
GFGN_Federal_general_government_nondefense,252026
GSLE_State_and_local_government_enterprises,182398
GSLG_State_and_local_general_government,1490491
HS_Housing,1264767
ORE_Other_real_estate,757376
