industry,Total_Industry_Output
111CA_Farms,212334
113FF_Forestry_fishing_and_related_activities,39022
211_Oil_and_gas_extraction,142309
212_Mining_except_oil_and_gas,55094
213_Support_activities_for_mining,29205
22_Utilities,446478
23_Construction,956910
311FT_Food_and_beverage_and_tobacco_products,576415
313TT_Textile_mills_and_textile_product_mills,76628
315AL_Apparel_and_leather_and_allied_products,58774
321_Wood_products,88020
322_Paper_products,154970
323_Printing_and_related_support_activities,104099
324_Petroleum_and_coal_products,218056
325_Chemical_products,446716
326_Plastics_and_rubber_products,170359
327_Nonmetallic_mineral_products,94409
331_Primary_metals,136919
332_Fabricated_metal_products,252564
333_Machinery,264836
334_Computer_and_electronic_products,461213
335_Electrical_equipment_appliances_and_components,110547
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,458273
3364OT_Other_transportation_equipment,181331
337_Furniture_and_related_products,73079
339_Miscellaneous_manufacturing,119023
42_Wholesale_trade,860337
441_Motor_vehicle_and_parts_dealers,176591
445_Food_and_beverage_stores,152601
452_General_merchandise_stores,139038
481_Air_transportation,118292
482_Rail_transportation,39849
483_Water_transportation,26985
484_Truck_transportation,199336
485_Transit_and_ground_passenger_transportation,26871
486_Pipeline_transportation,22700
487OS_Other_transportation_and_support_activities,121548
493_Warehousing_and_storage,36334
4A0_Other_retail,524033
511_Publishing_industries_except_internet_includes_software,261917
512_Motion_picture_and_sound_recording_industries,121982
513_Broadcasting_and_telecommunications,581218
514_Data_processing_internet_publishing_and_other_information_services,74118
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,548028
523_Securities_commodity_contracts_and_investments,312814
524_Insurance_carriers_and_related_activities,439606
525_Funds_trusts_and_other_financial_vehicles,80932
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,209869
5411_Legal_services,200687
5412OP_Miscellaneous_professional_scientific_and_technical_services,697526
5415_Computer_systems_design_and_related_services,205236
55_Management_of_companies_and_enterprises,259557
561_Administrative_and_support_services,418906
562_Waste_management_and_remediation_services,53386
61_Educational_services,155471
621_Ambulatory_health_care_services,492480
622_Hospitals,345675
623_Nursing_and_residential_care_facilities,121171
624_Social_assistance,93628
711AS_Performing_arts_spectator_sports_museums_and_related_activities,83002
713_Amusements_gambling_and_recreation_industries,76985
721_Accommodation,144684
722_Food_services_and_drinking_places,384955
81_Other_services_except_government,442498
GFE_Federal_government_enterprises,83636
GFGD_Federal_general_government_defense,339792
GFGN_Federal_general_government_nondefense,196175
GSLE_State_and_local_government_enterprises,152189
GSLG_State_and_local_general_government,1308137
HS_Housing,1103725
ORE_Other_real_estate,519077
