industry,T008_Total_Industry_Output
111CA_Farms,182156
113FF_Forestry_fishing_and_related_activities,36494
211_Oil_and_gas_extraction,78148
212_Mining_except_oil_and_gas,49128
213_Support_activities_for_mining,17802
22_Utilities,239130
23_Construction,545345
311FT_Food_and_beverage_and_tobacco_products,455347
313TT_Textile_mills_and_textile_product_mills,80285
315AL_Apparel_and_leather_and_allied_products,77884
321_Wood_products,72093
322_Paper_products,126231
323_Printing_and_related_support_activities,83220
324_Petroleum_and_coal_products,143445
325_Chemical_products,332519
326_Plastics_and_rubber_products,123220
327_Nonmetallic_mineral_products,65116
331_Primary_metals,129707
332_Fabricated_metal_products,181867
333_Machinery,197433
334_Computer_and_electronic_products,293151
335_Electrical_equipment_appliances_and_components,89092
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,319659
3364OT_Other_transportation_equipment,145455
337_Furniture_and_related_products,48936
339_Miscellaneous_manufacturing,87904
42_Wholesale_trade,580331
44RT_Retail_trade,679354
481_Air_transportation,90537
482_Rail_transportation,35377
483_Water_transportation,20184
484_Truck_transportation,124599
485_Transit_and_ground_passenger_transportation,20300
486_Pipeline_transportation,21807
487OS_Other_transportation_and_support_activities,67385
493_Warehousing_and_storage,18525
511_Publishing_industries_except_internet_includes_software,129483
512_Motion_picture_and_sound_recording_industries,62495
513_Broadcasting_and_telecommunications,278058
514_Data_processing_internet_publishing_and_other_information_services,34018
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,293277
523_Securities_commodity_contracts_and_investments,110469
524_Insurance_carriers_and_related_activities,301840
525_Funds_trusts_and_other_financial_vehicles,38416
531_Real_estate,992623
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,106118
5411_Legal_services,129132
5412OP_Miscellaneous_professional_scientific_and_technical_services,355105
5415_Computer_systems_design_and_related_services,55715
55_Management_of_companies_and_enterprises,147680
561_Administrative_and_support_services,194877
562_Waste_management_and_remediation_services,33379
61_Educational_services,89199
621_Ambulatory_health_care_services,309590
622HO_Hospitals_and_nursing_and_residential_care_facilities,315977
624_Social_assistance,45538
711AS_Performing_arts_spectator_sports_museums_and_related_activities,41871
713_Amusements_gambling_and_recreation_industries,47958
721_Accommodation,87548
722_Food_services_and_drinking_places,254381
81_Other_services_except_government,278791
GFE_Federal_government_enterprises,62789
GFG_Federal_general_government,456593
GSLE_State_and_local_government_enterprises,101454
GSLG_State_and_local_general_government,810859
