industry,T008_Total_Industry_Output
111CA_Farms,171924
113FF_Forestry_fishing_and_related_activities,30073
211_Oil_and_gas_extraction,74602
212_Mining_except_oil_and_gas,50514
213_Support_activities_for_mining,16580
22_Utilities,204011
23_Construction,523941
311FT_Food_and_beverage_and_tobacco_products,404847
313TT_Textile_mills_and_textile_product_mills,73456
315AL_Apparel_and_leather_and_allied_products,67590
321_Wood_products,57462
322_Paper_products,126195
323_Printing_and_related_support_activities,74423
324_Petroleum_and_coal_products,144230
325_Chemical_products,297983
326_Plastics_and_rubber_products,103855
327_Nonmetallic_mineral_products,63343
331_Primary_metals,142314
332_Fabricated_metal_products,169478
333_Machinery,183906
334_Computer_and_electronic_products,250465
335_Electrical_equipment_appliances_and_components,82175
3361MV_Motor_vehicles_bodies_and_trailers_and_parts,276088
3364OT_Other_transportation_equipment,143765
337_Furniture_and_related_products,44613
339_Miscellaneous_manufacturing,68262
42_Wholesale_trade,479369
44RT_Retail_trade,566625
481_Air_transportation,77784
482_Rail_transportation,34192
483_Water_transportation,17551
484_Truck_transportation,98455
485_Transit_and_ground_passenger_transportation,17275
486_Pipeline_transportation,19335
487OS_Other_transportation_and_support_activities,52787
493_Warehousing_and_storage,14381
511_Publishing_industries_except_internet_includes_software,103505
512_Motion_picture_and_sound_recording_industries,46635
513_Broadcasting_and_telecommunications,222450
514_Data_processing_internet_publishing_and_other_information_services,25100
521CI_Federal_Reserve_banks_credit_intermediation_and_related_activities,240712
523_Securities_commodity_contracts_and_investments,74081
524_Insurance_carriers_and_related_activities,239332
525_Funds_trusts_and_other_financial_vehicles,34579
531_Real_estate,788670
532RL_Rental_and_leasing_services_and_lessors_of_intangible_assets,86490
5411_Legal_services,101491
5412OP_Miscellaneous_professional_scientific_and_technical_services,287516
5415_Computer_systems_design_and_related_services,37199
55_Management_of_companies_and_enterprises,118237
561_Administrative_and_support_services,148374
562_Waste_management_and_remediation_services,25901
61_Educational_services,68944
621_Ambulatory_health_care_services,214010
622HO_Hospitals_and_nursing_and_residential_care_facilities,227540
624_Social_assistance,34878
711AS_Performing_arts_spectator_sports_museums_and_related_activities,27064
713_Amusements_gambling_and_recreation_industries,34196
721_Accommodation,70887
722_Food_services_and_drinking_places,208516
81_Other_services_except_government,229706
GFE_Federal_government_enterprises,51556
GFG_Federal_general_government,406736
GSLE_State_and_local_government_enterprises,79859
GSLG_State_and_local_general_government,611811
